name,ttm,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012,01/31/2011,01/31/2010,01/31/2009,01/31/2008,01/31/2007,01/31/2006,01/31/2005,01/31/2004,01/31/2003,01/31/2002,01/31/2001,01/31/2000,01/31/1999,01/31/1998,01/31/1997,01/31/1996,01/31/1995,01/31/1994
TotalRevenue,"5,320,059,000","5,153,237,000","4,795,244,000","4,548,763,000","3,449,749,000","3,983,789,000","3,950,623,000","3,616,014,000","3,545,794,000","3,445,134,000","3,323,077,000","3,086,608,000","2,794,925,000","2,473,801,000","2,274,102,000","1,937,815,000","1,834,618,000","1,507,724,000","1,224,717,000","1,092,107,000","827,750,000","548,361,000","422,754,000","348,958,000","295,333,000","278,113,000","209,865,000","173,121,000","156,400,000","133,000,000","110,100,000","84,500,000"
	OperatingRevenue,"5,320,059,000","5,153,237,000","4,795,244,000","4,548,763,000","3,449,749,000","3,983,789,000","3,950,623,000","3,616,014,000","3,545,794,000","3,445,134,000","3,323,077,000","3,086,608,000","2,794,925,000","2,473,801,000","2,274,102,000","1,937,815,000","1,834,618,000","1,507,724,000","1,224,717,000","1,092,107,000","827,750,000","548,361,000","422,754,000","348,958,000","295,333,000","278,113,000","209,865,000","173,121,000","156,400,000","133,000,000","110,100,000","84,500,000"
CostOfRevenue,"3,529,797,000","3,437,833,000","3,368,028,000","3,054,813,000","2,587,843,000","2,743,963,000","2,603,911,000","2,440,507,000","2,301,181,000","2,243,232,000","2,148,147,000","1,925,266,000","1,763,394,000","1,613,265,000","1,337,482,000","1,151,670,000","1,121,140,000","930,952,000","772,796,000","643,501,000","489,000,000","334,888,000","271,963,000","235,311,000","188,005,000","164,792,000","125,434,000","108,000,000","95,800,000","62,600,000","50,700,000","39,000,000"
GrossProfit,"1,790,262,000","1,715,404,000","1,427,216,000","1,493,950,000","861,906,000","1,239,826,000","1,346,712,000","1,175,507,000","1,244,613,000","1,201,902,000","1,174,930,000","1,161,342,000","1,031,531,000","860,536,000","936,620,000","786,145,000","713,478,000","576,772,000","451,921,000","448,606,000","338,750,000","213,473,000","150,791,000","113,647,000","107,328,000","113,321,000","84,431,000","65,121,000","60,600,000","70,400,000","59,400,000","45,500,000"
OperatingExpense,"1,397,785,000","1,339,205,000","1,200,593,000","1,085,384,000","857,934,000","993,990,000","965,399,000","915,615,000","906,086,000","848,323,000","809,545,000","734,511,000","657,246,000","575,811,000","522,417,000","447,161,000","414,043,000","351,827,000","287,932,000","240,907,000","190,384,000","132,767,000","105,392,000","88,149,000","89,450,000","75,756,000","59,314,000","43,100,000","39,200,000","50,600,000","41,900,000","32,200,000"
	SellingGeneralAndAdministration,"1,397,785,000","1,339,205,000","1,200,593,000","1,085,384,000","857,934,000","993,990,000","965,399,000","915,615,000","906,086,000","848,323,000","809,545,000","734,511,000","657,246,000","575,811,000","522,417,000","447,161,000","414,043,000","351,827,000","287,932,000","240,907,000","190,384,000","132,767,000","105,392,000","88,149,000","77,453,000","67,089,000","53,693,000","38,500,000","35,700,000","47,700,000","39,800,000","30,700,000"
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,"11,997,000","8,667,000","5,621,000","4,600,000","3,500,000","2,900,000","2,100,000","1,500,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,"11,997,000","8,667,000","5,621,000","4,600,000","3,500,000","2,900,000","2,100,000","1,500,000"
OperatingIncome,"392,477,000","376,199,000","226,623,000","408,566,000","3,972,000","245,836,000","381,313,000","259,892,000","338,527,000","353,579,000","365,385,000","426,831,000","374,285,000","284,725,000","414,203,000","338,984,000","299,435,000","224,945,000","163,989,000","207,699,000","148,366,000","80,706,000","45,399,000","25,498,000","17,878,000","37,565,000","25,117,000","22,021,000","21,400,000","19,800,000","17,500,000","13,300,000"
NetNonOperatingInterestIncomeExpense,,"15,969,000","726,000","1,239,000","-286,000","9,436,000","7,779,000","4,879,000","1,879,000","943,000","2,319,000","2,713,000","2,126,000","5,120,000","4,669,000","6,290,000","11,504,000",,,,,,,,,,,,,,,
