name,ttm,09/30/2023,09/30/2022,09/30/2021,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991
				ShortTermDebtIssuance,"149,200,000","114,600,000","211,600,000","215,100,000","1,406,600,000","0","0",,,,,,,"30,800,000","0","22,303,400,000","66,299,000,000",,,,,,,,,,,,,,,,,
				ShortTermDebtPayments,"-159,100,000","-253,800,000","-36,600,000","-646,300,000","-967,700,000","0","0",,,,"0",,"-30,800,000","0","0","-23,016,500,000","-66,296,800,000",,,,,,,,,,,,,,,,,
		NetCommonStockIssuance,"-1,454,600,000","-817,000,000","-3,911,400,000","246,200,000","-1,400,100,000","-9,812,500,000","-6,979,600,000","-1,891,700,000","-1,834,900,000","-1,244,300,000","-618,900,000","-340,900,000","-312,500,000","-305,500,000","-152,800,000","57,300,000","-199,100,000","-819,861,000","-694,796,000","-950,092,000","-65,823,000","31,473,000","55,219,000","9,851,000","68,721,000","43,200,000","25,400,000","17,600,000","12,400,000","172,200,000","2,600,000","4,700,000","48,800,000",
			CommonStockIssuance,"97,200,000","167,400,000","101,600,000","246,200,000","298,800,000","409,800,000","153,900,000","150,800,000","160,700,000","191,800,000","139,700,000","247,200,000","236,600,000","250,400,000","132,800,000","57,300,000","112,300,000","176,937,000","159,249,000","163,555,000","137,590,000","107,183,000","107,467,000","59,639,000","68,721,000","43,200,000","25,400,000","17,600,000","12,400,000","172,200,000","2,600,000","8,000,000","48,800,000",
			CommonStockPayments,"-1,551,800,000","-984,400,000","-4,013,000,000","0","-1,698,900,000","-10,222,300,000","-7,133,500,000","-2,042,500,000","-1,995,600,000","-1,436,100,000","-758,600,000","-588,100,000","-549,100,000","-555,900,000","-285,600,000","0","-311,400,000","-996,798,000","-854,045,000","-1,113,647,000","-203,413,000","-75,710,000","-52,248,000","-49,788,000",,,,,,,,"-3,300,000",,
		CashDividendsPaid,"-2,546,000,000","-2,431,800,000","-2,263,300,000","-2,119,000,000","-1,923,500,000","-1,761,300,000","-1,743,400,000","-1,450,400,000","-1,178,000,000","-928,600,000","-783,100,000","-628,900,000","-513,000,000","-389,500,000","-171,000,000","0",,,,,,,,,,,,,,,,,,
			CommonStockDividendPaid,"-2,546,000,000","-2,431,800,000","-2,263,300,000","-2,119,000,000","-1,923,500,000","-1,761,300,000","-1,743,400,000","-1,450,400,000","-1,178,000,000","-928,600,000","-783,100,000","-628,900,000","-513,000,000","-389,500,000",,,,,,,,,,,,,,,,,,,,
		NetOtherFinancingCharges,"-111,100,000","-100,400,000","-136,400,000","-97,000,000","-129,600,000","-129,100,000","-103,900,000","-87,200,000","-114,400,000","-322,000,000","30,200,000","147,100,000","110,800,000","56,200,000","-22,200,000","14,300,000","13,000,000","89,550,000","117,368,000",,,,,,,"18,600,000","100,000","9,700,000","10,000,000","4,700,000","3,700,000","1,800,000",,
EndCashPosition,"3,196,500,000","3,551,500,000","2,818,400,000","6,455,700,000","4,350,900,000","2,686,600,000","8,756,300,000","2,462,300,000","2,128,800,000","1,530,100,000","1,708,400,000","2,575,700,000","1,188,600,000","1,148,100,000","1,164,000,000","599,800,000","269,800,000","281,261,000","312,606,000","173,809,000","145,053,000","200,907,000","174,572,000","113,237,000","70,817,000","66,400,000","101,700,000","70,100,000","0","0","0","0","0","0"
	ChangesInCash,"-160,500,000","747,300,000","-3,387,000,000","2,018,600,000","1,599,600,000","-6,020,700,000","6,333,500,000","322,700,000","602,200,000","-27,700,000","-833,200,000","1,388,900,000","30,800,000","-15,100,000","569,400,000","325,700,000","-12,400,000","-42,617,000","135,267,000","28,473,000","42,481,000","97,952,000","59,775,000","42,594,000","4,695,000","-35,200,000","31,700,000","-57,000,000","106,300,000","12,600,000","-8,700,000","-4,200,000","19,700,000","-200,000"
	EffectOfExchangeRateChanges,"-17,400,000","-14,200,000","-250,300,000","86,200,000","64,700,000","-49,000,000","-39,500,000","10,800,000","-3,500,000","-150,600,000","-34,100,000","-1,800,000","9,700,000","-800,000","-5,200,000","4,300,000","900,000","11,272,000","3,530,000","283,000","3,111,000","3,278,000","1,560,000","-174,000","-297,000","-100,000","-100,000",,,,,,,
	BeginningCashPosition,"3,357,000,000","2,818,400,000","6,455,700,000","4,350,900,000","2,686,600,000","8,756,300,000","2,462,300,000","2,128,800,000","1,530,100,000","1,708,400,000","2,575,700,000","1,188,600,000","1,148,100,000","1,164,000,000","599,800,000","269,800,000","281,300,000","312,606,000","173,809,000","145,053,000","99,462,000","99,677,000","113,237,000","70,817,000","66,419,000","101,700,000","70,100,000","127,200,000","20,900,000","8,400,000","17,100,000","20,800,000","1,100,000","1,300,000"
	OtherCashAdjustmentOutsideChangeinCash,,,,,,,,,,,,,,,,,,,,,"-1,000",,,,,,"-101,700,000","-100,000","-127,200,000","-21,000,000","-8,400,000","-16,600,000","-20,800,000","-1,100,000"
IncomeTaxPaidSupplementalData,"1,434,300,000","1,294,200,000","1,157,600,000","756,300,000","1,699,100,000","470,100,000","1,176,900,000","1,389,100,000","878,700,000","1,072,200,000","766,300,000","539,100,000","416,900,000","350,100,000","527,000,000","162,000,000","259,500,000",,,,,,,,,,,,,,,,,
InterestPaidSupplementalData,"528,600,000","524,300,000","474,700,000","501,100,000","396,900,000","299,500,000","137,100,000","96,600,000","74,700,000","69,500,000","56,200,000","34,400,000","34,400,000","34,400,000","32,000,000","39,800,000","52,700,000",,,,,,,,,,,,,,,,,
CapitalExpenditure,"-2,678,800,000","-2,333,600,000","-1,841,300,000","-1,470,000,000","-1,483,600,000","-1,806,600,000","-1,976,400,000","-1,519,400,000","-1,440,300,000","-1,303,700,000","-1,160,900,000","-1,151,200,000","-856,200,000","-531,900,000","-445,800,000","-445,600,000","-984,500,000","-1,080,348,000","-771,230,000","-643,296,000","-416,917,000","-357,282,000","-375,474,000","-384,215,000","-316,450,000","-257,900,000","-201,900,000","-174,400,000","-163,300,000","-129,400,000","-85,300,000","-39,500,000","-15,900,000","-10,600,000"
IssuanceOfCapitalStock,"97,200,000","167,400,000","101,600,000","246,200,000","298,800,000","409,800,000","153,900,000","150,800,000","160,700,000","191,800,000","139,700,000","247,200,000","236,600,000","250,400,000","132,800,000","57,300,000","112,300,000","176,937,000","159,249,000","163,555,000","137,590,000","107,183,000","107,467,000","59,639,000","68,721,000","43,200,000","25,400,000","17,600,000","12,400,000","172,200,000","2,600,000","8,000,000","48,800,000",
IssuanceOfDebt,"2,144,500,000","1,612,400,000","1,709,700,000","215,100,000","6,134,200,000","1,996,000,000","5,584,100,000","750,200,000","1,254,500,000","848,500,000","748,500,000","749,700,000","0","0","0","22,303,400,000","66,299,000,000",,,,,,,,,,,,,,,,,
RepaymentOfDebt,"-1,984,200,000","-1,253,800,000","-1,036,600,000","-1,896,300,000","-967,700,000","-350,000,000","0","-400,000,000","0","-610,100,000","0","-35,200,000","-30,800,000","0","-6,600,000","-23,017,200,000","-66,297,400,000",,,,,,,,,,,,,,,,,
RepurchaseOfCapitalStock,"-1,551,800,000","-984,400,000","-4,013,000,000","0","-1,698,900,000","-10,222,300,000","-7,133,500,000","-2,042,500,000","-1,995,600,000","-1,436,100,000","-758,600,000","-588,100,000","-549,100,000","-555,900,000","-285,600,000","0","-311,400,000","-996,798,000","-854,045,000","-1,113,647,000","-203,413,000","-75,710,000","-52,248,000","-49,788,000",,,,,,,,"-3,300,000",,
FreeCashFlow,"3,826,200,000","3,675,100,000","2,556,000,000","4,519,100,000","114,200,000","3,240,400,000","9,961,400,000","2,732,400,000","3,257,600,000","2,445,400,000","-553,100,000","1,757,100,000","894,100,000","1,080,500,000","1,259,100,000","943,400,000","274,200,000","250,873,000","360,403,000","279,619,000","446,001,000","209,165,000","102,211,000","76,611,000","2,124,000","-28,300,000","-49,700,000","-74,100,000","-26,900,000","-118,000,000","-86,800,000","-30,500,000","-7,000,000","-8,000,000"
