name,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,02/29/2012,02/28/2011,02/28/2010,02/28/2009,02/29/2008,02/28/2007,02/28/2006,02/28/2005,02/29/2004,02/28/2003,02/28/2002,02/28/2001,02/29/2000,02/28/1999,02/28/1998,02/28/1997,02/29/1996,02/28/1995,02/28/1994,02/28/1993,02/29/1992,02/28/1991,02/28/1990,03/31/1989,03/31/1988,03/31/1987,03/31/1986
			GrossPPE,"9,834,000,000","9,722,000,000","10,995,000,000","11,868,000,000","11,937,000,000","9,200,000,000","8,700,000,000","8,143,000,000","8,107,000,000","7,660,000,000","7,575,000,000","8,252,000,000","7,905,000,000","7,453,000,000","6,940,000,000","5,608,000,000","4,904,000,000","4,836,000,000","4,192,000,000","3,574,000,000","3,089,000,000","2,433,000,000","1,987,000,000","1,093,471,000","731,964,000","581,500,000","519,800,000","443,700,000","325,600,000","233,500,000","169,800,000","87,900,000","60,900,000","42,900,000","38,700,000","34,900,000","15,300,000","4,400,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,
				LandAndImprovements,"702,000,000","688,000,000","671,000,000","658,000,000","650,000,000","637,000,000","623,000,000","618,000,000","613,000,000","611,000,000","758,000,000","775,000,000","766,000,000","757,000,000","755,000,000","732,000,000","705,000,000","580,000,000","506,000,000","484,000,000","208,000,000","205,000,000","728,000,000",,,,,,,,,,,,,,,
				BuildingsAndImprovements,,,,,,,,,,,,,,,"2,013,000,000","1,752,000,000","1,540,000,000","1,325,000,000","1,139,000,000","861,000,000","719,000,000","540,000,000",,,,,,,,,,,,,,,,
				MachineryFurnitureEquipment,"4,002,000,000","3,928,000,000","5,419,000,000","6,333,000,000","6,286,000,000","5,865,000,000","5,410,000,000","4,998,000,000","5,002,000,000","4,729,000,000","4,515,000,000","4,981,000,000","4,701,000,000","4,447,000,000","4,060,000,000","3,057,000,000","2,627,000,000","2,898,000,000","2,458,000,000","2,151,000,000","2,108,000,000","1,649,000,000","1,260,000,000",,,,,,,,,,,,,,,
				OtherProperties,"2,758,000,000","2,746,000,000","2,654,000,000","2,612,000,000","2,709,000,000",,,,,,,,"120,000,000","95,000,000","112,000,000","67,000,000","32,000,000","33,000,000","89,000,000","78,000,000","54,000,000","39,000,000","-1,000,000",,,,,,,,,,,,,,,
				Leases,"2,372,000,000","2,360,000,000","2,251,000,000","2,265,000,000","2,292,000,000","2,698,000,000","2,667,000,000","2,527,000,000","2,492,000,000","2,320,000,000","2,302,000,000","2,496,000,000","2,438,000,000","2,154,000,000","2,125,000,000",,,,,,,,,,,,,,,,,,,,,,,
			AccumulatedDepreciation,"-4,816,000,000","-4,624,000,000","-6,091,000,000","-6,996,000,000","-6,900,000,000","-6,690,000,000","-6,279,000,000","-5,850,000,000","-5,761,000,000","-5,365,000,000","-4,977,000,000","-4,781,000,000","-4,082,000,000","-3,383,000,000","-2,766,000,000","-2,302,000,000","-1,966,000,000","-2,124,000,000","-1,728,000,000","-1,330,000,000","-1,027,000,000","-772,000,000","-543,000,000","-395,387,000","-308,324,000","-248,600,000","-188,200,000","-132,700,000","-88,100,000","-60,800,000","-43,400,000","-29,600,000","-21,300,000","-15,500,000","-13,900,000","-7,100,000","-2,400,000","-1,100,000"
		GoodwillAndOtherIntangibleAssets,"1,383,000,000","1,383,000,000","1,659,000,000","1,287,000,000","1,347,000,000","1,265,000,000","425,000,000","443,000,000","443,000,000","482,000,000","526,000,000","1,694,000,000","2,762,000,000","2,890,000,000","2,698,000,000","1,185,000,000","1,000,000,000","601,000,000","553,000,000","514,000,000","462,000,000","465,000,000","385,000,000",,,,,,,,,,,,,,,
			Goodwill,"1,383,000,000","1,383,000,000","1,384,000,000","986,000,000","984,000,000","915,000,000","425,000,000","425,000,000","425,000,000","425,000,000","425,000,000","1,335,000,000","2,454,000,000","2,452,000,000","2,203,000,000","1,088,000,000","919,000,000","557,000,000","513,000,000",,,,,,,,,,,,,,,,,,,
			OtherIntangibleAssets,,"189,000,000","275,000,000","301,000,000","363,000,000","350,000,000","18,000,000","18,000,000","18,000,000","57,000,000","101,000,000","359,000,000","308,000,000","438,000,000","495,000,000","97,000,000","81,000,000","44,000,000","40,000,000","514,000,000","462,000,000","465,000,000","385,000,000",,,,,,,,,,,,,,,
		InvestmentsAndAdvances,,,,,,,,,,,,"140,000,000","328,000,000","324,000,000","395,000,000",,,,,,,,,,,,,,,,,,,,,,,
			LongTermEquityInvestment,,,,,,,,,,,,"140,000,000","328,000,000",,,,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCurrentAssets,"669,000,000","520,000,000","402,000,000","368,000,000","350,000,000","256,000,000","374,000,000","604,000,000","844,000,000","996,000,000","404,000,000","403,000,000","435,000,000","452,000,000","367,000,000","925,000,000","551,000,000","566,000,000","374,000,000","170,000,000","272,000,000","641,000,000","82,000,000","58,798,000","36,156,000","13,100,000","17,700,000","19,300,000","28,900,000","15,200,000","7,800,000","5,800,000","6,300,000","1,400,000","2,100,000","1,100,000","100,000","200,000"
TotalLiabilitiesNetMinorityInterest,"11,914,000,000","13,008,000,000","14,484,000,000","14,480,000,000","12,112,000,000","9,595,000,000","9,437,000,000","9,147,000,000","9,141,000,000","10,245,000,000","10,024,000,000","11,639,000,000","10,557,000,000","11,338,000,000","10,670,000,000","8,234,000,000","7,334,000,000","6,607,000,000","5,845,000,000","5,230,000,000","4,964,000,000","4,846,000,000","3,018,000,000","1,899,357,000","1,497,678,000","1,498,600,000","1,066,000,000","1,229,200,000","901,000,000","641,100,000","256,800,000","179,600,000","128,800,000","90,600,000","79,500,000","82,100,000","31,900,000","17,500,000"
