name,ttm,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012,01/31/2011,01/31/2010,01/31/2009,01/31/2008,01/31/2007,01/31/2006,01/31/2005,01/31/2004,01/31/2003,01/31/2002,01/31/2001,01/31/2000,01/31/1999,01/31/1998,01/31/1997
			ChangeInOtherCurrentAssets,"-30,552,000","33,623,000","-86,923,000","396,000","38,632,000","-20,137,000","33,302,000","25,185,000","-32,429,000","9,204,000","8,458,000","44,138,000","-34,318,000","-78,021,000",,,,,,,,,,,,,,,
			ChangeInOtherCurrentLiabilities,"-2,913,000","-6,897,000","9,458,000","-14,340,000","1,889,000","-3,642,000","-5,932,000","-10,918,000","-7,927,000","-25,123,000","-15,777,000","-14,449,000","-22,467,000","32,381,000",,,"-55,565,000","-13,922,000","-12,805,000","96,602,000","18,967,000","10,459,000","17,022,000","13,787,000","-17,906,000","-12,904,000","11,100,000","4,606,000","4,218,000"
			ChangeInOtherWorkingCapital,"-53,136,000","-19,840,000","-25,885,000","-96,913,000","-44,947,000","40,969,000","5,409,000","13,698,000","28,409,000","-35,182,000","-23,047,000","-34,933,000","58,486,000","44,415,000","38,821,000","-69,775,000","-59,659,000","40,073,000","16,963,000","3,307,000","-31,705,000","-6,355,000","-7,029,000","-11,741,000",,,"355,000","1,381,000","-718,000"
InvestingCashFlow,"-164,051,000","-157,182,000","-140,675,000","-96,979,000","-51,910,000","-202,784,000","-152,393,000","-106,798,000","-136,746,000","-122,567,000","-175,074,000","-173,861,000","-247,238,000","-340,689,000","-92,976,000","-111,561,000","-113,217,000","-500,170,000","-473,764,000","-668,307,000","279,635,000","-237,769,000","-451,318,000","-198,189,000","-110,880,000","-130,925,000","-41,900,000","-29,486,000","-24,323,000"
	CashFlowFromContinuingInvestingActivities,"-164,051,000","-157,182,000","-140,675,000","-96,979,000","-51,910,000","-202,784,000","-152,393,000","-106,798,000","-136,746,000","-122,567,000","-175,074,000","-173,861,000","-247,238,000","-340,689,000","-92,976,000","-111,561,000","-113,217,000","-500,170,000","-473,764,000","-668,307,000","279,635,000","-237,769,000","-451,318,000","-198,189,000","-110,880,000","-130,925,000","-41,900,000","-29,486,000","-24,323,000"
		CapitalExpenditureReported,,,,,,,,,,,"-174,624,000","-163,924,000","-339,862,000","-318,598,000","-160,935,000","-175,472,000","-367,602,000","-403,345,000",,,,,,,,,,,
		NetPPEPurchaseAndSale,"-149,051,000","-157,182,000","-152,675,000","-96,979,000","-101,910,000","-202,784,000","-152,393,000","-106,798,000","-136,746,000","-132,090,000","-174,624,000","-163,924,000",,,,,"-367,602,000","-403,345,000","-403,476,000","-256,422,000","-185,065,000","-159,777,000","-145,662,000","-126,515,000","-153,481,000","-83,824,000","-41,900,000","-29,486,000","-24,323,000"
			PurchaseOfPPE,"-149,666,000","-157,797,000","-164,566,000","-96,979,000","-101,910,000","-202,784,000","-152,393,000","-107,001,000","-140,844,000","-143,199,000","-174,624,000","-163,924,000",,,,,"-367,602,000","-403,345,000","-403,476,000","-256,422,000","-185,065,000","-159,777,000","-145,662,000","-126,515,000","-153,481,000","-83,824,000","-41,900,000","-29,486,000","-24,323,000"
			SaleOfPPE,,"615,000","11,891,000","0","0","0","0","203,000","4,098,000","11,109,000","0",,,,,,,,,,,,,,,,,,
		NetInvestmentPurchaseAndSale,,,,,,,,,,,"0","0","101,963,000","2,650,000","67,959,000","77,450,000","254,385,000","-96,825,000","-55,030,000","-411,885,000","464,700,000","-77,992,000","-310,610,000","-71,220,000","45,601,000","-45,601,000",,,
