name,04/30/2024,04/30/2023,04/30/2022,04/30/2021,04/30/2020,04/30/2019,04/30/2018,04/30/2017,04/30/2016,04/30/2015,04/30/2014,04/30/2013
TotalAssets,"905,084,000","980,779,000","1,071,553,000","1,031,113,000","1,156,432,000","946,180,000","1,039,211,000","1,299,832,000","1,071,683,000","1,090,668,000","1,143,760,000","1,026,460,000"
	CurrentAssets,"530,756,000","537,001,000","531,705,000","500,833,000","584,919,000","591,360,000","619,371,000","602,631,000","446,452,000","470,966,000","531,489,000","403,272,000"
		CashCashEquivalentsAndShortTermInvestments,"10,459,000","14,219,000","8,795,000","8,024,000","8,242,000","14,013,000","16,126,000","19,003,000","28,568,000","44,816,000","144,269,000","55,420,000"
			CashAndCashEquivalents,"10,459,000","14,219,000","8,795,000","8,024,000","8,242,000","14,013,000","16,126,000","19,003,000","28,568,000","44,816,000","144,269,000","55,420,000"
		Receivables,"102,819,000","90,168,000","133,709,000","118,171,000","90,085,000","91,907,000","90,506,000","73,261,000","50,924,000","76,551,000","39,001,000","36,294,000"
			AccountsReceivable,"75,026,000","71,990,000","102,358,000","99,583,000","75,702,000","74,311,000","67,634,000","58,460,000","35,578,000","26,423,000","29,663,000","26,480,000"
				GrossAccountsReceivable,,,,,,,,"60,719,000","37,898,000",,,
				AllowanceForDoubtfulAccountsReceivable,,,,,,,,"-2,259,000","-2,320,000",,,
			DuefromRelatedPartiesCurrent,,,,,,,,,"0","38,241,000","0",
			OtherReceivables,"27,793,000","18,178,000","31,351,000","18,588,000","14,383,000","17,596,000","22,872,000","14,801,000","15,346,000","11,887,000","9,338,000","9,814,000"
		Inventory,"377,029,000","353,328,000","323,466,000","309,804,000","469,649,000","467,323,000","491,338,000","486,890,000","360,507,000","344,974,000","322,409,000","289,418,000"
			FinishedGoods,"377,029,000","353,328,000","323,466,000","309,804,000","469,649,000","467,323,000","491,338,000","486,890,000","360,507,000","344,974,000","322,409,000","289,418,000"
			OtherInventories,,,,,,,,,,"47,550,000","47,063,000","44,060,000"
