name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014
MarketCap,"8,967,209,063","10,112,516,959","8,925,949,968","19,994,829,183","15,451,830,200","4,626,222,137","2,804,062,170","2,546,735,324","798,442,360","514,996,119","188,028,191"
EnterpriseValue,"33,228,209,063","21,566,516,959","20,908,949,968","45,856,829,183","42,231,830,200","8,567,393,137","5,590,800,170","4,619,493,324","1,544,484,360","1,256,799,119","889,423,191"
PeRatio,"11.297","14.293",,,,"49.7","14.2",,"5.968",,"52.399"
ForwardPeRatio,"26.385","12.469","19.724","37.453",,"27.624","11.905","17.575",,,
PegRatio,"3.251",,,,,,,,,,
PsRatio,"0.786","0.877","0.838","2.338","2.814","1.797","1.581","1.66","0.929","0.736","0.743"
PbRatio,"2.083","2.197","2.327","4.089","4.585","4.106","2.706","2.982","2.689","3.286","1.147"
EnterprisesValueRevenueRatio,"2.917","1.871","1.974","5.453","16.437","3.285","3.094","3.826","1.77","1.801","3.512"
EnterprisesValueEBITDARatio,"9.424","6.302","8.469","21.113","235.932","12.99","14.431","37.807","8.275","10.295","22.3"
