name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997
			OtherIntangibleAssets,"377,000,000","354,000,000","359,000,000","343,000,000","244,000,000","242,000,000","214,000,000","151,000,000","164,000,000","318,000,000","638,000,000","690,000,000","299,000,000","475,000,000","462,000,000","335,000,000","333,000,000","347,000,000","330,000,000","900,000,000","878,000,000","849,000,000","458,000,000","419,000,000","527,000,000","651,000,000","812,000,000"
		InvestmentsAndAdvances,"124,000,000","116,000,000","118,000,000","31,000,000","137,000,000","214,000,000",,,"61,000,000","52,000,000","53,000,000","72,000,000","167,000,000","154,000,000","144,000,000","65,000,000",,,,,,,,,,,
			LongTermEquityInvestment,"124,000,000","116,000,000","118,000,000","31,000,000","137,000,000","214,000,000",,,"61,000,000","52,000,000","53,000,000","72,000,000","167,000,000","154,000,000","144,000,000",,,,,,,,,,,,
				InvestmentsinSubsidiariesatCost,,,"118,000,000","31,000,000","137,000,000","214,000,000",,,,,,,,,,,,,,,,,,,,,
				InvestmentsinAssociatesatCost,,,,,,,,,"61,000,000","52,000,000","53,000,000","72,000,000","167,000,000",,,,,,,,,,,,,,
				InvestmentsInOtherVenturesUnderEquityMethod,"124,000,000","116,000,000","118,000,000","31,000,000","137,000,000","214,000,000",,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredAssets,"1,045,000,000","750,000,000","724,000,000","553,000,000","447,000,000","195,000,000","139,000,000","772,000,000","591,000,000","653,000,000","399,000,000","467,000,000","549,000,000","366,000,000","251,000,000","300,000,000","290,000,000","320,000,000","225,000,000",,,,,,,,
			NonCurrentDeferredTaxesAssets,"1,045,000,000","750,000,000","724,000,000","553,000,000","447,000,000","195,000,000","139,000,000","772,000,000","591,000,000","653,000,000","399,000,000","467,000,000","549,000,000","366,000,000","251,000,000","300,000,000","290,000,000","320,000,000","225,000,000",,,,,,,,
		OtherNonCurrentAssets,"473,000,000","466,000,000","560,000,000","553,000,000","534,000,000","510,000,000","345,000,000","376,000,000","2,701,000,000","560,000,000","566,000,000","575,000,000","775,000,000","519,000,000","544,000,000","561,000,000","617,000,000","507,000,000","493,000,000","610,000,000","656,000,000","784,000,000","602,000,000","502,000,000","417,000,000","359,000,000","355,000,000"
TotalLiabilitiesNetMinorityInterest,"14,089,000,000","14,722,000,000","14,339,000,000","13,743,000,000","13,247,000,000","12,056,000,000","11,645,000,000","11,068,000,000","7,092,000,000","6,730,000,000","6,466,000,000","6,760,000,000","6,918,000,000","6,647,000,000","6,034,000,000","6,621,000,000","6,103,000,000","4,916,000,000","4,348,000,000","4,101,000,000","4,500,000,000","4,806,000,000","4,321,000,000","4,471,000,000","4,521,000,000","5,694,000,000","6,734,000,000"
	CurrentLiabilities,"1,277,000,000","1,665,000,000","1,415,000,000","1,675,000,000","1,541,000,000","1,301,000,000","1,512,000,000","1,306,000,000","3,087,000,000","2,409,000,000","2,265,000,000","2,279,000,000","2,450,000,000","2,448,000,000","1,653,000,000","1,722,000,000","2,062,000,000","1,724,000,000","1,623,000,000","1,376,000,000","1,461,000,000","1,520,000,000","1,842,000,000","1,216,000,000","1,298,000,000","1,473,000,000","1,582,000,000"
		PayablesAndAccruedExpenses,"514,000,000","517,000,000","547,000,000","517,000,000","471,000,000","427,000,000","341,000,000","389,000,000","553,000,000","1,299,000,000","1,353,000,000","1,299,000,000","1,326,000,000","1,663,000,000","1,495,000,000","1,185,000,000","1,011,000,000","1,386,000,000","1,256,000,000","1,189,000,000","1,213,000,000","1,166,000,000","1,032,000,000","978,000,000","1,085,000,000","476,000,000","453,000,000"
			Payables,"286,000,000","259,000,000","240,000,000","248,000,000","375,000,000","319,000,000","332,000,000","350,000,000","507,000,000","1,049,000,000","1,118,000,000","1,035,000,000","1,097,000,000","1,663,000,000","1,495,000,000","809,000,000","639,000,000","1,386,000,000","1,256,000,000","1,189,000,000","1,213,000,000","1,166,000,000","1,032,000,000","978,000,000","1,085,000,000","476,000,000","453,000,000"
				AccountsPayable,"231,000,000","243,000,000","227,000,000","215,000,000","173,000,000","202,000,000","119,000,000","142,000,000","181,000,000","694,000,000","692,000,000","684,000,000","712,000,000","1,602,000,000","1,413,000,000","508,000,000","639,000,000","1,386,000,000","1,256,000,000","1,189,000,000","1,213,000,000","1,166,000,000","1,032,000,000","978,000,000","1,085,000,000","476,000,000","453,000,000"
				TotalTaxPayable,"55,000,000","16,000,000","13,000,000","33,000,000","202,000,000","117,000,000","213,000,000","102,000,000","129,000,000","177,000,000","262,000,000","200,000,000","254,000,000","61,000,000","82,000,000","214,000,000",,,,,,,,,,,
					IncomeTaxPayable,"55,000,000","16,000,000","13,000,000","33,000,000","150,000,000","69,000,000","123,000,000","36,000,000","55,000,000","77,000,000","169,000,000","97,000,000","142,000,000","61,000,000","82,000,000","114,000,000",,,,,,,,,,,
				DividendsPayable,,,,,,,"0","106,000,000","197,000,000","178,000,000","164,000,000","151,000,000","131,000,000",,"98,000,000","87,000,000",,,,,,,,,,,
			CurrentAccruedExpenses,"228,000,000","258,000,000","307,000,000","269,000,000","96,000,000","108,000,000","9,000,000","39,000,000","46,000,000","250,000,000","235,000,000","264,000,000","229,000,000",,"342,000,000","376,000,000","372,000,000",,,"263,000,000",,,,,,,
				InterestPayable,"82,000,000","83,000,000","78,000,000","73,000,000",,,,,,,,,,,,,,,,,,,,,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,"258,000,000","246,000,000","292,000,000","225,000,000","223,000,000","206,000,000","252,000,000","372,000,000","281,000,000","419,000,000","442,000,000","487,000,000","440,000,000",,,,,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"132,000,000","477,000,000","156,000,000","550,000,000","498,000,000","321,000,000","375,000,000","66,000,000","921,000,000","267,000,000","71,000,000","10,000,000","320,000,000","673,000,000","59,000,000","25,000,000","288,000,000","227,000,000","211,000,000","11,000,000","10,000,000","146,000,000","696,000,000","90,000,000","117,000,000","96,000,000","124,000,000"
			CurrentDebt,"45,000,000","390,000,000","68,000,000","453,000,000","431,000,000","321,000,000","375,000,000","66,000,000","921,000,000","267,000,000","71,000,000","10,000,000","320,000,000","673,000,000","59,000,000","25,000,000","288,000,000","227,000,000","211,000,000","11,000,000","10,000,000","146,000,000","696,000,000","90,000,000","117,000,000","96,000,000","124,000,000"
				LineOfCredit,,,,,,,,,"600,000,000","0",,,,,,,,,,,,,,,,,
				OtherCurrentBorrowings,"45,000,000","390,000,000","68,000,000","453,000,000","431,000,000","321,000,000","375,000,000","66,000,000","321,000,000","267,000,000","71,000,000","10,000,000","320,000,000",,,,,,,,,,,,,,
			CurrentCapitalLeaseObligation,"87,000,000","87,000,000","88,000,000","97,000,000","67,000,000",,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentLiabilities,"373,000,000","425,000,000","420,000,000","383,000,000","349,000,000","347,000,000","544,000,000","479,000,000","1,332,000,000","424,000,000","399,000,000","483,000,000","364,000,000","112,000,000","99,000,000","512,000,000","763,000,000","111,000,000","156,000,000","176,000,000","238,000,000","208,000,000","114,000,000","148,000,000","96,000,000","901,000,000","1,005,000,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"12,812,000,000","13,057,000,000","12,924,000,000","12,068,000,000","11,706,000,000","10,755,000,000","10,133,000,000","9,762,000,000","4,005,000,000","4,321,000,000","4,201,000,000","4,481,000,000","4,468,000,000","4,199,000,000","4,381,000,000","4,899,000,000","4,041,000,000","3,192,000,000","2,725,000,000","2,725,000,000","3,039,000,000","3,286,000,000","2,479,000,000","3,255,000,000","3,223,000,000","4,221,000,000","5,152,000,000"
		LongTermDebtAndCapitalLeaseObligation,"11,899,000,000","12,184,000,000","11,971,000,000","11,095,000,000","10,771,000,000","9,751,000,000","9,429,000,000","9,059,000,000","3,007,000,000","3,077,000,000","2,918,000,000","2,932,000,000","2,997,000,000","2,915,000,000","3,207,000,000","3,564,000,000","2,924,000,000","2,045,000,000","1,649,000,000","1,731,000,000","2,056,000,000","2,299,000,000","1,552,000,000","2,397,000,000","2,391,000,000","3,436,000,000","4,551,000,000"
			LongTermDebt,"11,100,000,000","11,404,000,000","11,121,000,000","10,207,000,000","10,061,000,000","9,751,000,000","9,429,000,000","9,059,000,000","3,007,000,000","3,077,000,000","2,918,000,000","2,932,000,000","2,997,000,000","2,915,000,000","3,207,000,000","3,564,000,000","2,924,000,000","2,045,000,000","1,649,000,000","1,731,000,000","2,056,000,000","2,299,000,000","1,552,000,000","2,397,000,000","2,391,000,000","3,436,000,000","4,551,000,000"
			LongTermCapitalLeaseObligation,"799,000,000","780,000,000","850,000,000","888,000,000","710,000,000",,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredLiabilities,,,,,,,,,,,,,,,,,,,,,,,,"10,000,000","7,000,000","65,000,000","33,000,000"
			NonCurrentDeferredTaxesLiabilities,,,,,,,,,,,,,,,,,,,,,,,,"10,000,000","7,000,000","65,000,000","33,000,000"
		PreferredSecuritiesOutsideStockEquity,,,,,,,,"0","6,000,000","9,000,000","39,000,000","59,000,000","0",,,,,,,,,,,,,,
		LiabilitiesHeldforSaleNonCurrent,,,,,,,,"0","247,000,000",,,,,,,,,,,,,,,,,,
		OtherNonCurrentLiabilities,"913,000,000","873,000,000","953,000,000","973,000,000","935,000,000","1,004,000,000","704,000,000","703,000,000","745,000,000","1,235,000,000","1,244,000,000","1,490,000,000","1,471,000,000","1,284,000,000","1,174,000,000","1,335,000,000","1,117,000,000","1,147,000,000","1,076,000,000","994,000,000","983,000,000","987,000,000","927,000,000","848,000,000","825,000,000","720,000,000","568,000,000"
TotalEquityGrossMinorityInterest,"-7,858,000,000","-8,876,000,000","-8,373,000,000","-7,891,000,000","-8,016,000,000","-7,926,000,000","-6,334,000,000","-5,615,000,000","969,000,000","1,604,000,000","2,229,000,000","2,253,000,000","1,916,000,000","1,669,000,000","1,114,000,000","-94,000,000","1,139,000,000","1,452,000,000","1,449,000,000","1,595,000,000","1,120,000,000","594,000,000","104,000,000","-322,000,000","-560,000,000","-1,163,000,000","-1,620,000,000"
	StockholdersEquity,"-7,858,000,000","-8,876,000,000","-8,373,000,000","-7,891,000,000","-8,016,000,000","-7,926,000,000","-6,334,000,000","-5,615,000,000","911,000,000","1,547,000,000","2,166,000,000","2,154,000,000","1,823,000,000","1,576,000,000","1,025,000,000","-108,000,000","1,139,000,000","1,452,000,000","1,449,000,000","1,595,000,000","1,120,000,000","594,000,000","104,000,000","-322,000,000","-560,000,000","-1,163,000,000","-1,620,000,000"
		CapitalStock,"60,000,000","0","0","0","0","0","0","0","0","0","0","0","18,000,000","0","0","0","0","0",,"659,000,000","916,000,000","1,046,000,000","1,097,000,000","1,133,000,000","1,264,000,000",,
			CommonStock,"60,000,000","0","0","0","0","0","0","0","0","0","0","0","18,000,000","0","0","0","0","0",,"659,000,000","916,000,000","1,046,000,000","1,097,000,000","1,133,000,000","1,264,000,000",,
		AdditionalPaidInCapital,,,,,,"0","0","0","0","0","0","0","18,000,000","86,000,000","253,000,000","7,000,000","1,119,000,000","1,608,000,000",,,,,,,,,
		RetainedEarnings,"-7,616,000,000","-8,507,000,000","-8,048,000,000","-7,480,000,000","-7,628,000,000","-7,592,000,000","-6,063,000,000","-5,157,000,000","1,150,000,000","1,737,000,000","2,102,000,000","2,286,000,000","2,052,000,000","1,717,000,000","996,000,000","303,000,000","1,119,000,000","1,593,000,000","1,619,000,000","1,067,000,000","414,000,000","-203,000,000","-786,000,000","-1,278,000,000","-1,691,000,000","-2,318,000,000","-2,763,000,000"
		GainsLossesNotAffectingRetainedEarnings,"-302,000,000","-369,000,000","-325,000,000","-411,000,000","-388,000,000","-334,000,000","-271,000,000","-458,000,000","-239,000,000","-190,000,000","64,000,000","-132,000,000","-247,000,000","-227,000,000","-224,000,000","-418,000,000","20,000,000","-156,000,000","-170,000,000","-131,000,000","-210,000,000","-249,000,000","-207,000,000","-177,000,000","-133,000,000",,
			ForeignCurrencyTranslationAdjustments,,,,,,,,,,,,,,,,,"94,000,000",,,,,,,,,,
			OtherEquityAdjustments,"-302,000,000","-369,000,000","-325,000,000","-411,000,000","-388,000,000","-334,000,000","-271,000,000","-458,000,000","-239,000,000","-190,000,000","64,000,000","-132,000,000","-247,000,000",,,,"-74,000,000",,,,,,,,,,
		OtherEquityInterest,,,,,,,,,,,,,,,,,,,,,,,,,,"1,155,000,000","1,143,000,000"
	MinorityInterest,,,,,,,,"0","58,000,000","57,000,000","63,000,000","99,000,000","93,000,000","93,000,000","89,000,000","14,000,000",,,,,,,,,,,
