name,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012,01/31/2011,01/31/2010,01/31/2009,01/31/2008,01/31/2007,01/31/2006,01/31/2004
TotalAssets,"7,091,941,000","5,607,038,000","4,942,478,000","4,185,215,000","3,281,354,000","2,084,711,000","1,998,483,000","1,657,541,000","1,314,077,000","1,296,213,000","1,252,388,000","1,051,078,000","734,634,000","499,302,000","307,258,000","211,636,369","155,092,237","72,293,109","41,913,967","2,323,000"
	CurrentAssets,"4,060,577,000","3,159,453,000","2,614,853,000","2,124,379,000","1,807,938,000","1,429,282,000","1,436,282,000","1,162,737,000","917,039,000","951,012,000","945,539,000","787,053,000","527,093,000","389,279,000","216,410,000","116,987,928","100,336,581","48,492,743","27,217,324",
		CashCashEquivalentsAndShortTermInvestments,"2,243,971,000","1,154,867,000","1,259,871,000","1,150,517,000","1,093,505,000","881,320,000","990,501,000","734,846,000","501,482,000","664,479,000","698,649,000","590,179,000","409,437,000","316,286,000","159,573,000","56,796,981","52,544,971","16,028,534","3,877,017","433,000"
			CashAndCashEquivalents,"2,243,971,000","1,154,867,000","1,259,871,000","1,150,517,000","1,093,505,000","881,320,000","990,501,000","734,846,000","501,482,000","664,479,000","698,649,000","590,179,000","409,437,000","316,286,000","159,573,000","56,796,981","52,544,971","16,028,534","3,877,017","433,000"
		Receivables,"308,502,000","318,547,000","195,929,000","201,525,000","125,378,000","85,171,000","68,121,000","90,390,000","104,561,000","54,293,000","11,903,000","6,351,000","5,202,000","9,116,000","8,238,000","4,029,032","4,302,430","2,290,665","1,300,281",
			AccountsReceivable,"124,769,000","132,906,000","77,001,000","62,399,000","40,219,000","35,786,000","19,173,000","9,200,000","13,108,000","13,746,000","11,903,000","6,351,000","5,202,000","9,116,000","8,238,000","4,029,032","4,302,430","2,290,665","1,300,281",
			TaxesReceivable,"183,733,000","185,641,000","118,928,000","139,126,000","85,159,000","49,385,000","48,948,000","81,190,000","91,453,000","40,547,000",,,,,,,,,,
			OtherReceivables,,,,"13,309,000",,,,,,,,,,,,,,,,
		Inventory,"1,323,602,000","1,447,367,000","966,481,000","647,230,000","518,513,000","404,842,000","329,562,000","298,432,000","284,009,000","208,116,000","188,790,000","155,222,000","104,097,000","57,469,000","44,070,000","52,050,891","37,931,990","26,628,113","21,077,881",
			RawMaterials,,,,,,,,,,,"4,000","583,000","2,531,000","1,913,000","1,461,000","558,100","541,650","4,644,620","6,377,275",
			WorkInProcess,,,,,,,,,,,,,,,,,,"1,634,196","1,868,569",
			FinishedGoods,,,,"647,230,000","518,513,000","404,842,000","344,695,000","306,087,000","290,791,000","214,113,000","196,292,000","163,008,000","105,462,000","59,138,000","45,181,000","52,827,534","37,885,720","21,310,791","13,076,666",
			OtherInventories,"1,465,076,000","1,571,981,000","1,004,526,000","678,200,000",,,,,,,,,,,,,,,,
			InventoriesAdjustmentsAllowances,"-141,474,000","-124,614,000","-38,045,000","-30,970,000",,"-16,089,000","-15,133,000","-7,655,000","-6,782,000","-5,997,000","-7,502,000","-8,369,000","-3,896,000","-3,582,000","-2,572,000","-1,334,743","-495,380","-961,494","-244,629",
		PrepaidAssets,"137,203,000","142,003,000","140,945,000","82,164,000","64,568,000","49,385,000","48,948,000","81,190,000","91,453,000","40,547,000","46,197,000","35,301,000","8,357,000","6,408,000","4,529,000","4,111,024","2,518,692","830,231","688,422",
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,"2,522,898",,
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,"2,522,898",,
		HedgingAssetsCurrent,"647,000","16,707,000","19,077,000","17,364,000","1,735,000",,,,,,,,,,,,,,,
