name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000
OperatingCashFlow,"29,089,000","19,906,000","48,023,000","28,271,000","57,426,000","30,306,000","12,526,000","48,899,000","11,825,000","39,274,000","45,697,000","12,876,000","16,209,000","34,063,000","38,552,161","34,956,534","16,373,966","11,324,473","7,969,150","12,320,207","21,313,353","3,977,601","-1,000","-4,977","-2,972"
	CashFlowFromContinuingOperatingActivities,"29,089,000","19,906,000","48,023,000","28,271,000","57,426,000","30,306,000","12,526,000","48,899,000","11,825,000","39,274,000","45,697,000","12,876,000","16,209,000","34,063,000","38,552,161","34,956,534","16,373,966","11,324,473","7,969,150","12,320,207","22,719,873","1,561,151","-1,000","-4,977","-2,972"
		NetIncomeFromContinuingOperations,"41,406,000","42,738,000","22,343,000","10,726,000","-10,271,000","8,385,000","79,000","-18,639,000","22,977,000","27,897,000","39,594,000","33,065,000","25,486,000","47,903,000","62,917,302","-18,651,125","17,506,649","8,859,906","4,811,704","3,315,478","6,888,928","3,998,808","4,159,000","2,185","-2,972"
		OperatingGainsLosses,"2,350,000","357,000","-2,331,000","-5,942,000","-3,963,000","-2,038,000","-1,560,000","-4,801,000","-1,277,000","-311,000","-7,735,000","-4,589,000","-4,840,000","-21,024,000","-19,466,626","43,097,297","4,073,394","9,738,740","5,548,471","2,680,318","4,118,417","7,519,844","-4,160,000",,
			GainLossOnSaleOfBusiness,,,,,,,,"0","-698,000","0",,"0","-2,848,000","0",,,,,,,,,,,
			GainLossOnSaleOfPPE,"755,000","-3,000","58,000","389,000","129,000","-632,000","-445,000","-2,184,000","-23,000","0","-7,475,000","-4,282,000","-849,000","105,000","690,256","22,970",,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,"449,000","-20,971,000",,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"1,595,000","360,000","-2,389,000","-6,331,000","-4,092,000","-1,406,000","-1,115,000","-2,617,000","-556,000","-311,000","-260,000","-307,000","-171,000","-158,000","14,816",,,,,,,,,,
		DepreciationAmortizationDepletion,"19,048,000","18,708,000","25,173,000","27,113,000","22,057,000","17,852,000","16,816,000","15,358,000","13,926,000","15,273,000","15,523,000","14,587,000","13,910,000","13,501,000","9,497,618","8,684,169","9,924,992","7,349,546","6,476,214","4,908,243","2,006,052","2,390,944",,,
			DepreciationAndAmortization,"19,048,000","18,708,000","25,173,000","27,113,000","22,057,000","17,852,000","16,816,000","15,358,000","13,926,000","15,273,000","15,523,000","14,587,000","13,910,000","13,501,000","9,497,618","8,684,169","9,924,992","7,349,546","6,476,214","4,908,243","2,006,052","2,390,944",,,
		DeferredTax,"-1,556,000","-1,319,000","1,243,000","4,020,000","2,205,000","16,000","-2,502,000","4,143,000","-1,628,000","-655,000","-1,684,000","-1,471,000","-1,557,000","-915,000","620,880","-1,676,731","-974,383","-1,315,510",,,,,,,
			DeferredIncomeTax,"-1,556,000","-1,319,000","1,243,000","4,020,000","2,205,000","16,000","-2,502,000","4,143,000","-1,628,000","-655,000","-1,684,000","-1,471,000","-1,557,000","-915,000","620,880","-1,676,731","-974,383","-1,315,510",,,,,,,
		AmortizationOfSecurities,,,,,,,,,,,"0","57,000","173,000","0","0","3,891,148","424,665",,,,,,,,
		AssetImpairmentCharge,,"794,000","2,676,000","0",,,"6,239,000","5,109,000","3,210,000","2,554,000","3,908,000","2,313,000","876,000","-23,000",,"901,680","1,030,738",,,,,,,,
		ProvisionandWriteOffofAssets,"2,032,000","1,564,000","4,404,000","2,738,000","6,238,000","-441,000","887,000","887,000","-21,000","-144,000","96,000","60,000","204,000","-76,000","-2,373,520","901,680",,,,,,,,,
		UnrealizedGainLossOnInvestmentSecurities,,,,,,,,,,,,"0","449,000",,,,,,,,,,,,
		StockBasedCompensation,,,"0","88,000","0","0","23,000","100,000","137,000","105,000","193,000","194,000","76,000","101,000","595,402","446,676","345,426",,,,,,,,
		OtherNonCashItems,,,,"-1,253,000","287,000",,,,"137,000","105,000","193,000","57,000","173,000","-1,565,000","431,646","796,675","-995,481","-727,748","1,127,065","-6,061",,,,,
		ChangeInWorkingCapital,"-34,985,000","-42,936,000","-5,485,000","-9,219,000","40,873,000","6,532,000","-1,217,000","46,742,000","-25,499,000","-5,445,000","-4,198,000","-31,340,000","-18,119,000","-3,839,000","-13,670,541","-2,533,255","-10,888,640","-12,580,461","-9,994,304","1,422,229","9,706,476","-12,348,445","1,103,000",,
			ChangeInReceivables,"-53,383,000","-51,255,000","-36,935,000","26,560,000","7,295,000","21,044,000","27,526,000","30,908,000","-56,251,000","11,835,000","-18,712,000","-54,820,000","-19,551,000","-6,201,000","-33,055,864","-58,735,311","-9,335,776","-19,748,023","-14,785,434","-3,786,037","6,800,004","-8,114,192",,,
				ChangesInAccountReceivables,,"-50,699,000","-36,935,000",,,,,,,,,,,,,,,,,,,,,,
			ChangeInInventory,"-5,738,000","-1,654,000","-5,368,000","-25,684,000","-109,000","3,992,000","-11,614,000","-12,156,000","-15,442,000","-7,626,000","-10,156,000","-8,716,000","229,000","-12,459,000","-8,679,749","-1,849,579","-4,955,085","-3,454,479","-2,534,133","-100,143","-2,882,650","-423,884",,,
			ChangeInPrepaidAssets,,"-3,881,000","-41,000","1,439,000","1,176,000","4,733,000","-3,790,000","-529,000","-2,331,000","-3,176,000","1,272,000","8,000","-1,283,000","1,577,000","-1,721,067","-969,036","-544,526",,,,,,,,
			ChangeInPayablesAndAccruedExpense,"23,061,000","10,763,000","33,279,000","-12,404,000","32,418,000","-23,798,000","-12,993,000","28,108,000","49,970,000","-6,617,000","22,996,000","38,102,000","9,426,000","12,653,000","38,468,811","63,332,585","5,634,125","7,120,821","4,932,755","2,856,879","7,943,244","-9,694,814","1,103,000",,
				ChangeInPayable,"23,913,000","13,353,000","30,493,000","-5,602,000","24,276,000","-23,464,000","-20,276,000","26,697,000","38,510,000","-4,391,000","19,444,000","31,129,000","14,158,000","10,252,000","38,514,503","62,309,298","5,832,467",,,,,,,,
					ChangeInTaxPayable,"-8,592,000","-6,835,000","2,925,000","-4,501,000","-3,474,000","-1,326,000","2,215,000","24,164,000","3,130,000","-1,813,000","4,231,000","1,994,000","4,170,000","-5,108,000","-4,963,593","5,755,520","-3,974,905",,,,,,,,
						ChangeInIncomeTaxPayable,"-8,592,000","-6,835,000","2,925,000","-4,501,000","-3,474,000","-1,326,000","2,215,000","24,164,000","3,130,000","-1,813,000","4,231,000","1,994,000","4,170,000","-5,108,000","-4,963,593","5,755,520","-3,974,905",,,,,,,,
					ChangeInAccountPayable,"34,341,000","22,024,000","27,271,000","-2,801,000","27,248,000","-22,138,000","-22,491,000","2,533,000","35,455,000","-2,578,000","11,940,000","26,600,000","7,745,000","15,014,000","36,821,221","48,178,260",,,,,,,,,
				ChangeInAccruedExpense,"-852,000","-2,590,000","2,786,000","-6,802,000","8,142,000","-334,000","7,283,000","1,411,000","11,460,000","-2,226,000","3,552,000","6,973,000","-4,732,000","2,401,000","-45,692","1,023,287","-198,342",,,,,,,,
			ChangeInOtherCurrentAssets,,,,,,,,,,,,,,"181,608","-7,656,455","-5,994,298","-1,776,424","-939,871","-1,974,512","2,074,426","-570,468","1,272,067",,,
			ChangeInOtherCurrentLiabilities,,,,,,,,,"-646,000","-225,000","207,000","787,000","-52,000","409,036","-1,232,590","1,682,384","89,046","4,441,091","4,367,082","271,868","-1,583,654","4,612,378",,,
			ChangeInOtherWorkingCapital,,"3,091,000","3,580,000","870,000","93,000","561,000","-346,000","411,000","-1,445,000","139,000","402,000","-5,914,000","-6,940,000","591,000","206,373",,"-126,553",,"-62","105,236",,,,,
	CashFromDiscontinuedOperatingActivities,,,,,,,,,,,,,,,,,,,,,"-1,406,520","2,416,450",,,
