name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993
			SaleOfInvestment,,,,,,,,,,,,,,,"17,364,000","5,819,000",,,,,,,,,,,"500,000",,"34,900,000","11,100,000","7,700,000","10,100,000"
		NetOtherInvestingChanges,"-156,616,000","-3,211,000","-3,164,000","-1,928,000","-975,000","-142,026,000","-34,818,000","-2,747,000","-57,871,000","4,074,000","3,705,000","5,396,000","-19,732,000","5,951,000","12,018,000","-5,989,000","6,603,000","1,734,000","2,795,000","-2,704,000","-153,000","4,664,000","-5,406,000","2,677,000","-11,391,000","1,200,000","-300,000","-800,000","100,000","-100,000","-1,300,000","6,000,000"
FinancingCashFlow,"-1,789,659,000","-1,868,738,000","-2,662,536,000","-2,694,858,000","-1,796,577,000","-902,811,000","-1,208,286,000","-1,039,714,000","-951,320,000","-1,072,559,000","-747,786,000","-536,082,000","-1,047,572,000","-467,507,000","-349,624,000","121,095,000","52,801,000","18,552,000","37,792,000","18,107,000","-6,616,000","-46,515,000","15,144,000","33,654,000","34,098,000","56,100,000","119,300,000","20,900,000","4,700,000","48,500,000","100,000","14,500,000"
	CashFlowFromContinuingFinancingActivities,"-1,789,659,000","-1,868,738,000","-2,662,536,000","-2,694,858,000","-1,796,577,000","-902,811,000","-1,208,286,000","-1,039,714,000","-951,320,000","-1,072,559,000","-747,786,000","-536,082,000","-1,047,572,000","-467,507,000","-349,624,000","121,095,000","52,801,000","18,552,000","37,792,000","18,107,000","-6,616,000","-46,515,000","15,144,000","33,654,000","34,098,000","56,100,000","119,300,000","20,900,000","4,700,000","48,500,000","100,000","14,500,000"
		NetIssuancePaymentsOfDebt,"522,944,000","1,196,444,000","547,314,000","-300,000,000","236,515,000","473,955,000","439,660,000","1,094,800,000","499,160,000","-25,000","-72,000","299,752,000","297,946,000","438,520,000","-431,327,000","50,952,000","28,860,000","-10,010,000","8,761,000","-602,000","-20,989,000","-70,677,000","7,879,000","16,552,000","28,744,000","-76,500,000","116,200,000","19,400,000","2,800,000","-200,000","-500,000","-4,800,000"
			NetLongTermDebtIssuance,"696,444,000","1,196,444,000","547,314,000","-300,000,000","497,515,000","499,955,000","498,660,000","748,800,000","499,160,000","-25,000","-72,000","299,752,000","297,946,000","794,520,000","-108,527,000","-13,648,000","28,860,000",,,"-602,000","-20,989,000","-70,677,000",,,,,,,,,,
				LongTermDebtIssuance,"1,977,444,000","4,723,444,000","1,633,114,000","0","997,515,000","499,955,000","498,660,000","748,800,000","499,160,000",,"0","299,976,000","298,881,000","795,963,000","0","664,550,000","925,256,000",,,"0","0","27,900,000",,,,,,,,,,
				LongTermDebtPayments,"-1,281,000,000","-3,527,000,000","-1,085,800,000","-300,000,000","-500,000,000","0","0","-2,755,000,000","0","-25,000","-72,000","-224,000","-935,000","-1,443,000","-108,527,000","-13,648,000","-896,396,000",,,"-602,000","-20,989,000","-98,577,000",,,,,,,,,,
			NetShortTermDebtIssuance,,,"0","0","-261,000,000","-26,000,000","-59,000,000","346,000,000","0",,,"0","0","-356,000,000","-322,800,000","64,600,000",,,,,,,,,,,,,,,,
				ShortTermDebtIssuance,,,"785,800,000","0","1,162,000,000","2,708,000,000","2,414,000,000","3,101,000,000","0",,,"0","0","42,400,000","548,700,000","664,550,000",,,,,,,,,,,,,,,,
