name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009
			CurrentDeferredRevenue,"26,595,000","36,220,000","56,558,000","72,229,000","31,715,000","40,570,000","58,026,000","77,893,000","72,689,000","89,073,000","91,987,000","84,757,000","38,777,000",,
		OtherCurrentLiabilities,"44,290,000","52,034,000","62,825,000","70,723,000","70,544,000","77,046,000","100,284,000","207,185,000","203,623,000","296,877,000","59,578,000","50,258,000","40,504,000","21,613,000","877,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"242,114,000","252,819,000","316,598,000","364,845,000","370,150,000","302,357,000","292,161,000","283,264,000","122,152,000","169,055,000","142,550,000","120,932,000","79,847,000","1,621,000","34,712,000"
		LongTermDebtAndCapitalLeaseObligation,"228,852,000","234,233,000","282,150,000","320,417,000","330,994,000","214,150,000","208,253,000","198,714,000","30,943,000","23,387,000","5,665,000",,,,
			LongTermDebt,"226,470,000","224,923,000","223,403,000","229,490,000","214,869,000","201,669,000","189,753,000","178,995,000",,,,,,,
			LongTermCapitalLeaseObligation,"2,382,000","9,310,000","58,747,000","90,927,000","116,125,000","12,481,000","18,500,000","19,719,000","30,943,000","23,387,000","5,665,000",,,,
		NonCurrentDeferredLiabilities,"2,525,000","3,100,000","2,802,000","7,420,000","3,903,000","38,805,000","29,843,000","1,714,000","8,612,000","32,771,000","20,001,000","30,022,000","12,145,000","604,000","0"
			NonCurrentDeferredTaxesLiabilities,"2,525,000","3,100,000","2,802,000","3,170,000","3,903,000","6,619,000","811,000","1,714,000","8,612,000","32,771,000","10,853,000","20,860,000","7,428,000","604,000","0"
			NonCurrentDeferredRevenue,,,,,"0","32,186,000","29,032,000",,,"13,200,000","9,148,000","9,162,000","4,717,000",,
		TradeandOtherPayablesNonCurrent,"9,373,000","11,213,000","24,213,000","25,593,000","30,121,000","39,858,000","43,699,000","41,611,000","46,506,000","82,138,000","109,286,000","77,553,000","55,127,000",,
		PreferredSecuritiesOutsideStockEquity,,,,,,,,,,,,"0","1,653,000","0","34,712,000"
		LiabilitiesHeldforSaleNonCurrent,,,,,,,"0","2,927,000","0","6,753,000",,,,,
