name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015
TotalRevenue,"1,394,000,000","1,397,000,000","1,498,000,000","1,565,000,000","1,300,000,000","2,053,000,000","1,868,000,000","1,280,000,000","1,269,000,000","1,301,000,000"
	OperatingRevenue,"1,236,000,000","1,236,000,000","1,213,000,000","1,125,000,000","846,000,000","1,298,000,000","1,167,000,000","918,000,000","901,000,000","925,000,000"
CostOfRevenue,,"582,000,000","668,000,000","770,000,000","769,000,000","1,186,000,000","1,072,000,000","637,000,000","647,000,000","690,000,000"
GrossProfit,,"815,000,000","830,000,000","795,000,000","531,000,000","867,000,000","796,000,000","643,000,000","622,000,000","611,000,000"
OperatingExpense,"868,000,000","882,000,000","974,000,000","1,110,000,000","1,092,000,000","1,589,000,000","1,472,000,000","983,000,000","971,000,000","1,038,000,000"
	SellingGeneralAndAdministration,"699,000,000","699,000,000","647,000,000","563,000,000","535,000,000","693,000,000","605,000,000","461,000,000","459,000,000","508,000,000"
		GeneralAndAdministrativeExpense,"129,000,000","130,000,000","123,000,000","113,000,000","116,000,000","130,000,000","119,000,000","88,000,000","83,000,000","90,000,000"
			SalariesAndWages,,,,,"2,000,000","22,000,000","77,000,000","3,000,000","0","0"
			OtherGandA,"129,000,000","130,000,000","123,000,000","113,000,000","116,000,000","130,000,000","119,000,000","88,000,000","83,000,000","90,000,000"
		SellingAndMarketingExpense,"570,000,000","569,000,000","524,000,000","450,000,000","419,000,000","563,000,000","486,000,000","373,000,000","376,000,000","418,000,000"
	DepreciationAmortizationDepletionIncomeStatement,"76,000,000","76,000,000","77,000,000","95,000,000","98,000,000","109,000,000","99,000,000","75,000,000","73,000,000","67,000,000"
		DepreciationAndAmortizationInIncomeStatement,"76,000,000","76,000,000","77,000,000","95,000,000","98,000,000","109,000,000","99,000,000","75,000,000","73,000,000","67,000,000"
	OtherOperatingExpenses,"93,000,000","107,000,000","250,000,000","452,000,000","459,000,000","787,000,000","768,000,000","447,000,000","439,000,000","463,000,000"
OperatingIncome,"526,000,000","515,000,000","524,000,000","455,000,000","208,000,000","464,000,000","396,000,000","297,000,000","298,000,000","263,000,000"
NetNonOperatingInterestIncomeExpense,"-115,000,000","-102,000,000","-80,000,000","-93,000,000","-112,000,000","-100,000,000","-60,000,000","-6,000,000","-1,000,000","-1,000,000"
	InterestIncomeNonOperating,,"6,000,000","5,000,000","1,000,000","2,000,000","4,000,000",,,,
	InterestExpenseNonOperating,"121,000,000","108,000,000","85,000,000","94,000,000","114,000,000","104,000,000","60,000,000","6,000,000","1,000,000","1,000,000"
	TotalOtherFinanceCost,"100,000,000",,,,,"100,000,000","60,000,000","6,000,000","1,000,000","1,000,000"
OtherIncomeExpense,"-67,000,000","-15,000,000","32,000,000","-27,000,000","-254,000,000","-157,000,000","-113,000,000","-48,000,000","-3,000,000","-13,000,000"
	SpecialIncomeCharges,"-67,000,000","-15,000,000","32,000,000","-27,000,000","-254,000,000","-157,000,000","-113,000,000","-48,000,000","-3,000,000","-13,000,000"
		RestructuringAndMergernAcquisition,"52,000,000","12,000,000","1,000,000","3,000,000","48,000,000","70,000,000","113,000,000","7,000,000","3,000,000","6,000,000"
		ImpairmentOfCapitalAssets,,"0","0","6,000,000","206,000,000","45,000,000","0","41,000,000","0","7,000,000"
		WriteOff,"12,000,000","0","0","6,000,000","206,000,000","45,000,000","0","41,000,000","0","7,000,000"
		OtherSpecialCharges,"3,000,000","3,000,000","2,000,000","18,000,000",,"42,000,000",,,,
		GainOnSaleOfBusiness,,,,,"-2,000,000","-22,000,000","-77,000,000","-3,000,000","0","0"
		GainOnSaleOfPPE,,"0","35,000,000","0",,,,,,
PretaxIncome,"344,000,000","398,000,000","476,000,000","335,000,000","-158,000,000","207,000,000","223,000,000","243,000,000","294,000,000","249,000,000"
TaxProvision,"90,000,000","109,000,000","121,000,000","91,000,000","-26,000,000","50,000,000","61,000,000","13,000,000","118,000,000","100,000,000"
NetIncomeCommonStockholders,"254,000,000","289,000,000","355,000,000","244,000,000","-132,000,000","157,000,000","162,000,000","230,000,000","176,000,000","149,000,000"
	NetIncome,"254,000,000","289,000,000","355,000,000","244,000,000","-132,000,000","157,000,000","162,000,000","230,000,000","176,000,000","149,000,000"
		NetIncomeIncludingNoncontrollingInterests,"254,000,000","289,000,000","355,000,000","244,000,000","-132,000,000","157,000,000","162,000,000","230,000,000","176,000,000","149,000,000"
			NetIncomeContinuousOperations,"254,000,000","289,000,000","355,000,000","244,000,000","-132,000,000","157,000,000","162,000,000","230,000,000","176,000,000","149,000,000"
	OtherunderPreferredStockDividend,,,,,,,,"-20,000,000",,
DilutedNIAvailtoComStockholders,"254,000,000","289,000,000","355,000,000","244,000,000","-132,000,000","157,000,000","162,000,000","230,000,000","176,000,000","149,000,000"
BasicEPS,"3.11","3.43","3.93","2.61","-1.42","1.63","1.62","2.305","1.762","1.491"
DilutedEPS,"3.08","3.41","3.91","2.6","-1.42","1.62","1.62","2.305","1.762","1.491"
BasicAverageShares,"81,800,000","84,400,000","90,300,000","93,400,000","93,400,000","96,500,000","99,500,000","99,782,991","99,900,000","99,900,000"
DilutedAverageShares,"82,300,000","84,900,000","90,800,000","93,900,000","93,400,000","96,600,000","99,800,000","99,782,991","99,900,000","99,900,000"
TotalOperatingIncomeAsReported,"462,000,000","503,000,000","558,000,000","446,000,000","-46,000,000","307,000,000","283,000,000","249,000,000","295,000,000","250,000,000"
TotalExpenses,"868,000,000","882,000,000","974,000,000","1,110,000,000","1,092,000,000","1,589,000,000","1,472,000,000","983,000,000","971,000,000","1,038,000,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"254,000,000","289,000,000","355,000,000","244,000,000","-132,000,000","157,000,000","162,000,000","230,000,000","176,000,000","149,000,000"
NormalizedIncome,"303,470,930.233","299,890,000","331,128,000","263,656,000","80,090,000","276,006,000","244,038,000","275,456,000","177,800,000","156,800,000"
InterestIncome,,"6,000,000","5,000,000","1,000,000","2,000,000","4,000,000",,,,
InterestExpense,"121,000,000","108,000,000","85,000,000","94,000,000","114,000,000","104,000,000","60,000,000","6,000,000","1,000,000","1,000,000"
NetInterestIncome,"-115,000,000","-102,000,000","-80,000,000","-93,000,000","-112,000,000","-100,000,000","-60,000,000","-6,000,000","-1,000,000","-1,000,000"
EBIT,"465,000,000","506,000,000","561,000,000","429,000,000","-44,000,000","311,000,000","283,000,000","249,000,000","295,000,000","250,000,000"
EBITDA,"541,000,000","582,000,000","638,000,000","524,000,000","54,000,000","420,000,000","382,000,000","324,000,000","368,000,000","317,000,000"
ReconciledCostOfRevenue,,"582,000,000","668,000,000","770,000,000","769,000,000","1,186,000,000","1,072,000,000","637,000,000","647,000,000","690,000,000"
ReconciledDepreciation,"76,000,000","76,000,000","77,000,000","95,000,000","98,000,000","109,000,000","99,000,000","75,000,000","73,000,000","67,000,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"254,000,000","289,000,000","355,000,000","244,000,000","-132,000,000","157,000,000","162,000,000","230,000,000","176,000,000","149,000,000"
TotalUnusualItemsExcludingGoodwill,"-67,000,000","-15,000,000","32,000,000","-27,000,000","-254,000,000","-157,000,000","-113,000,000","-48,000,000","-3,000,000","-13,000,000"
TotalUnusualItems,"-67,000,000","-15,000,000","32,000,000","-27,000,000","-254,000,000","-157,000,000","-113,000,000","-48,000,000","-3,000,000","-13,000,000"
NormalizedEBITDA,"608,000,000","597,000,000","606,000,000","551,000,000","308,000,000","577,000,000","495,000,000","372,000,000","371,000,000","330,000,000"
TaxRateForCalcs,"0.262","0.274","0.254","0.272","0.165","0.242","0.274","0.053","0.4","0.4"
TaxEffectOfUnusualItems,"-17,529,069.767","-4,110,000","8,128,000","-7,344,000","-41,910,000","-37,994,000","-30,962,000","-2,544,000","-1,200,000","-5,200,000"
