name,ttm,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012,01/31/2011,01/31/2010,01/31/2009,01/31/2008,01/31/2007,01/31/2006,01/31/2005,01/31/2004,01/31/2003,01/31/2002,01/31/2001,01/31/2000,01/31/1999,01/31/1998,01/31/1997,01/31/1996,01/31/1995,01/31/1994
OperatingCashFlow,"461,978,000","509,411,000","142,729,000","359,319,000","285,814,000","273,893,000","446,624,000","303,059,000","415,252,000","419,614,000","322,321,000","423,155,000","395,680,000","282,702,000","385,113,000","325,394,000","251,570,000","254,353,000","187,117,000","149,191,000","149,995,000","80,153,000","48,430,000","32,740,000","22,880,000","24,261,000","27,244,000","18,900,000","9,000,000","15,700,000","8,800,000","8,000,000"
	CashFlowFromContinuingOperatingActivities,"461,978,000","509,411,000","142,729,000","359,319,000","285,814,000","273,893,000","446,624,000","303,059,000","415,252,000","419,614,000","322,321,000","423,155,000","395,680,000","282,702,000","385,113,000","325,394,000","251,570,000","254,353,000","187,117,000","149,191,000","149,995,000","80,153,000","48,430,000","32,740,000","22,880,000","24,261,000","27,244,000","18,900,000","9,000,000","15,700,000","8,800,000","8,000,000"
		NetIncomeFromContinuingOperations,"310,015,000","287,674,000","159,699,000","310,616,000","1,236,000","168,096,000","298,003,000","108,263,000","218,120,000","224,489,000","232,428,000","282,360,000","237,314,000","185,251,000","272,958,000","219,893,000","199,364,000","160,231,000","116,206,000","130,796,000","90,489,000","48,376,000","27,413,000","15,007,000","10,495,000","18,680,000","15,760,000","13,900,000","13,300,000","12,300,000","10,800,000","7,800,000"
		OperatingGainsLosses,"583,000","309,000","982,000","1,000","779,000","1,643,000","3,492,000","4,037,000","3,667,000","1,400,000","3,189,000","2,368,000","616,000","857,000","119,000","339,000","61,000","317,000","1,393,000","13,921,000","14,176,000","7,581,000","2,249,000","385,000","181,000","4,269,000","-13,000",,"100,000","-200,000","200,000","200,000"
			GainLossOnSaleOfPPE,"583,000","309,000","982,000","1,000","779,000","1,643,000","3,492,000","4,037,000","3,667,000","1,400,000","3,189,000","2,368,000","616,000","857,000","119,000","339,000","61,000",,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"111,568,000","102,487,000","102,339,000","105,672,000","103,771,000","112,256,000","117,986,000","128,408,000","135,330,000","142,722,000","138,110,000","132,664,000","118,664,000","108,112,000","101,105,000","92,350,000","81,949,000","70,017,000","55,713,000","39,340,000","31,858,000","25,010,000","19,950,000","15,462,000","11,997,000","8,667,000","5,621,000","4,600,000","3,500,000","2,900,000","2,100,000","1,500,000"
			DepreciationAndAmortization,"111,568,000","102,487,000","102,339,000","105,672,000","103,771,000","112,256,000","117,986,000","128,408,000","135,330,000","142,722,000","138,110,000","132,664,000","118,664,000","108,112,000","101,105,000","92,350,000","81,949,000","70,017,000","55,713,000","39,340,000","31,858,000","25,010,000","19,950,000","15,462,000","11,997,000","8,667,000","5,621,000","4,600,000","3,500,000","2,900,000","2,100,000","1,500,000"
		DeferredTax,"50,106,000","40,617,000","-2,577,000","-2,695,000","-14,270,000","1,451,000","-11,414,000","8,329,000","-4,801,000","13,662,000","-2,221,000","-28,505,000","22,248,000","-12,150,000","-8,727,000","2,161,000","-9,351,000","-2,782,000","-4,959,000","-6,870,000","-2,884,000","-1,132,000","-3,079,000","-1,274,000",,"-3,702,000","-561,000","-800,000","-700,000","-300,000","-200,000",
			DeferredIncomeTax,"50,106,000","40,617,000","-2,577,000","-2,695,000","-14,270,000","1,451,000","-11,414,000","8,329,000","-4,801,000","13,662,000","-2,221,000","-28,505,000","22,248,000","-12,150,000","-8,727,000","2,161,000","-9,351,000","-2,782,000","-4,959,000","-6,870,000","-2,884,000","-1,132,000","-3,079,000","-1,274,000",,"-3,702,000","-561,000","-800,000","-700,000","-300,000","-200,000",
		AssetImpairmentCharge,"22,880,000","18,279,000","6,417,000","0","15,496,000","28,522,000","3,544,000","11,410,000","4,341,000","8,928,000","0",,,,,,,,,,,,,,,,,,,,,
