name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012
OperatingCashFlow,"733,705,000","705,513,000","683,612,000","651,551,000","678,956,000","206,920,000","198,925,000","69,101,000","47,964,000","33,155,000","12,087,000","16,542,000","9,684,000"
	CashFlowFromContinuingOperatingActivities,"733,705,000","705,513,000","683,612,000","651,551,000","678,956,000","206,920,000","198,925,000","69,101,000","47,964,000","33,155,000","12,087,000","16,542,000","9,684,000"
		NetIncomeFromContinuingOperations,"287,125,000","307,568,000","-694,288,000","493,507,000","349,246,000","95,894,000","77,491,000","81,800,000","-29,901,000","-54,063,000","-15,243,000","-796,000","-2,385,000"
		OperatingGainsLosses,,"10,030,000","1,238,000","-14,071,000","24,204,000","-5,708,000","6,133,000","-26,904,000","14,064,000","26,227,000","3,539,000","1,096,000","862,000"
			GainLossOnSaleOfBusiness,,"2,630,000","0","0",,,,,,,,,
			NetForeignCurrencyExchangeGainLoss,,"7,400,000","1,238,000","-14,071,000","7,349,000","-5,708,000","5,997,000","-27,424,000","12,921,000","21,775,000","3,049,000","0","0"
			GainLossOnInvestmentSecurities,,,,,,,"-2,887,000","426,000","914,000","3,133,000","411,000","419,000","737,000"
		DepreciationAmortizationDepletion,"99,138,000","91,323,000","96,702,000","74,267,000","58,189,000","48,031,000","26,742,000","27,197,000","22,525,000","18,550,000","17,223,000","12,380,000","7,930,000"
			DepreciationAndAmortization,"99,138,000","91,323,000","96,702,000","74,267,000","58,189,000","48,031,000","26,742,000","27,197,000","22,525,000","18,550,000","17,223,000","12,380,000","7,930,000"
		DeferredTax,"13,191,000","-50,086,000","-55,303,000","-88,952,000","2,202,000","-15,248,000","-22,414,000","-49,535,000","27,101,000","12,986,000","0","0","-736,000"
			DeferredIncomeTax,"13,191,000","-50,086,000","-55,303,000","-88,952,000","2,202,000","-15,248,000","-22,414,000","-49,535,000","27,101,000","12,986,000","0","0","-736,000"
		AmortizationOfSecurities,,,,,,,,,,,,"8,000",
		AssetImpairmentCharge,"0","68,091,000","1,045,022,000","0",,"10,963,000","4,124,000","5,659,000","2,321,000","1,780,000","1,881,000","1,002,000","1,295,000"
		ProvisionandWriteOffofAssets,"16,697,000","19,634,000","12,464,000","16,031,000","15,033,000","10,963,000","4,124,000",,,,,"1,002,000",
		StockBasedCompensation,"283,994,000","284,558,000","230,888,000","139,910,000","65,114,000","44,395,000","38,231,000","26,559,000","15,901,000","10,841,000","10,050,000","3,834,000","4,094,000"
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,,,,"-3,235,000","-3,944,000","-4,877,000","-22,000","0"
		OtherNonCashItems,"-14,351,000","-1,901,000","6,423,000","6,976,000","40,771,000","18,599,000","9,272,000","4,006,000","6,435,000","3,367,000","68,000","8,000","14,000"
		ChangeInWorkingCapital,"37,881,000","-23,704,000","40,466,000","23,883,000","124,197,000","9,994,000","59,346,000","319,000","-10,482,000","13,467,000","-554,000","-960,000","-1,390,000"
			ChangeInReceivables,,"-45,394,000","-34,626,000","-103,197,000","-112,681,000","-35,833,000","40,651,000","-22,303,000","-19,102,000","-15,764,000","-10,172,000","-7,739,000","-6,304,000"
				ChangesInAccountReceivables,,"-45,394,000","-34,626,000","-103,197,000","-112,681,000","-35,833,000","40,651,000","-22,303,000","-19,102,000","-15,764,000","-10,172,000","-7,739,000","-6,304,000"
			ChangeInPrepaidAssets,,"-47,490,000","23,840,000","-44,186,000","-16,963,000","-14,156,000","-4,785,000","3,024,000","-1,384,000","-266,000","-5,820,000","-1,667,000","-426,000"
			ChangeInPayablesAndAccruedExpense,,"66,349,000","27,541,000","154,561,000","251,325,000","59,634,000","13,007,000","13,655,000","8,120,000","28,148,000","16,389,000","6,665,000","5,028,000"
				ChangeInPayable,,"31,910,000","21,102,000","69,772,000","104,691,000","22,224,000","-10,072,000","16,314,000","7,325,000","15,753,000","4,926,000","4,705,000","4,598,000"
					ChangeInAccountPayable,,"31,910,000","21,102,000","69,772,000","104,691,000","22,224,000","-10,072,000","16,314,000","7,325,000","15,753,000","4,926,000","4,705,000","4,598,000"
				ChangeInAccruedExpense,,"34,439,000","6,439,000","84,789,000","146,634,000","37,410,000","23,079,000","-2,659,000","795,000","12,395,000","11,463,000","1,960,000","430,000"
			ChangeInOtherCurrentAssets,"51,463,000","-2,409,000","7,390,000","-25,159,000","4,816,000","4,045,000","43,000","-28,000","438,000","225,000","-1,446,000","-295,000","-83,000"
			ChangeInOtherCurrentLiabilities,"12,496,000","4,783,000","14,416,000","40,423,000","-5,612,000","-3,887,000","9,099,000","5,537,000","482,000","-155,000","-198,000","1,282,000","0"
			ChangeInOtherWorkingCapital,,"457,000","1,905,000","1,441,000","3,312,000","191,000","1,331,000","434,000","964,000","1,279,000","693,000","794,000","395,000"
InvestingCashFlow,"-58,338,000","-73,307,000","-30,024,000","-1,557,969,000","-11,379,000","-488,373,000","-285,393,000","61,836,000","-135,430,000","-23,283,000","-20,723,000","-15,025,000","-28,877,000"
	CashFlowFromContinuingInvestingActivities,"-58,338,000","-73,307,000","-30,024,000","-1,557,969,000","-11,379,000","-488,373,000","-285,393,000","61,836,000","-135,430,000","-23,283,000","-20,723,000","-15,025,000","-28,877,000"
		NetPPEPurchaseAndSale,"-41,952,000","-39,896,000","-30,743,000","-28,170,000","-7,110,000","-15,278,000","-20,556,000","-13,156,000","-47,750,000","-20,835,000","-9,584,000","-17,072,000","-13,946,000"
			PurchaseOfPPE,"-41,952,000","-39,896,000","-30,743,000","-28,170,000","-7,110,000","-15,278,000","-20,556,000","-13,156,000","-47,750,000","-20,835,000","-9,584,000","-17,072,000","-13,946,000"
		NetIntangiblesPurchaseAndSale,"-1,502,000","-12,000","-6,456,000","-1,937,000","-880,000","-1,963,000","-35,494,000","0","0",,,,
			PurchaseOfIntangibles,"-1,502,000","-12,000","-6,456,000","-1,937,000","-880,000","-1,963,000","-35,494,000","0","0",,,"-9,310,000",
		NetBusinessPurchaseAndSale,,"0","0","-1,699,974,000","0","-270,409,000","0","0","-7,880,000","0","-4,688,000","-675,000","-200,000"
			PurchaseOfBusiness,,"0","0","-1,699,974,000","0","-270,409,000","0","0","-7,880,000","0","-4,688,000","-675,000","-200,000"
		NetInvestmentPurchaseAndSale,"-14,884,000","-33,399,000","7,175,000","172,112,000","-3,389,000","-200,723,000","-229,343,000","74,992,000","-79,800,000","-2,448,000","-1,110,000","2,722,000","-14,731,000"
			PurchaseOfInvestment,"-338,148,000","-342,850,000","-270,345,000","-418,518,000","-499,237,000","-661,821,000","-514,286,000","-62,348,000","-160,504,000","-26,040,000","-21,698,000","-39,000","-16,081,000"
