name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,06/30/2011,06/30/2010
OperatingCashFlow,"3,877,000,000","3,398,000,000","2,723,000,000","2,191,000,000","1,786,000,000","1,236,000,000","811,089,000","642,940,000","159,081,000","317,754,000","140,937,000","81,746,000","48,766,000","37,468,000","-7,532,000"
	CashFlowFromContinuingOperatingActivities,"3,877,000,000","3,398,000,000","2,723,000,000","2,191,000,000","1,786,000,000","1,236,000,000","811,089,000","642,940,000","159,081,000","317,754,000","140,937,000","81,746,000","48,766,000","37,468,000","-7,532,000"
		NetIncomeFromContinuingOperations,"1,146,000,000","1,731,000,000","325,000,000","230,000,000","119,000,000","627,000,000","-26,704,000","-116,846,000","-414,249,000","-198,426,000","-179,387,000","-73,708,000","-37,348,000","9,830,000","-29,705,000"
		OperatingGainsLosses,,,,"3,000,000","47,000,000",,"-19,257,000",,,,,,"2,466,000","60,000","702,000"
			GainLossOnSaleOfPPE,,,,,,,,,,,,,"2,466,000","60,000","0"
			GainLossOnInvestmentSecurities,,,,,,,"-19,257,000",,,,,,,,"702,000"
		DepreciationAmortizationDepletion,"566,000,000","562,000,000","433,000,000","472,000,000","336,000,000","252,000,000","149,604,000","113,875,000","83,082,000","60,356,000","42,059,000","24,152,000","13,506,000","1,472,000","369,000"
			DepreciationAndAmortization,"566,000,000","562,000,000","433,000,000","472,000,000","336,000,000","252,000,000","149,604,000","113,875,000","83,082,000","60,356,000","42,059,000","24,152,000","13,506,000","1,472,000","369,000"
				Depreciation,,,,,,,,,,,,,,"1,472,000",
		DeferredTax,"99,000,000","-857,000,000","15,000,000","-34,000,000","-24,000,000","-576,000,000","-34,180,000","-5,724,000","-658,000","-1,282,000","-1,198,000","-1,889,000","-2,440,000","-138,000","0"
			DeferredIncomeTax,"99,000,000","-857,000,000","15,000,000","-34,000,000","-24,000,000","-576,000,000","-34,180,000","-5,724,000","-658,000","-1,282,000","-1,198,000","-1,889,000","-2,440,000","-138,000","0"
		AmortizationOfSecurities,,,,,,,,"3,092,000","4,725,000","7,064,000","8,084,000","4,758,000","1,337,000","0","0"
		AssetImpairmentCharge,,,,,,,,,,,,,"384,000",,"64,000"
		UnrealizedGainLossOnInvestmentSecurities,,,,,,"0","-19,257,000","0",,,,,,,
		StockBasedCompensation,"1,692,000,000","1,604,000,000","1,401,000,000","1,131,000,000","870,000,000","662,000,000","543,953,000","394,004,000","317,654,000","257,713,000","154,319,000","65,581,000","27,937,000","2,954,000","545,000"
		OtherNonCashItems,"481,000,000","459,000,000","375,000,000","334,000,000","158,000,000","193,000,000","37,662,000","151,594,000","106,607,000","90,415,000","75,860,000","33,420,000","16,560,000","4,083,000","2,189,000"
		ChangeInWorkingCapital,"-107,000,000","-101,000,000","174,000,000","58,000,000","280,000,000","78,000,000","140,754,000","106,037,000","66,645,000","101,914,000","41,200,000","29,432,000","29,214,000","19,267,000","18,304,000"
			ChangeInReceivables,"-436,000,000","-300,000,000","-340,000,000","-401,000,000","-152,000,000","-260,000,000","-146,148,000","-99,693,000","-126,415,000","-50,855,000","-56,785,000","-29,506,000","-33,341,000","-14,762,000","-5,176,000"
				ChangesInAccountReceivables,"-436,000,000","-300,000,000","-340,000,000","-401,000,000","-152,000,000","-260,000,000","-146,148,000","-99,693,000","-126,415,000","-50,855,000","-56,785,000","-29,506,000","-33,341,000","-14,762,000","-5,176,000"
			ChangeInPrepaidAssets,"-319,000,000","-203,000,000","-39,000,000","-93,000,000","-55,000,000","-30,000,000","-19,886,000","-34,288,000","-24,164,000","-10,961,000","-5,540,000","3,471,000","-2,904,000","-3,180,000","-4,851,000"
			ChangeInPayablesAndAccruedExpense,"309,000,000","34,000,000","215,000,000","157,000,000","141,000,000","86,000,000","77,314,000","61,022,000","84,006,000","47,972,000","8,918,000","16,005,000","29,789,000","8,862,000","9,813,000"
				ChangeInPayable,"120,000,000","-142,000,000","172,000,000","55,000,000","-34,000,000","21,000,000","-4,757,000","-5,504,000","-3,554,000","14,785,000","10,223,000","-252,000","4,887,000","254,000","912,000"
					ChangeInAccountPayable,"120,000,000","-142,000,000","172,000,000","55,000,000","-34,000,000","21,000,000","-4,757,000","-5,504,000","-3,554,000","14,785,000","10,223,000","-252,000","4,887,000","254,000","912,000"
				ChangeInAccruedExpense,"189,000,000","176,000,000","43,000,000","102,000,000","175,000,000","65,000,000","82,071,000","66,526,000","87,560,000","33,187,000","-1,305,000","16,257,000","24,902,000","8,608,000","8,901,000"
			ChangeInOtherWorkingCapital,"339,000,000","368,000,000","338,000,000","395,000,000","346,000,000","282,000,000","229,474,000","178,996,000","133,218,000","115,758,000","94,607,000","39,462,000","35,670,000","28,347,000","18,518,000"
InvestingCashFlow,"-2,074,000,000","-2,167,000,000","-2,583,000,000","-1,607,000,000","-1,507,000,000","-725,000,000","-347,422,000","-883,948,000","-108,238,000","-231,521,000","-316,928,000","-402,795,000","-239,149,000","-8,383,000","-1,455,000"
	CashFlowFromContinuingInvestingActivities,"-2,074,000,000","-2,167,000,000","-2,583,000,000","-1,607,000,000","-1,507,000,000","-725,000,000","-347,422,000","-883,948,000","-108,238,000","-231,521,000","-316,928,000","-402,795,000","-239,149,000","-8,383,000","-1,455,000"
		NetPPEPurchaseAndSale,"-794,000,000","-694,000,000","-550,000,000","-392,000,000","-419,000,000","-265,000,000","-224,462,000","-150,510,000","-105,562,000","-87,481,000","-54,379,000","-55,321,000","-42,066,000","-8,733,000","-1,584,000"
			PurchaseOfPPE,"-794,000,000","-694,000,000","-550,000,000","-392,000,000","-419,000,000","-265,000,000","-224,462,000","-150,510,000","-105,562,000","-87,481,000","-54,379,000","-55,321,000","-42,066,000","-8,733,000","-1,584,000"
		NetIntangiblesPurchaseAndSale,,,"0","-7,000,000","-13,000,000","-73,000,000","-24,400,000","-6,670,000","-18,750,000","-1,750,000","0","0",,,
			PurchaseOfIntangibles,,,"0","-7,000,000","-13,000,000","-73,000,000","-24,400,000","-6,670,000","-18,750,000","-1,750,000","0","0",,,
		NetBusinessPurchaseAndSale,"-323,000,000","-282,000,000","-91,000,000","-785,000,000","-107,000,000","-7,000,000","-37,440,000","-58,203,000","-34,297,000","-1,100,000","-99,813,000","-13,330,000","0","0",
			PurchaseOfBusiness,"-323,000,000","-282,000,000","-91,000,000","-785,000,000","-107,000,000","-7,000,000","-37,440,000","-58,203,000","-34,297,000","-1,100,000","-99,813,000","-13,330,000","0","0",
		NetInvestmentPurchaseAndSale,"-908,000,000","-1,187,000,000","-1,960,000,000","-437,000,000","-969,000,000","-403,000,000","-61,120,000","-668,565,000","50,371,000","-141,190,000","-162,681,000","-333,967,000","-197,128,000","0","0"
			PurchaseOfInvestment,"-4,590,000,000","-4,709,000,000","-4,205,000,000","-2,556,000,000","-2,934,000,000","-1,596,000,000","-1,295,782,000","-1,194,261,000","-519,164,000","-723,282,000","-521,393,000","-570,679,000","-240,626,000","0","0"
			SaleOfInvestment,"3,682,000,000","3,522,000,000","2,245,000,000","2,119,000,000","1,965,000,000","1,193,000,000","1,234,662,000","525,696,000","569,535,000","582,092,000","358,712,000","236,712,000","43,498,000","0","0"
		NetOtherInvestingChanges,"-19,000,000","-4,000,000","18,000,000","7,000,000","1,000,000","23,000,000",,,"-210,000","-222,000","-55,000","-177,000","45,000","350,000","129,000"
FinancingCashFlow,"-1,294,000,000","-803,000,000","-344,000,000","-506,000,000","597,000,000","-302,000,000","-607,428,000","538,892,000","-55,752,000","80,330,000","68,735,000","568,570,000","241,839,000","1,227,000","30,672,000"
	CashFlowFromContinuingFinancingActivities,"-1,294,000,000","-803,000,000","-344,000,000","-506,000,000","597,000,000","-302,000,000","-607,428,000","538,892,000","-55,752,000","80,330,000","68,735,000","568,570,000","241,839,000","1,227,000","30,672,000"
		NetIssuancePaymentsOfDebt,,"0","-94,000,000","-61,000,000","-146,000,000","0","-430,578,000","767,209,000","-2,223,000","-223,000","0","562,941,000","0","0",
			NetLongTermDebtIssuance,,"0","-94,000,000","-61,000,000","-146,000,000","0","-430,578,000","767,209,000","-2,223,000","-223,000","0","562,941,000","0","0",
				LongTermDebtIssuance,,,"0","0","1,482,000,000","0","0","772,127,000","0","0","0","562,941,000","0","0",
				LongTermDebtPayments,,"0","-94,000,000","-61,000,000","-1,628,000,000","0","-430,578,000","-4,918,000","-2,223,000","-223,000","0","0",,,
		NetCommonStockIssuance,"-713,000,000","-538,000,000","0","0",,"0","0","-55,000,000","0","0","0","0","236,233,000","0","-20,814,000"
			CommonStockIssuance,,,,,,,,,,,"0","0","238,193,000","0","0"
			CommonStockPayments,"-713,000,000","-538,000,000","0","0",,"0","0","-55,000,000","0","0","0","0","-1,960,000","0","-20,814,000"
		NetPreferredStockIssuance,,,,,,,,,,,,,"0","0","51,245,000"
			PreferredStockIssuance,,,,,,,,,,,,,"0","0","51,245,000"
		ProceedsFromStockOptionExercised,"208,000,000","194,000,000","177,000,000","167,000,000","146,000,000","108,000,000","104,160,000","136,638,000","66,378,000","93,348,000","69,396,000","140,484,000","3,912,000","1,089,000","241,000"
		NetOtherFinancingCharges,"-789,000,000","-459,000,000","-427,000,000","-612,000,000","597,000,000","-410,000,000","-281,010,000","-309,955,000","-119,907,000","-12,795,000","-661,000","-134,855,000","1,694,000","138,000",
EndCashPosition,"2,179,000,000","1,904,000,000","1,475,000,000","1,732,000,000","1,679,000,000","778,000,000","568,538,000","727,829,000","401,932,000","412,786,000","252,455,000","366,303,000","118,989,000","59,853,000","29,402,000"
	ChangesInCash,"509,000,000","428,000,000","-204,000,000","78,000,000","876,000,000","209,000,000","-143,761,000","297,884,000","-4,909,000","166,563,000","-107,256,000","247,521,000","51,456,000","30,312,000","21,685,000"
	EffectOfExchangeRateChanges,"-12,000,000","1,000,000","-53,000,000","-25,000,000","25,000,000","0","-15,530,000","28,013,000","-5,945,000","-6,513,000","-6,592,000","-207,000","-555,000","139,000","-71,000"
	BeginningCashPosition,"1,670,000,000","1,475,000,000","1,732,000,000","1,679,000,000","778,000,000","569,000,000","727,829,000","401,932,000","412,786,000","252,736,000","366,303,000","118,989,000","68,088,000","29,402,000","7,788,000"
IncomeTaxPaidSupplementalData,"176,000,000","127,000,000","45,000,000","36,000,000","39,000,000","20,000,000","17,507,000","7,899,000","4,338,000","3,630,000","12,604,000","920,000","1,524,000","1,403,000","4,000"
InterestPaidSupplementalData,"23,000,000","23,000,000","24,000,000","41,000,000","0","0",,,,,,,"3,000","5,000","10,000"
CapitalExpenditure,"-824,000,000","-694,000,000","-550,000,000","-392,000,000","-432,000,000","-338,000,000","-248,862,000","-157,180,000","-124,312,000","-89,231,000","-54,379,000","-55,321,000","-42,066,000","-8,733,000","-1,584,000"
IssuanceOfCapitalStock,,,,,,,,,,,"0","0","238,193,000","0","51,245,000"
IssuanceOfDebt,,,"0","0","1,482,000,000","0","0","772,127,000","0","0","0","562,941,000","0","0",
RepaymentOfDebt,,"0","-94,000,000","-61,000,000","-1,628,000,000","0","-430,578,000","-4,918,000","-2,223,000","-223,000","0","0",,,
RepurchaseOfCapitalStock,"-713,000,000","-538,000,000","0","0",,"0","0","-55,000,000","0","0","0","0","-1,960,000","0","-20,814,000"
FreeCashFlow,"3,053,000,000","2,704,000,000","2,173,000,000","1,799,000,000","1,354,000,000","898,000,000","562,227,000","485,760,000","34,769,000","228,523,000","86,558,000","26,425,000","6,700,000","28,735,000","-9,116,000"
