name,ttm,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017
OperatingCashFlow,"1,330,403,000","1,166,207,000","941,007,000","574,784,000","356,566,000","99,943,000","-22,968,000","-58,766,000","-51,998,000"
	CashFlowFromContinuingOperatingActivities,"1,330,403,000","1,166,207,000","941,007,000","574,784,000","356,566,000","99,943,000","-22,968,000","-58,766,000","-51,998,000"
		NetIncomeFromContinuingOperations,"174,564,000","90,585,000","-182,285,000","-232,378,000","-92,629,000","-141,779,000","-140,077,000","-135,490,000","-91,340,000"
		OperatingGainsLosses,,"-3,936,000",,,"-1,347,000","6,022,000","3,767,000","264,000","149,000"
			GainLossOnSaleOfPPE,,,,,"15,000","0","191,000","0","0"
			GainLossOnInvestmentSecurities,,"-3,936,000",,,"-1,347,000","6,022,000","3,576,000","264,000","149,000"
		DepreciationAmortizationDepletion,"182,062,000","145,254,000","93,810,000","68,810,000","40,158,000","23,513,000","15,398,000","7,739,000","3,021,000"
			DepreciationAndAmortization,"182,062,000","145,254,000","93,810,000","68,810,000","40,158,000","23,513,000","15,398,000","7,739,000","3,021,000"
				Depreciation,"159,590,000","126,838,000","77,245,000","55,908,000","38,710,000","23,026,000","14,815,000","7,111,000","2,924,000"
				AmortizationCashFlow,"22,472,000","18,416,000","16,565,000","12,902,000","1,448,000","487,000","583,000","628,000","97,000"
					AmortizationOfIntangibles,"22,472,000","18,416,000","16,565,000","12,902,000","1,448,000","487,000","583,000","628,000","97,000"
		DeferredTax,"-4,964,000","-3,387,000","1,306,000","-13,956,000","-1,452,000","-681,000",,,
			DeferredIncomeTax,"-4,964,000","-3,387,000","1,306,000","-13,956,000","-1,452,000","-681,000",,,
		AmortizationOfSecurities,"0","-2,285,000","0","0","578,000","-1,247,000","-1,152,000","0","0"
		ProvisionandWriteOffofAssets,,,,,"-544,000","556,000","551,000","400,000","0"
		UnrealizedGainLossOnInvestmentSecurities,,"1,459,000","-1,830,000","-4,823,000","0","0",,,
		StockBasedCompensation,"719,888,000","631,519,000","526,504,000","309,952,000","149,675,000","79,940,000","20,505,000","12,343,000","1,994,000"
		OtherNonCashItems,"291,536,000","255,472,000","183,061,000","125,456,000","75,064,000","35,467,000","28,740,000","13,517,000","5,098,000"
		ChangeInWorkingCapital,"-23,979,000","51,526,000","320,441,000","321,723,000","186,519,000","98,708,000","49,300,000","42,461,000","29,080,000"
			ChangeInReceivables,"-112,357,000","-217,699,000","-258,109,000","-125,354,000","-73,022,000","-72,511,000","-33,413,000","-35,268,000","-8,464,000"
				ChangesInAccountReceivables,"-112,357,000","-217,699,000","-258,109,000","-125,354,000","-73,022,000","-72,511,000","-33,413,000","-35,268,000","-8,464,000"
			ChangeInPrepaidAssets,"-139,406,000","-102,520,000","-46,807,000","-29,535,000","2,198,000","-44,008,000","-5,819,000","-12,718,000","-1,386,000"
			ChangeInPayablesAndAccruedExpense,"67,462,000","60,790,000","108,686,000","104,412,000","77,620,000","21,053,000","2,132,000","32,744,000","10,946,000"
				ChangeInPayable,"-15,988,000","-18,898,000","-15,463,000","33,248,000","11,325,000","-6,570,000","-2,403,000","7,136,000","1,886,000"
					ChangeInAccountPayable,"-15,988,000","-18,898,000","-15,463,000","33,248,000","11,325,000","-6,570,000","-2,403,000",,
				ChangeInAccruedExpense,"83,450,000","79,688,000","124,149,000","71,164,000","66,295,000","27,623,000","4,535,000","25,608,000","9,060,000"
			ChangeInOtherCurrentLiabilities,"-14,673,000","-14,035,000","-10,364,000","-9,900,000","-8,105,000","0","356,000",,
			ChangeInOtherWorkingCapital,"174,995,000","324,990,000","527,035,000","382,100,000","187,828,000","194,174,000","86,044,000","57,703,000","27,984,000"
InvestingCashFlow,"-554,429,000","-340,650,000","-556,658,000","-564,516,000","495,427,000","-629,631,000","-142,030,000","-28,330,000","-11,854,000"
	CashFlowFromContinuingInvestingActivities,"-554,429,000","-340,650,000","-556,658,000","-564,516,000","495,427,000","-629,631,000","-142,030,000","-28,330,000","-11,854,000"
