name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997
OperatingCashFlow,"1,293,033,663,000","1,241,967,300,000","1,610,599,200,000","1,112,160,700,000","822,666,200,000","615,138,700,000","573,954,300,000","585,318,200,000","539,834,600,000","529,879,400,000","421,523,700,000","347,383,500,000","284,963,100,000","247,587,000,000","229,475,800,000","159,966,400,000","221,493,600,000","183,758,182,180","204,959,461,300","157,482,976,500","153,407,284,800","115,823,438,460","98,678,264,570","71,666,304,026.24","93,412,574,934.8","45,308,202,940.54","31,975,382,425","20,392,432,387.04"
	CashFlowFromContinuingOperatingActivities,"1,293,033,663,000","1,241,967,300,000","1,610,599,200,000","1,112,160,700,000","822,666,200,000","615,138,700,000","573,954,300,000","585,318,200,000","539,834,600,000","529,879,400,000","421,523,700,000","347,383,500,000","284,963,100,000","247,587,000,000","229,475,800,000","159,966,400,000","221,493,600,000","183,758,182,180","204,959,461,300","157,482,976,500","153,407,284,800","115,823,438,460","98,678,264,570","71,666,304,026.24","93,412,574,934.8","45,308,202,940.54","31,975,382,425","20,392,432,387.04"
		NetIncomeFromContinuingOperations,"1,001,584,773,000","979,316,500,000","1,144,072,200,000","663,036,000,000","584,746,300,000","389,862,100,000","397,543,100,000","396,161,900,000","385,921,700,000","350,477,600,000","302,073,500,000","215,961,500,000","181,661,100,000","134,453,300,000","162,281,900,000","89,217,800,000","99,933,200,000","109,197,634,910","126,983,628,090","93,855,039,630","92,456,415,240","47,164,689,540","21,634,783,420","14,483,183,903.76","65,106,219,696.64","23,530,013,366.89","15,315,966,554","18,011,756,512.96"
		OperatingGainsLosses,"264,833,000","-4,699,200,000","2,713,300,000","-21,809,300,000","-7,202,900,000","-7,144,700,000","2,134,300,000","-11,253,300,000","-6,023,100,000","-26,775,200,000","-2,925,800,000","-5,106,200,000","-5,885,500,000","-1,218,900,000","-6,836,200,000","1,132,000,000","348,800,000","-2,724,265,320","-1,792,173,350","-37,784,865","-1,426,307,400","2,546,689,500","3,095,652,290","7,591,539,554.72","2,761,224,933.62","1,332,835,798.88","1,752,605,344","114,040,636.64"
			GainLossOnSaleOfBusiness,,,,"0","16,300,000","4,600,000","111,800,000","-12,700,000","65,200,000","123,100,000","-28,400,000","-272,700,000","25,000,000",,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,"546,519,000","366,100,000","-92,900,000","274,800,000","-188,300,000","952,400,000","1,005,200,000","1,097,900,000","-46,500,000","-433,500,000","-14,500,000","-48,800,000","-100,000","-3,300,000","633,200,000","-45,500,000","-100,300,000",,,,,,,,,,,
			NetForeignCurrencyExchangeGainLoss,"4,409,145,000","-246,700,000","10,342,700,000","-16,115,900,000","-1,372,600,000","-5,228,200,000","2,916,700,000","-9,118,600,000","-2,656,400,000","2,563,400,000","3,615,500,000","317,500,000","-3,219,200,000",,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"-51,447,000","-18,400,000","143,300,000","-455,500,000","-2,080,000,000","-12,500,000","1,191,200,000","-205,100,000","72,500,000","-24,831,800,000","-2,578,600,000","-1,295,400,000","-618,100,000","-392,000,000","-5,171,200,000","-16,000,000","-83,800,000",,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"-4,639,384,000","-4,800,200,000","-7,679,800,000","-5,512,700,000","-3,562,000,000","-2,861,000,000","-3,090,600,000","-3,014,800,000","-3,457,900,000","-4,196,400,000","-3,919,800,000","-3,806,800,000","-2,073,100,000","-823,600,000","-2,298,200,000","1,193,500,000","959,600,000",,,,,,,,,,,
		DepreciationAmortizationDepletion,"580,891,421,000","532,190,900,000","437,254,300,000","422,394,900,000","331,724,600,000","286,884,200,000","292,546,300,000","260,142,700,000","223,828,400,000","222,505,600,000","200,251,500,000","156,181,800,000","131,349,300,000","107,681,500,000","87,810,100,000","80,814,700,000","81,512,200,000","79,879,350,990","73,707,202,140","75,997,037,690","69,952,454,040","69,032,263,380","65,113,045,920","48,875,776,268.88","41,446,122,346.34","25,201,105,785.88","15,270,862,740","9,790,638,558.4"
			DepreciationAndAmortization,"580,891,421,000","532,190,900,000","437,254,300,000","422,394,900,000","331,724,600,000","286,884,200,000","292,546,300,000","260,142,700,000","223,828,400,000","222,505,600,000","200,251,500,000","156,181,800,000","131,349,300,000","107,681,500,000","87,810,100,000","80,814,700,000","81,512,200,000","79,879,350,990","73,707,202,140","75,997,037,690","69,952,454,040","69,032,263,380","65,113,045,920","48,875,776,268.88","41,446,122,346.34","25,201,105,785.88","15,270,862,740","9,790,638,558.4"
				Depreciation,"571,546,425,000","522,932,700,000","428,498,200,000","414,187,700,000","324,538,400,000","281,411,800,000","288,124,900,000","255,796,000,000","220,085,000,000","219,303,400,000","197,645,200,000","153,979,800,000","129,168,500,000",,,,,"80,009,077,910","73,703,943,643","75,875,790,695","69,920,758,320",,,,,,,
				AmortizationCashFlow,"9,344,996,000","9,258,200,000","8,756,100,000","8,207,200,000","7,186,200,000","5,472,400,000","4,421,400,000","4,346,700,000","3,743,400,000","3,202,200,000","2,606,300,000","2,202,000,000","2,180,800,000",,,,,"-129,726,920","3,258,497","121,246,995","31,695,720",,,,,,,
					AmortizationOfIntangibles,"9,344,996,000","9,258,200,000","8,756,100,000","8,207,200,000","7,186,200,000","5,472,400,000","4,421,400,000","4,346,700,000","3,743,400,000","3,202,200,000","2,606,300,000","2,202,000,000","2,180,800,000",,,,,"-129,726,920","3,258,497","121,246,995","31,695,720",,,,,,,
		DeferredTax,,,,,,,,,,,,,"573,200,000","-491,100,000","-377,300,000","-1,752,400,000","2,279,400,000","940,520,170","130,339,880","-3,363,050,295","-1,045,958,760","3,667,232,880","5,426,087,160","-3,840,769,783.84","-956,125,747.5","-2,482,074,344.32","-2,355,063,431","-1,934,607,442.88"
			DeferredIncomeTax,,,,,,,,,,,,,"573,200,000","-491,100,000","-377,300,000","-1,752,400,000","2,279,400,000","940,520,170","130,339,880","-3,363,050,295","-1,045,958,760","3,667,232,880","5,426,087,160","-3,840,769,783.84","-956,125,747.5","-2,482,074,344.32","-2,355,063,431","-1,934,607,442.88"
		AmortizationOfSecurities,,,,,,,,,,,,,,"24,700,000",,"21,500,000","-93,400,000",,,,,,,,,,,
		AssetImpairmentCharge,,"35,700,000","843,100,000","271,700,000","13,900,000","-299,700,000","421,100,000","43,100,000","122,200,000","2,758,800,000","1,186,900,000","352,200,000","4,676,100,000","363,500,000","160,100,000","913,200,000","1,560,100,000",,,,,,,,,,,
		ProvisionandWriteOffofAssets,,,,,"3,700,000","1,700,000","-2,400,000","0",,,,,,,,,,,,,,,,,,,,
		StockBasedCompensation,"564,059,000","483,000,000","302,400,000","7,800,000","6,600,000","2,800,000","0","0",,"0","0","5,300,000","6,200,000","0","0",,,,,,,,,,,,,
		OtherNonCashItems,"-54,860,037,000","-48,632,500,000","-10,533,400,000","-708,800,000","-6,923,400,000","-12,944,000,000","-11,643,200,000","-6,134,400,000","-3,011,400,000","-1,369,000,000","505,600,000","810,800,000","-624,600,000","24,700,000","34,200,000","248,400,000","590,000,000","681,066,330","293,264,730",,"31,695,720","-33,955,860","69,565,220","-34,965.04","-33,112.58","31,351.99",,"-32,667.04"
		ChangeInWorkingCapital,"-75,231,933,000","-56,852,000,000","122,508,500,000","132,466,300,000","-28,336,500,000","10,822,100,000","-61,664,800,000","9,978,600,000","-15,059,900,000","23,225,000,000","-49,649,900,000","-6,358,800,000","-14,907,500,000","3,925,900,000","-13,917,000,000","-10,628,800,000","35,363,300,000","-4,216,124,900","5,637,199,810","-8,968,265,660","-6,561,014,040","-6,553,480,980","3,339,130,560","4,556,609,047.76","-14,944,833,181.72","-2,273,709,018.78","1,991,011,218","-5,589,363,211.04"
			ChangeInReceivables,"-53,934,756,000","29,398,600,000","-33,046,100,000","-52,274,000,000","-7,771,100,000","-18,383,900,000","-12,565,500,000","833,300,000","-49,828,300,000","26,490,900,000","-43,128,300,000","-14,284,800,000","-12,178,700,000","1,261,900,000","-7,603,300,000","-16,906,700,000","24,070,900,000","-10,345,721,870","7,233,863,340","-10,823,176,970","-1,299,524,520","-9,507,640,800","382,608,710","10,797,239,317.04","-16,279,038,367.66","-6,665,809,297.88","1,852,478,075","-4,975,190,192"
				ChangesInAccountReceivables,,,"-32,169,900,000","-52,105,900,000","-8,082,700,000","-18,119,600,000","-13,271,300,000","1,061,800,000","-49,342,700,000","26,630,100,000","-43,090,100,000","-14,131,100,000","-11,947,300,000","1,136,300,000","-7,609,800,000","-16,873,200,000","23,916,700,000",,,,,,,,,,,
			ChangeInInventory,"-51,055,318,000","-29,847,900,000","-28,046,800,000","-55,748,900,000","-54,372,200,000","20,249,800,000","-29,370,000,000","-25,229,100,000","18,370,100,000","-655,200,000","-28,871,600,000","122,500,000","-12,989,900,000","2,611,300,000","-7,492,100,000","-6,037,200,000","8,985,700,000","-2,237,789,370","-3,714,686,580","-2,012,200,265","-3,423,137,760","-916,808,220","-1,391,304,400","2,463,531,823.28","-4,033,840,720.76","-2,765,621,741.88","818,312,054","-1,975,147,239.52"
			ChangeInPrepaidAssets,,,,,,,,,,,,,"-626,400,000","-403,800,000","-752,400,000","585,500,000","-443,500,000","291,885,570","-162,924,850","183,564,070","-31,695,720","611,205,480","-347,826,100","359,335,716.08","351,986,725.4","-1,278,283,336.28","434,929,635","-973,543,126.08"
			ChangeInPayablesAndAccruedExpense,"31,847,989,000","-57,962,500,000","92,235,600,000","96,525,100,000","37,525,800,000","5,015,200,000","-15,187,200,000","34,508,900,000","15,043,700,000","-3,035,500,000","22,466,900,000","7,163,600,000","8,595,100,000","-5,000,000","976,300,000","12,175,000,000","2,621,800,000","3,210,741,270","-1,498,908,620","2,094,840,270","824,088,720","1,290,322,680","3,756,521,880","-9,130,036,279.76","3,174,966,620.72","985,988,733.51","-1,005,170,712","1,692,054,670.88"
				ChangeInPayable,"10,990,881,000","-2,464,200,000","20,432,900,000","11,358,700,000","4,876,300,000","7,719,400,000","4,477,200,000","3,548,400,000","9,415,000,000","-2,117,500,000","8,720,400,000","2,080,400,000","4,438,000,000","1,708,500,000","-3,490,500,000","11,779,700,000","6,540,200,000",,,,,,,,,,,
					ChangeInTaxPayable,,,,,,,,,,,,,"4,979,500,000","3,490,300,000","-1,615,600,000","-531,500,000","-1,794,300,000",,,,,,,,,,,
						ChangeInIncomeTaxPayable,,,,,,,,,,,,,"4,979,500,000","3,490,300,000","-1,615,600,000","-531,500,000","-1,794,300,000",,,,,,,,,,,
					ChangeInAccountPayable,"10,122,578,000","847,000,000","7,594,100,000","8,298,300,000","404,600,000","5,860,100,000","4,540,600,000","2,572,100,000","7,295,400,000","-2,693,400,000","6,634,200,000","346,400,000","3,656,400,000","-1,968,800,000","933,900,000","4,916,900,000","-6,021,700,000",,,,,,,,,,,
				ChangeInAccruedExpense,"20,857,108,000","-55,498,300,000","71,802,700,000","85,166,400,000","32,649,500,000","-2,704,200,000","-19,664,400,000","30,960,500,000","5,628,700,000","-918,000,000","13,746,500,000","5,083,200,000","4,157,100,000","-1,713,500,000","4,466,800,000","395,300,000","-3,918,400,000",,,,,,,,,,,
			ChangeInOtherCurrentAssets,"-13,242,982,000","-11,372,500,000","-6,131,500,000","-12,135,900,000","31,400,000","3,307,200,000","-5,114,300,000","-490,200,000","52,900,000","983,700,000","-3,357,100,000","-293,600,000","701,300,000","376,300,000","741,000,000",,,,"-391,019,640","-470,419,925","-792,393,000","-339,558,600",,"49,475,531.6","-1,373,609,156.14","5,050,335,309.15",,
			ChangeInOtherCurrentLiabilities,"11,514,551,000","13,329,900,000","101,390,500,000","154,086,000,000","0","0",,,,,,,,,,"-215,600,000","1,412,600,000","3,859,375,870","4,203,461,130","2,399,355,370","-1,838,351,760","2,308,998,480","939,130,470","17,062,939.52","3,214,701,716.72","2,399,681,314.6","-109,537,834","642,462,675.68"
			ChangeInOtherWorkingCapital,"-361,417,000","-397,600,000","-3,893,200,000","2,014,000,000","-3,750,400,000","633,800,000","572,200,000","355,700,000","1,301,700,000","-558,900,000","3,240,200,000","933,500,000","964,700,000","85,200,000","213,500,000","-445,400,000","-1,284,200,000","1,005,383,630","-32,584,970","-340,228,210",,,,,,,,
		DividendReceivedCFO,,,,,,,,,,,,,"2,088,500,000","2,848,100,000","320,000,000",,,,,,,,,,,,,
		TaxesRefundPaid,"-160,239,836,000","-159,875,100,000","-86,561,200,000","-83,497,900,000","-51,362,400,000","-52,044,100,000","-45,382,500,000","-63,620,400,000","-45,943,300,000","-40,943,400,000","-29,918,100,000","-14,463,100,000","-11,312,000,000",,,,,,,,,,,,,,,
InvestingCashFlow,"-793,695,796,000","-906,120,600,000","-1,190,928,300,000","-836,365,800,000","-505,781,700,000","-458,801,600,000","-314,268,900,000","-336,164,900,000","-395,439,700,000","-217,245,800,000","-282,420,500,000","-281,054,200,000","-269,317,700,000","-182,523,400,000","-202,086,200,000","-96,468,400,000","-8,041,900,000","-70,701,171,400","-119,717,179,780","-77,671,837,855","-148,240,882,440","-53,310,700,200","-62,295,654,510","-73,376,199,377.36","-119,574,890,617.96","-66,010,360,865.4","-42,207,504,801","-38,529,466,998.4"
