name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007
TotalAssets,"7,258,900,000","6,228,000,000","5,919,100,000","4,044,500,000","3,879,200,000","3,078,000,000","2,257,900,000","2,139,941,000","1,790,510,000","1,424,774,000","1,168,464,000","975,497,000","734,747,000","545,422,000","387,213,000","199,105,000","145,192,000"
	CurrentAssets,"4,428,300,000","3,810,400,000","3,600,600,000","2,740,400,000","2,769,000,000","2,220,900,000","1,716,800,000","1,538,716,000","1,270,543,000","1,005,381,000","735,546,000","569,274,000","523,570,000","420,158,000","342,217,000","188,461,000","134,596,000"
		CashCashEquivalentsAndShortTermInvestments,"2,440,400,000","2,211,000,000","2,551,700,000","1,837,300,000","2,065,600,000","1,649,600,000","1,251,300,000","1,085,525,000","891,351,000","720,020,000","491,370,000","413,694,000","390,273,000","313,510,000","260,314,000","124,190,000","90,161,000"
			CashAndCashEquivalents,"1,397,900,000","1,682,900,000","1,319,100,000","1,061,800,000","1,222,500,000","1,112,400,000","811,000,000","709,003,000","543,277,000","283,254,000","115,873,000","122,975,000","71,990,000","66,859,000","212,458,000","56,571,000","71,411,000"
			OtherShortTermInvestments,"1,042,500,000","528,100,000","1,232,600,000","775,500,000","843,100,000","537,200,000","440,300,000","376,522,000","348,074,000","436,766,000","375,497,000","290,719,000","318,283,000","246,651,000","47,856,000","67,619,000","18,750,000"
		Receivables,"1,402,000,000","1,261,700,000","807,700,000","720,000,000","544,300,000","444,500,000","348,200,000","312,998,000","259,563,000","184,741,000","130,471,000","107,642,000","95,522,000","72,336,000","54,551,000","46,043,000","27,478,000"
			AccountsReceivable,"1,402,000,000","1,261,700,000","807,700,000","720,000,000","544,300,000","444,500,000","348,200,000","312,998,000","259,563,000","184,741,000","130,471,000","107,642,000","95,522,000","72,336,000","54,551,000","46,043,000","27,478,000"
				GrossAccountsReceivable,"1,410,200,000","1,265,300,000","810,100,000","722,500,000","545,500,000","445,400,000","362,700,000","324,233,000","265,791,000","190,945,000","135,076,000","110,024,000","95,858,000",,,,
				AllowanceForDoubtfulAccountsReceivable,"-8,200,000","-3,600,000","-2,400,000","-2,500,000","-1,200,000","-900,000","-14,500,000","-11,235,000","-6,228,000","-6,204,000","-4,605,000","-2,382,000","-336,000",,,,
		Inventory,"484,800,000","264,600,000","175,800,000","139,800,000","117,900,000","90,000,000","77,300,000","106,887,000","83,868,000","69,477,000","48,672,000","21,060,000","16,249,000","13,517,000","10,649,000","11,419,000","14,020,000"
			RawMaterials,"92,100,000","46,300,000","40,200,000","13,800,000","9,700,000","13,300,000","13,000,000","18,924,000","15,425,000","10,617,000","8,355,000","2,811,000","3,447,000","2,593,000","1,904,000","1,135,000","5,017,000"
			WorkInProcess,"7,700,000","12,000,000","9,800,000","0",,,,,,,,,,,,,
			FinishedGoods,"385,000,000","206,300,000","125,800,000","126,000,000","108,200,000","76,700,000","64,300,000","87,963,000","68,443,000","58,860,000","40,317,000","15,905,000","12,802,000","10,924,000","8,745,000","10,284,000","9,003,000"
			OtherInventories,,,,,,,,,,,"4,260,000","2,344,000",,,,,
		PrepaidAssets,,,"65,400,000","43,300,000","41,200,000","36,800,000","40,000,000","33,306,000","35,761,000","31,143,000","14,053,000","13,215,000","13,948,000","8,849,000","3,100,000","3,270,000","2,636,000"
		CurrentDeferredAssets,,,,,,,,,,"41,484,000","50,980,000","13,663,000","7,578,000","11,946,000","13,603,000","3,539,000","301,000"
			CurrentDeferredTaxesAssets,,,,,,,,,,"41,484,000","50,980,000","13,663,000","7,578,000","8,158,000","9,652,000","69,000","301,000"
		OtherCurrentAssets,"101,100,000","73,100,000","65,400,000","43,300,000","41,200,000","36,800,000","40,000,000","33,306,000","35,761,000","31,143,000","14,053,000","13,215,000","13,948,000",,,"3,270,000","2,636,000"
	TotalNonCurrentAssets,"2,830,600,000","2,417,600,000","2,318,500,000","1,304,100,000","1,110,200,000","857,100,000","541,100,000","601,225,000","519,967,000","419,393,000","432,918,000","406,223,000","211,177,000","125,264,000","44,996,000","10,644,000","10,596,000"
		NetPPE,"1,044,400,000","898,500,000","687,600,000","448,000,000","344,300,000","271,400,000","245,400,000","137,249,000","91,067,000","58,919,000","36,652,000","25,638,000","7,966,000","7,056,000","6,387,000","3,425,000","2,943,000"
			GrossPPE,"1,397,400,000","1,178,700,000","899,300,000","620,500,000","481,300,000","382,200,000","340,600,000","207,721,000","140,126,000","94,651,000","78,450,000","56,858,000","31,819,000","25,803,000","22,601,000","18,325,000","15,101,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","10,607,000","8,449,000","9,282,000","0"
				LandAndImprovements,"351,700,000","310,000,000","204,500,000","93,300,000","93,300,000","75,700,000","65,600,000","35,079,000","21,683,000","13,895,000","13,895,000","13,895,000","0",,,,
				BuildingsAndImprovements,"595,500,000","490,300,000","416,200,000","150,600,000","147,400,000","144,200,000","133,200,000","49,783,000","28,841,000","20,166,000","610,000","610,000","0",,,,
				MachineryFurnitureEquipment,"294,700,000","254,000,000","203,000,000","158,500,000","134,000,000","111,600,000","94,600,000","79,318,000","54,533,000","36,917,000","24,139,000","18,677,000","13,526,000","10,648,000","10,018,000","7,382,000","6,637,000"
				OtherProperties,"30,800,000","19,200,000","15,600,000","19,800,000","19,900,000","20,500,000","20,100,000","20,173,000","15,784,000","11,773,000","23,442,000","18,322,000","13,912,000",,,"9,282,000","7,614,000"
				ConstructionInProgress,"63,300,000","51,700,000","19,900,000","166,400,000","61,200,000","12,300,000","6,300,000","4,669,000","8,106,000","3,902,000","10,947,000","0",,,,,
				Leases,"61,400,000","53,500,000","40,100,000","31,900,000","25,500,000","17,900,000","20,800,000","18,699,000","11,179,000","7,998,000","5,417,000","5,354,000","4,381,000","4,548,000","4,134,000","1,661,000","850,000"
			AccumulatedDepreciation,"-353,000,000","-280,200,000","-211,700,000","-172,500,000","-137,000,000","-110,800,000","-95,200,000","-70,472,000","-49,059,000","-35,732,000","-41,798,000","-31,220,000","-23,853,000","-18,747,000","-16,214,000","-14,900,000","-12,158,000"
		GoodwillAndOtherIntangibleAssets,"161,800,000","184,000,000","188,700,000","124,600,000","98,300,000","60,300,000","30,900,000","39,381,000","22,332,000","5,656,000","9,713,000","2,117,000","1,378,000",,,,
			Goodwill,"126,500,000","128,000,000","125,100,000","93,000,000","67,200,000","38,200,000","14,600,000","14,553,000","4,692,000","2,824,000","2,872,000","0",,,,,
			OtherIntangibleAssets,"35,300,000","56,000,000","63,600,000","31,600,000","31,100,000","22,100,000","16,300,000","24,828,000","17,640,000","2,832,000","6,841,000","2,117,000","1,378,000",,,,
		InvestmentsAndAdvances,"0","45,500,000","440,800,000","118,300,000","144,300,000","67,000,000","98,000,000","224,983,000","272,959,000","271,724,000","351,675,000","325,892,000","148,414,000","73,950,000","0",,
			InvestmentinFinancialAssets,"0","45,500,000","440,800,000","118,300,000","144,300,000","67,000,000","98,000,000","224,983,000","272,959,000","271,724,000","351,675,000","325,892,000","148,414,000",,,,
