name,ttm,07/31/2024,07/31/2023,07/31/2022,07/31/2021,07/31/2020,07/31/2019,07/31/2018,07/31/2017,07/31/2016,07/31/2015,07/31/2014,07/31/2013,07/31/2012,07/31/2011,07/31/2010,07/31/2009,07/31/2008,07/31/2007,07/31/2006,07/31/2005,07/31/2004,07/31/2003,07/31/2002,07/31/2001,07/31/2000,07/31/1999,07/31/1998,07/31/1997,07/31/1996,07/31/1995,07/31/1994,09/30/1993
	CashFlowFromContinuingFinancingActivities,"-397,000,000","-397,000,000","-4,269,000,000","1,732,000,000","-3,176,000,000","2,034,000,000","-965,000,000","-639,000,000","-1,632,000,000","-1,999,000,000","-1,422,000,000","-1,551,000,000","-262,000,000","-1,344,000,000","-1,006,000,000","-467,000,000","-110,000,000","-586,000,000","733,860,000","-478,822,000","-548,001,000","-510,015,000","-661,738,000","-196,118,000","80,661,000","59,339,000","126,600,000","496,300,000","39,000,000","9,700,000","90,700,000","800,000","23,200,000"
		NetIssuancePaymentsOfDebt,"-89,000,000","-89,000,000","-810,000,000","4,882,000,000","-1,338,000,000","2,933,000,000","-2,000,000","-50,000,000","-512,000,000","500,000,000","0","0","0","-500,000,000","0","0","0",,"997,755,000","-923,000","-3,911,000","-18,971,000","-3,272,000","-11,333,000","-7,774,000","59,501,000",,"-4,800,000","29,600,000","-3,200,000","3,700,000","-600,000","-400,000"
			NetLongTermDebtIssuance,"-89,000,000","-89,000,000","-810,000,000","4,882,000,000","-338,000,000","2,933,000,000","-2,000,000","750,000,000","-362,000,000","1,495,000,000","0","0","0","-500,000,000","0","0","0",,"997,755,000",,,,,,,,,,,,,,
				LongTermDebtIssuance,"4,236,000,000","4,236,000,000","222,000,000","4,882,000,000","0","2,983,000,000","48,000,000","800,000,000","150,000,000","1,495,000,000","0","0",,,,,"0",,"1,997,755,000",,,,,,,,,,,,,,
				LongTermDebtPayments,"-4,325,000,000","-4,325,000,000","-1,032,000,000","0","-338,000,000","-50,000,000","-50,000,000","-50,000,000","-512,000,000","0","0","0","0","-500,000,000","0","0","0",,"-1,000,000,000",,,,,,,,,,,,,,
			NetShortTermDebtIssuance,,,"199,000,000","0","-1,000,000,000","0","0","-800,000,000","-150,000,000","-995,000,000","0","0",,,,,,,,,,,,,,,,,,,,,
				ShortTermDebtIssuance,,,"222,000,000","182,000,000","0","1,000,000,000","48,000,000","800,000,000","150,000,000",,,,,,,,,,,,,,,,,,,,,,,,
				ShortTermDebtPayments,,,"-23,000,000","0","-1,000,000,000","0","0","-800,000,000","-150,000,000","-995,000,000","0","0",,,,,,,,,,,,,,,,,,,,,
		NetCommonStockIssuance,"-1,988,000,000","-1,988,000,000","-1,967,000,000","-1,861,000,000","-1,005,000,000","-323,000,000","-556,000,000","-272,000,000","-839,000,000","-2,264,000,000","-1,245,000,000","-1,577,000,000","-292,000,000","-900,000,000","-1,360,000,000","-900,000,000","-102,000,000","-597,000,000","-293,919,000","-504,880,000","-544,090,000","-491,044,000","-658,466,000","-184,785,000","88,435,000",,"126,600,000","501,100,000","9,400,000","12,900,000","87,000,000","1,500,000","23,600,000"
			CommonStockIssuance,,,,,,,,,,,,,,,"338,000,000","440,000,000","198,000,000","203,000,000","212,832,000","279,306,000","165,797,000","119,140,000","155,861,000","133,565,000","96,800,000",,"126,600,000","501,100,000","9,400,000","12,900,000","87,000,000","1,500,000","23,600,000"
			CommonStockPayments,"-1,988,000,000","-1,988,000,000","-1,967,000,000","-1,861,000,000","-1,005,000,000","-323,000,000","-556,000,000","-272,000,000","-839,000,000","-2,264,000,000","-1,245,000,000","-1,577,000,000","-292,000,000","-900,000,000","-1,360,000,000","-900,000,000","-300,000,000","-800,000,000","-506,751,000","-784,186,000","-709,887,000","-610,184,000","-814,327,000","-318,350,000","-8,365,000",,,,,,,,
		CashDividendsPaid,"-1,034,000,000","-1,034,000,000","-889,000,000","-774,000,000","-646,000,000","-561,000,000","-501,000,000","-407,000,000","-353,000,000","-318,000,000","-283,000,000","-220,000,000","-203,000,000","-178,000,000","0","0",,,,,,,,,,,,,,,,,
			CommonStockDividendPaid,"-1,034,000,000","-1,034,000,000","-889,000,000","-774,000,000","-646,000,000","-561,000,000","-501,000,000","-407,000,000","-353,000,000","-318,000,000","-283,000,000","-220,000,000","-203,000,000","-178,000,000","0","0",,,,,,,,,,,,,,,,,
		ProceedsFromStockOptionExercised,"282,000,000","282,000,000","228,000,000","162,000,000","196,000,000","211,000,000","284,000,000","295,000,000","226,000,000","197,000,000","220,000,000","165,000,000","165,000,000","164,000,000","283,000,000","416,000,000",,,,,,,,,,,,,,,,,
		NetOtherFinancingCharges,"2,432,000,000","2,432,000,000","-831,000,000","-677,000,000","-383,000,000","-226,000,000","-190,000,000","-205,000,000","-154,000,000","-114,000,000","-114,000,000","81,000,000","68,000,000","70,000,000","71,000,000","17,000,000","-8,000,000","11,000,000","30,024,000","26,981,000",,,,,,"-162,000",,,,,,"-100,000",
	CashFromDiscontinuedFinancingActivities,,,,,,,,,,,,,,,,,,,,,,,"341,372,000",,,,,,,,,,
EndCashPosition,"7,099,000,000","7,099,000,000","2,852,000,000","2,997,000,000","2,819,000,000","6,697,000,000","2,352,000,000","1,631,000,000","701,000,000","638,000,000","808,000,000","849,000,000","1,009,000,000","393,000,000","722,000,000","214,000,000","679,000,000","413,000,000","255,201,000","179,601,000","83,842,000","25,992,000","167,338,000","408,948,000","450,104,000","416,953,000","518,300,000","138,100,000","46,800,000","0","0","0","0"
	ChangesInCash,"4,260,000,000","4,260,000,000","-145,000,000","200,000,000","-3,891,000,000","4,351,000,000","724,000,000","941,000,000","-50,000,000","-168,000,000","-15,000,000","-154,000,000","619,000,000","-323,000,000","504,000,000","-466,000,000","270,000,000","157,000,000","67,993,000","92,564,000","57,666,000","-141,518,000","-245,541,000","342,329,000","30,560,000","-137,277,000","380,200,000","91,400,000","2,100,000","-31,700,000","50,300,000","11,800,000","5,200,000"
	EffectOfExchangeRateChanges,"-13,000,000","-13,000,000","0","-22,000,000","13,000,000","-6,000,000","-3,000,000","-11,000,000","9,000,000","-2,000,000","-26,000,000","-6,000,000","-3,000,000","-6,000,000","4,000,000","1,000,000","-4,000,000","1,000,000","7,607,000","3,195,000","184,000","172,000","4,031,000","-291,000","2,591,000",,,,,,,,
	BeginningCashPosition,"2,852,000,000","2,852,000,000","2,997,000,000","2,819,000,000","6,697,000,000","2,352,000,000","1,631,000,000","701,000,000","742,000,000","808,000,000","849,000,000","1,009,000,000","393,000,000","722,000,000","214,000,000","679,000,000","413,000,000","255,000,000","179,601,000","83,842,000","25,992,000","167,338,000","408,848,000","66,910,000","416,953,000","554,230,000","138,100,000","46,800,000","44,600,000","76,300,000","19,700,000","7,900,000","2,700,000"
	OtherCashAdjustmentOutsideChangeinCash,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-100,000","100,000","-44,600,000","-70,000,000","-19,700,000","-7,900,000"
IncomeTaxPaidSupplementalData,"1,881,000,000","1,881,000,000","484,000,000","303,000,000","578,000,000","493,000,000","325,000,000","245,000,000","430,000,000","389,000,000","222,000,000","240,000,000","309,000,000","312,000,000","270,000,000","277,000,000","190,000,000","186,000,000","221,701,000",,,,,,,,,,,,,,
InterestPaidSupplementalData,"200,000,000","200,000,000","272,000,000","67,000,000","30,000,000","14,000,000","17,000,000","19,000,000","42,000,000","37,000,000","32,000,000","32,000,000","33,000,000","60,000,000","60,000,000","61,000,000","56,000,000","56,000,000","6,196,000",,,,,,,,,,,,,,
CapitalExpenditure,"-250,000,000","-250,000,000","-260,000,000","-229,000,000","-125,000,000","-137,000,000","-155,000,000","-124,000,000","-230,000,000","-522,000,000","-261,000,000","-186,000,000","-195,000,000","-196,000,000","-228,000,000","-143,000,000","-202,000,000","-306,000,000","-153,257,000","-82,074,000","-69,535,000","-51,842,000","-41,210,000","-43,496,000","-77,102,000","-94,944,000","-544,200,000","-383,900,000","-27,600,000","-69,300,000","-32,900,000","-17,900,000","-4,900,000"
IssuanceOfCapitalStock,,,,,,,,,,,,,,,"338,000,000","440,000,000","198,000,000","203,000,000","212,832,000","279,306,000","165,797,000","119,140,000","155,861,000","133,565,000","96,800,000",,"126,600,000","501,100,000","9,400,000","12,900,000","87,000,000","1,500,000","23,600,000"
IssuanceOfDebt,"4,236,000,000","4,236,000,000","222,000,000","4,882,000,000","0","2,983,000,000","48,000,000","800,000,000","150,000,000","1,495,000,000","0","0",,,,,"0",,"1,997,755,000",,,,,,,,,,,,,,
RepaymentOfDebt,"-4,325,000,000","-4,325,000,000","-1,032,000,000","0","-1,338,000,000","-50,000,000","-50,000,000","-850,000,000","-662,000,000","-995,000,000","0","0","0","-500,000,000","0","0","0",,"-1,000,000,000",,,,,,,,,,,,,,
RepurchaseOfCapitalStock,"-1,988,000,000","-1,988,000,000","-1,967,000,000","-1,861,000,000","-1,005,000,000","-323,000,000","-556,000,000","-272,000,000","-839,000,000","-2,264,000,000","-1,245,000,000","-1,577,000,000","-292,000,000","-900,000,000","-1,360,000,000","-900,000,000","-300,000,000","-800,000,000","-506,751,000","-784,186,000","-709,887,000","-610,184,000","-814,327,000","-318,350,000","-8,365,000",,,,,,,,
FreeCashFlow,"4,634,000,000","4,634,000,000","4,786,000,000","3,660,000,000","3,125,000,000","2,277,000,000","2,169,000,000","1,988,000,000","1,369,000,000","938,000,000","1,328,000,000","1,260,000,000","1,171,000,000","1,050,000,000","785,000,000","855,000,000","610,000,000","524,000,000","573,503,000","527,476,000","528,071,000","527,021,000","521,180,000","533,337,000","156,111,000","-88,880,000","-471,000,000","-315,600,000","53,500,000","-7,800,000","43,600,000","-8,600,000","6,800,000"
