name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991
		OtherNonCurrentAssets,"33,700,000","25,600,000","23,900,000","265,100,000","18,200,000","12,600,000","5,749,000","6,958,000","7,072,000","78,833,000","9,326,000","15,206,000","2,054,000","4,762,000","5,315,000","5,427,000","6,414,000","3,313,000","1,287,000","2,241,000","2,094,000","1,845,000","4,128,000","5,543,000","3,700,000","6,328,000","1,000,000","900,000","3,100,000","1,400,000","700,000",,
TotalLiabilitiesNetMinorityInterest,"1,652,500,000","1,684,400,000","1,637,400,000","1,690,900,000","1,565,200,000","1,505,700,000","818,738,000","883,728,000","982,513,000","617,431,000","618,676,000","581,740,000","163,922,000","121,629,000","116,801,000","183,336,000","191,646,000","21,051,000","17,068,000","17,911,000","16,096,000","17,012,000","10,472,000","10,265,000","8,293,000","7,828,000","5,600,000","4,300,000","2,600,000","2,300,000","1,200,000","1,000,000","1,300,000"
	CurrentLiabilities,"394,100,000","441,900,000","450,900,000","416,200,000","340,900,000","308,200,000","166,717,000","162,499,000","160,350,000","164,755,000","168,295,000","135,169,000","56,409,000","45,050,000","31,954,000","53,531,000","50,843,000","20,424,000","16,998,000","17,689,000","14,646,000","14,371,000","10,472,000","10,265,000","8,293,000","7,800,000","5,600,000","4,200,000","2,600,000","2,300,000","1,200,000","1,000,000","1,300,000"
		PayablesAndAccruedExpenses,"270,500,000","320,300,000","325,600,000","276,800,000","242,400,000","241,300,000","122,931,000","119,122,000","97,905,000","90,828,000","98,057,000","66,963,000","32,548,000","23,415,000","15,789,000","35,208,000","38,302,000","18,094,000","16,068,000","16,786,000","13,455,000","12,453,000","557,000","701,000","1,067,000","300,000","400,000","500,000","400,000","300,000","200,000","200,000","300,000"
			Payables,"34,000,000","35,200,000","20,100,000","38,300,000","39,200,000","46,500,000","8,099,000","7,526,000","9,805,000","8,265,000","21,490,000","7,001,000","4,112,000","6,888,000","4,164,000","5,204,000","5,718,000","2,867,000","2,604,000","3,623,000","2,420,000","1,453,000","557,000","701,000","1,067,000","300,000","400,000","500,000","400,000","300,000","200,000","200,000","300,000"
				AccountsPayable,"34,000,000","35,200,000","20,100,000","38,300,000","39,200,000","43,100,000","6,870,000","6,266,000","9,132,000","7,925,000","8,370,000","6,810,000","4,112,000","5,392,000","4,164,000","5,204,000","5,718,000","2,867,000","2,604,000","3,623,000","2,420,000","1,453,000","557,000","701,000","1,067,000","300,000","400,000","500,000","400,000","300,000","200,000","200,000","300,000"
				TotalTaxPayable,,,,,"1,200,000","3,400,000","1,229,000","1,260,000","673,000","340,000","13,120,000","191,000","0","1,496,000","0",,,,,,,,,,,,,,,,,,
					IncomeTaxPayable,,,,,"1,200,000","3,400,000","1,229,000","1,260,000","673,000","340,000","13,120,000","191,000","0","1,496,000","0",,,,,,,,,,,,,,,,,,
			CurrentAccruedExpenses,"236,500,000","285,100,000","305,500,000","238,500,000","203,200,000","194,800,000","114,832,000","111,596,000","88,100,000","82,563,000","76,567,000","59,962,000","28,436,000","16,527,000","11,625,000","30,004,000","32,584,000","15,227,000","13,464,000","13,163,000","11,035,000","11,000,000",,,,,,,,,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,,,,,"16,200,000","17,400,000","14,777,000","15,784,000","15,020,000","15,564,000","32,751,000","26,769,000","10,401,000","10,244,000",,,,,,,,,,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"19,500,000","22,900,000","23,300,000","24,300,000","25,800,000",,,,,"17,439,000","10,000,000","10,000,000","5,000,000","5,000,000",,,,,,,,,,,,,,,,,,,
			CurrentDebt,,,,,,,,,,"17,439,000","10,000,000","10,000,000","5,000,000","5,000,000",,,,,,,,,,,,,,,,,,,
			CurrentCapitalLeaseObligation,"19,500,000","22,900,000","23,300,000","24,300,000","25,800,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredLiabilities,,,,,,,,,,,"20,000","10,000,000","1,896,000","2,198,000","2,070,000","1,610,000",,,,,"1,107,000","1,351,000","1,736,000",,,,,,,,,,
			CurrentDeferredRevenue,,,,,,,,,,,,,,,,,,,,,"1,107,000","1,351,000","1,736,000",,,,,,,,,,
		OtherCurrentLiabilities,"104,100,000","98,700,000","102,000,000","115,100,000","72,700,000","49,500,000","29,009,000","27,593,000","47,425,000","40,924,000","27,487,000","21,437,000","6,564,000","4,193,000","14,095,000","16,713,000","12,541,000","2,330,000","930,000","903,000","84,000","567,000","8,179,000","9,564,000","7,226,000","7,500,000","5,200,000","3,700,000","2,200,000","2,000,000","1,000,000","800,000","1,000,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"1,258,400,000","1,242,500,000","1,186,500,000","1,274,700,000","1,224,300,000","1,197,500,000","652,021,000","721,229,000","822,163,000","452,676,000","450,381,000","446,571,000","107,513,000","76,579,000","84,847,000","129,805,000","140,803,000","627,000","70,000","222,000","1,450,000","2,641,000",,,,"28,000",,"100,000",,,,,
		LongTermDebtAndCapitalLeaseObligation,"1,085,700,000","1,098,900,000","1,074,100,000","1,088,800,000","1,108,000,000","1,100,400,000","575,213,000","640,355,000","755,508,000","394,418,000","389,813,000","416,588,000","81,750,000","61,750,000","77,913,000","125,913,000","135,913,000",,,,,,,,,,,,,,,,
			LongTermDebt,"1,036,600,000","1,066,600,000","1,033,900,000","1,033,400,000","1,032,300,000","1,100,400,000","575,213,000","640,355,000","755,508,000","394,418,000","389,813,000","416,588,000","81,750,000","61,750,000","77,913,000","125,913,000","135,913,000",,,,,,,,,,,,,,,,
			LongTermCapitalLeaseObligation,"49,100,000","32,300,000","40,200,000","55,400,000","75,700,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredLiabilities,"156,000,000","129,200,000","89,000,000","108,500,000","98,700,000","79,800,000","69,436,000","74,282,000","61,539,000","48,075,000","50,606,000","23,009,000","14,856,000","10,156,000","5,697,000","1,997,000","1,664,000",,,,"1,159,000","2,572,000",,,,,,,,,,,
			NonCurrentDeferredTaxesLiabilities,"156,000,000","129,200,000","89,000,000","108,500,000","98,700,000","79,800,000","69,436,000","74,282,000","61,539,000","48,075,000","50,606,000","23,009,000","14,856,000","10,156,000","5,697,000","1,997,000","1,664,000",,,,"1,159,000","2,572,000",,,,,,,,,,,
		NonCurrentAccruedExpenses,,,,,,,,,,,,"1,014,000","6,368,000","2,900,000",,,,,,,,,,,,,,,,,,,
		LiabilitiesHeldforSaleNonCurrent,,,"0","11,500,000",,,,,"0","2,246,000",,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCurrentLiabilities,"16,700,000","14,400,000","23,400,000","65,900,000","17,600,000","17,300,000","7,372,000","6,592,000","5,116,000","7,937,000","9,962,000","6,974,000","4,539,000","1,773,000","1,237,000","1,895,000","3,226,000",,,,"291,000","69,000",,,,,,,,,,,
