name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997
	EarningsFromEquityInterest,"4,639,384,000","4,800,200,000","7,679,800,000","5,512,700,000","3,562,000,000","2,861,000,000","3,090,600,000","3,014,800,000","3,457,900,000","4,196,400,000","3,919,800,000","3,806,800,000","2,073,100,000","897,600,000","2,298,200,000","46,000,000","701,500,000","2,497,243,210","2,346,117,840","1,437,502,005","2,091,917,520","-305,602,740","-1,982,608,770",,,,,
	SpecialIncomeCharges,,"15,700,000","0","0","0","-4,600,000","0","-1,110,200,000","-371,800,000","517,100,000","881,900,000","889,200,000","-3,787,200,000","383,100,000","5,739,400,000","1,277,600,000","1,576,500,000","2,594,538,400","162,924,850","1,458,943,025","1,077,654,480","1,358,234,400","-834,782,640","-2,363,881,459.28","3,644,138,766.74","-339,228,531.8","-818,312,054","-8,297,428.16"
		ImpairmentOfCapitalAssets,,,,,,"-301,400,000","423,500,000","0","0","2,545,600,000","239,900,000","0","444,500,000","363,500,000",,"913,200,000","1,560,100,000",,,,,,,,,,,
		WriteOff,,"9,500,000","900,000","1,300,000","-900,000","0","0","29,600,000","122,200,000","154,700,000","947,000,000","352,200,000","4,231,600,000","363,500,000","160,100,000",,,,,,,,,,,,,
		OtherSpecialCharges,,,,,,,,,,"-430,000,000",,"-899,800,000","-883,800,000","-947,300,000","-6,748,800,000","-2,259,300,000","-2,315,300,000",,,,,,,,,,,
		GainOnSaleOfBusiness,,"15,700,000","0","0","0","-4,600,000","0","17,300,000","-296,100,000","2,353,900,000","2,054,300,000","292,800,000","5,000,000",,,,,,,,,,,,,,,
		GainOnSaleOfPPE,,,,,,"-950,000,000","-1,005,600,000","-1,097,900,000","46,500,000","433,500,000","14,500,000","48,800,000","100,000","-200,700,000","-849,300,000","-68,500,000","821,300,000",,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"1,290,375,000","1,412,400,000","1,020,500,000","1,462,800,000","1,086,800,000","1,082,400,000","30,500,000","385,500,000","134,400,000","43,400,000","201,400,000","287,800,000","202,700,000","901,800,000","859,300,000",,,,,,,,,,,,,
PretaxIncome,"1,001,584,773,000","979,316,500,000","1,144,072,200,000","663,036,000,000","584,746,300,000","389,862,100,000","397,543,100,000","396,161,900,000","385,921,700,000","350,477,600,000","302,073,500,000","215,961,500,000","181,661,100,000","145,147,700,000","170,270,400,000","95,462,600,000","111,472,200,000","121,651,419,230","133,337,697,240","94,545,394,435","92,107,762,320","47,164,689,540","27,269,566,240","10,142,169,292.64","63,938,305,887.46","21,146,917,255","13,653,568,838","15,445,891,189.12"
TaxProvision,"132,284,846,000","128,288,800,000","150,777,500,000","70,155,400,000","73,738,300,000","35,835,100,000","34,436,900,000","51,122,900,000","54,124,400,000","47,644,700,000","47,889,900,000","32,111,800,000","22,374,700,000","10,694,400,000","7,988,500,000","5,996,400,000","10,949,000,000","11,707,854,530","7,787,807,830","632,477,205","-348,652,920","3,904,923,900","5,634,782,820","-4,341,014,611.12","-1,167,880,696.6","-2,383,096,111.89","-1,662,397,716","-2,565,865,323.84"
