name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
TotalAssets,"4,522,425,000","3,461,239,000","3,247,450,000","2,690,504,000","1,594,025,000","1,430,965,000"
	CurrentAssets,"4,138,618,000","3,041,577,000","2,863,250,000","2,257,429,000","1,214,153,000","1,220,076,000"
		CashCashEquivalentsAndShortTermInvestments,"3,674,179,000","2,633,675,000","2,524,827,000","2,011,323,000","1,079,154,000","1,116,342,000"
			CashAndCashEquivalents,"831,047,000","2,598,540,000","2,290,674,000","2,011,323,000","1,079,154,000","1,116,342,000"
			OtherShortTermInvestments,"2,843,132,000","35,135,000","234,153,000","0",,
		Receivables,"364,784,000","258,346,000","190,923,000","156,932,000","50,315,000","19,187,000"
			AccountsReceivable,"364,784,000","258,346,000","190,923,000","156,932,000","50,315,000","19,187,000"
		PrepaidAssets,,,"110,872,000","51,889,000","32,585,000","74,063,000"
		RestrictedCash,"370,000","16,244,000","36,628,000","37,285,000","52,099,000","10,484,000"
		OtherCurrentAssets,"99,285,000","133,312,000","110,872,000","51,889,000","32,585,000","74,063,000"
	TotalNonCurrentAssets,"383,807,000","419,662,000","384,200,000","433,075,000","379,872,000","210,889,000"
		NetPPE,"230,621,000","269,410,000","248,202,000","246,616,000","31,589,000","30,034,000"
			GrossPPE,"332,779,000","351,822,000","318,132,000","335,015,000","140,201,000","125,854,000"
				Properties,"0","0","0","0","0","0"
				MachineryFurnitureEquipment,"64,678,000","65,698,000","25,274,000","32,251,000","43,510,000","39,377,000"
				OtherProperties,"182,863,000","200,240,000","216,898,000","217,075,000",,
				ConstructionInProgress,"2,099,000","5,506,000","3,126,000","493,000","3,161,000","2,349,000"
				Leases,"83,139,000","80,378,000","72,834,000","85,196,000","93,530,000","84,128,000"
			AccumulatedDepreciation,"-102,158,000","-82,412,000","-69,930,000","-88,399,000","-108,612,000","-95,820,000"
		InvestmentsAndAdvances,,,,,"26,145,000","17,500,000"
			LongTermEquityInvestment,,,,,"26,145,000","17,500,000"
		OtherNonCurrentAssets,"153,186,000","150,252,000","135,998,000","186,459,000","348,283,000","163,355,000"
TotalLiabilitiesNetMinorityInterest,"961,460,000","818,802,000","956,420,000","1,167,954,000","3,574,667,000","3,182,393,000"
	CurrentLiabilities,"746,018,000","587,941,000","660,061,000","603,823,000","728,598,000","531,902,000"
		PayablesAndAccruedExpenses,"235,113,000","217,503,000","230,713,000","174,904,000","178,355,000","151,144,000"
			Payables,"59,379,000","86,114,000","97,457,000","16,358,000","51,735,000","27,399,000"
				AccountsPayable,"12,122,000","44,788,000","74,907,000","16,358,000","51,735,000","27,399,000"
				TotalTaxPayable,"47,257,000","41,326,000","22,550,000",,,
