name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997
OperatingCashFlow,"274,932,000","246,218,000","179,630,000","185,183,000","140,885,000","146,908,000","137,349,000","164,066,000","139,346,000","120,153,000","94,162,000","89,387,000","75,271,000","55,824,000","49,972,000","58,323,000","63,841,000","38,274,000","44,120,000","33,385,000","44,481,000","36,261,000","45,966,000","39,355,000","36,356,000","11,500,000","2,900,000","7,000,000"
	CashFlowFromContinuingOperatingActivities,"274,932,000","246,218,000","179,630,000","185,183,000","140,885,000","146,908,000","137,349,000","164,066,000","139,346,000","120,153,000","94,162,000","89,387,000","75,271,000","55,824,000","49,972,000","58,323,000","63,841,000","38,274,000","44,120,000","33,385,000","44,481,000","36,261,000","45,966,000","39,355,000","36,356,000","11,500,000","2,900,000","7,000,000"
		NetIncomeFromContinuingOperations,"204,724,000","176,568,000","128,959,000","110,472,000","87,240,000","85,762,000","104,690,000","116,481,000","124,234,000","103,475,000","82,000,000","67,296,000","51,853,000","44,907,000","28,061,000","16,562,000","22,798,000","30,751,000","19,331,000","18,635,000","22,109,000","21,845,000","25,196,000","16,187,000","16,268,000","1,100,000","7,300,000","8,300,000"
		OperatingGainsLosses,"224,000","1,337,000","-1,604,000","-486,000","918,000","-1,137,000","357,000","348,000","-363,000","19,000","-637,000","236,000","381,000","-164,000","206,000","130,000","156,000","12,000","22,000","3,526,000","11,237,000","11,374,000","15,544,000","9,247,000","16,135,000","400,000","1,600,000","400,000"
			GainLossOnSaleOfPPE,"-89,000","57,000","-89,000","7,000","21,000","-429,000","59,000","152,000","30,000","-30,000","-13,000","31,000","-46,000","25,000","-4,000","130,000","156,000",,,,,,,,,,,
			NetForeignCurrencyExchangeGainLoss,"313,000","1,280,000","-1,515,000","-493,000","897,000","-708,000","298,000","196,000","-393,000","49,000","-624,000","205,000","427,000","-189,000","210,000",,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"5,927,000","5,752,000","6,663,000","7,914,000","8,946,000","7,987,000","8,613,000","9,060,000","9,090,000","7,764,000","6,377,000","5,825,000","5,638,000","7,284,000","9,161,000","11,418,000","12,699,000","13,617,000","13,247,000","12,074,000","10,782,000","11,262,000","8,573,000","11,368,000","6,100,000","5,100,000","1,700,000","500,000"
			DepreciationAndAmortization,"5,927,000","5,752,000","6,663,000","7,914,000","8,946,000","7,987,000","8,613,000","9,060,000","9,090,000","7,764,000","6,377,000","5,825,000","5,638,000","7,284,000","9,161,000","11,418,000","12,699,000","13,617,000","13,247,000","12,074,000","10,782,000","11,262,000","8,573,000","11,368,000","6,100,000","5,100,000","1,700,000","500,000"
				Depreciation,,,,,,,,,,,,,,,,,,,,"7,582,000","7,207,000","7,830,000","6,801,000","6,128,000",,,,
				AmortizationCashFlow,,,,,,,,,,,,,,,,,,,,"4,492,000","3,575,000","3,432,000","1,772,000","5,240,000",,,,
					AmortizationOfIntangibles,,,,,,,,,,,,,,,,,,,,"4,492,000","3,575,000","3,432,000","1,772,000","5,240,000",,,,
		DeferredTax,"-30,325,000","-28,844,000","-29,711,000","-1,912,000","1,036,000","-1,406,000","-4,265,000","1,574,000","1,797,000","1,532,000","-1,705,000","3,165,000","5,388,000","2,409,000","-463,000","2,077,000","-1,389,000","-2,759,000","-574,000","1,368,000","-1,632,000","-273,000","-627,000","-459,000","-2,127,000","-1,800,000","-400,000",
			DeferredIncomeTax,"-30,325,000","-28,844,000","-29,711,000","-1,912,000","1,036,000","-1,406,000","-4,265,000","1,574,000","1,797,000","1,532,000","-1,705,000","3,165,000","5,388,000","2,409,000","-463,000","2,077,000","-1,389,000","-2,759,000","-574,000","1,368,000","-1,632,000","-273,000","-627,000","-459,000","-2,127,000","-1,800,000","-400,000",
		AssetImpairmentCharge,,,,,,,,,,,,"0","0","-2,519,000","0","0","5,205,000",,,,,,,,,,,
