name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991
OperatingCashFlow,"427,900,000","456,900,000","307,800,000","193,700,000","424,800,000","313,200,000","287,400,000","196,400,000","199,331,000","124,044,000","96,022,000","110,524,000","40,697,000","23,419,000","26,861,000","42,013,000","35,358,000","33,658,000","14,302,000","3,263,000","-6,336,000","6,248,000","20,402,000","24,945,000","21,406,000","10,110,000","11,600,000","8,300,000","5,700,000","3,200,000","2,600,000","2,000,000","1,100,000","1,100,000"
	CashFlowFromContinuingOperatingActivities,"427,900,000","456,900,000","307,800,000","193,700,000","424,800,000","313,200,000","287,400,000","196,400,000","199,331,000","124,044,000","96,022,000","110,524,000","40,697,000","23,419,000","26,861,000","42,013,000","35,358,000","33,658,000","14,302,000","3,263,000","-6,336,000","6,248,000","20,402,000","24,945,000","21,406,000","10,110,000","11,600,000","8,300,000","5,700,000","3,200,000","2,600,000","2,000,000","1,100,000","1,100,000"
		NetIncomeFromContinuingOperations,"195,000,000","219,300,000","268,100,000","409,900,000","200,300,000","174,700,000","157,700,000","157,700,000","97,201,000","97,650,000","77,184,000","84,512,000","42,653,000","24,297,000","-9,897,000","4,707,000","18,970,000","9,322,000","11,044,000","-96,000","-42,393,000","-81,800,000","12,248,000","17,040,000","19,247,000","14,462,000","11,300,000","8,300,000","5,600,000","4,300,000","3,300,000","2,500,000","1,800,000","1,100,000"
		OperatingGainsLosses,,,,,,,,"2,908,000","2,693,000","-23,586,000","3,321,000","5,956,000","3,594,000","3,196,000","4,310,000","2,692,000","963,000","151,000","99,000","1,032,000","31,095,000","81,035,000","1,770,000","2,865,000","4,422,000","745,000","800,000","600,000","500,000",,"100,000","-100,000",,
			GainLossOnSaleOfBusiness,,,,,,,,"0","0","-25,703,000","0","-30,840,000","0","0",,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,"61,000","-3,000","-246,000","112,000",,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,"-1,345,000",,,,,,,,,,,,,,,,,,
			PensionAndEmployeeBenefitExpense,,,,,,,,"2,908,000","2,693,000","2,117,000","3,321,000","5,956,000","3,594,000","3,196,000","4,310,000","4,283,000",,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"99,500,000","100,300,000","91,400,000","89,600,000","89,700,000","91,200,000","95,000,000","58,600,000","62,249,000","51,569,000","38,296,000","29,882,000","24,702,000","8,851,000","7,996,000","11,806,000","14,542,000","22,078,000","5,629,000","6,263,000","6,598,000","7,150,000","5,143,000","1,537,000","1,392,000","1,158,000","900,000","800,000","700,000","500,000","400,000","400,000","400,000","200,000"
			DepreciationAndAmortization,"99,500,000","100,300,000","91,400,000","89,600,000","89,700,000","91,200,000","95,000,000","58,600,000","62,249,000","51,569,000","38,296,000","29,882,000","24,702,000","8,851,000","2,115,000","6,075,000","14,542,000","22,078,000","5,629,000","6,263,000","6,598,000","7,150,000","5,143,000","1,537,000","1,392,000","1,158,000","900,000","800,000","700,000","500,000","400,000","400,000","400,000","200,000"
				Depreciation,,"27,900,000","26,300,000",,,"91,200,000","94,975,000","58,600,000","62,249,000","51,569,000","38,296,000","29,882,000","24,702,000","8,851,000","5,881,000","5,731,000","5,106,000","6,194,000",,,,,,,,,,,,,,,,
				AmortizationCashFlow,,"71,700,000","65,100,000",,,,,,,,,,"18,016,000","2,346,000","2,115,000","6,075,000","9,436,000","15,884,000",,,,,,,,,,,,,,,,
					AmortizationOfIntangibles,,"71,700,000","65,100,000",,,,,,,,,,"18,016,000","2,346,000","2,115,000","6,075,000","9,436,000","15,884,000",,,,,,,,,,,,,,,,
			Depletion,,,,,,,,,,,,,"6,686,000","6,505,000","5,881,000","5,731,000",,,,,,,,,,,,,,,,,,
		DeferredTax,,"26,900,000","31,500,000","-19,700,000","1,300,000","18,900,000","11,200,000","-5,100,000","12,834,000","11,549,000","15,948,000","4,111,000","4,970,000","3,748,000","2,274,000","4,287,000","9,000","-4,163,000","-3,906,000",,"2,144,000","-2,071,000","-2,632,000","-379,000","-339,000","-785,000","-300,000","-300,000","-400,000","-200,000","-100,000","-100,000","-100,000",
