name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997
TotalAssets,"673,353,000","570,178,000","539,708,000","465,412,000","372,279,000","307,150,000","314,995,000","297,140,000","332,243,000","318,170,000","297,828,000","261,813,000","259,600,000","280,464,000","264,711,000","270,221,000","271,660,000","314,893,000","273,398,000","290,501,000","264,019,000","220,196,000","180,720,000","152,375,000","80,900,000","67,800,000","15,000,000"
	CurrentAssets,"479,190,000","415,375,000","408,419,000","334,041,000","232,041,000","215,382,000","228,073,000","207,018,000","236,911,000","229,861,000","218,738,000","181,507,000","174,514,000","188,980,000","168,754,000","163,281,000","150,361,000","187,103,000","132,227,000","183,563,000","193,459,000","159,208,000","138,558,000","106,700,000","68,400,000","55,900,000","12,800,000"
		CashCashEquivalentsAndShortTermInvestments,"270,741,000","225,463,000","263,706,000","204,705,000","110,678,000","100,566,000","125,522,000","95,615,000","128,760,000","124,438,000","132,956,000","103,047,000","98,259,000","125,158,000","120,217,000","85,739,000","62,579,000","109,019,000","55,510,000","126,223,000","145,956,000","121,857,000","104,189,000","67,667,000","39,900,000","27,800,000","3,200,000"
			CashAndCashEquivalents,"270,741,000","225,463,000","263,706,000","204,705,000","110,678,000","99,126,000","125,522,000","95,615,000","118,416,000","115,708,000","124,375,000","96,737,000","92,180,000","120,744,000","120,217,000","85,739,000","44,675,000","18,449,000","19,419,000","37,429,000","140,964,000","64,664,000","84,029,000","51,032,000","19,700,000","27,800,000","3,200,000"
			OtherShortTermInvestments,,,,,"0","1,440,000","0","0","10,344,000","8,730,000","8,581,000","6,310,000","6,079,000","4,414,000","0","0","17,904,000","90,570,000","36,091,000","88,794,000","4,992,000","57,193,000","20,160,000","16,635,000","20,200,000",,
		Receivables,"182,544,000","167,414,000","127,017,000","111,076,000","102,269,000","100,875,000","92,231,000","100,285,000","97,379,000","86,828,000","71,136,000","62,102,000","61,123,000","49,865,000","37,945,000","63,896,000","72,534,000","60,937,000","59,072,000","45,996,000","40,790,000","32,384,000","26,660,000","28,177,000","24,300,000","20,800,000","9,200,000"
			AccountsReceivable,"181,173,000","166,767,000","124,420,000","109,202,000","100,937,000","100,108,000","92,231,000","100,285,000","97,379,000","86,828,000","71,136,000","62,102,000","56,264,000","47,419,000","37,945,000","63,896,000","72,534,000","60,937,000","58,623,000","45,996,000","40,790,000","32,384,000","26,660,000","28,177,000","24,300,000",,
				GrossAccountsReceivable,,"172,776,000","126,839,000","112,699,000","103,763,000","102,697,000","94,923,000","103,880,000","104,410,000","90,992,000","74,292,000","68,337,000","61,080,000",,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,"-6,009,000","-2,419,000","-3,497,000","-2,826,000","-2,589,000","-2,692,000","-3,595,000","-7,031,000","-4,164,000","-3,156,000","-6,235,000","-4,816,000",,,,,,,,,,,,,,
			TaxesReceivable,"1,371,000","647,000","2,597,000","1,874,000","1,332,000","767,000","0",,,,,"0","4,859,000","2,446,000","0",,,,,,,,,,,,
