name,ttm,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019
TotalRevenue,"3,206,404,000","2,806,489,000","2,065,659,000","1,219,327,000","592,049,000","264,748,000","96,666,000"
	OperatingRevenue,"3,206,404,000","2,806,489,000","2,065,659,000","1,219,327,000","592,049,000","264,748,000","96,666,000"
CostOfRevenue,"1,031,347,000","898,558,000","717,540,000","458,433,000","242,588,000","116,557,000","51,753,000"
GrossProfit,"2,175,057,000","1,907,931,000","1,348,119,000","760,894,000","349,461,000","148,191,000","44,913,000"
OperatingExpense,"3,415,060,000","3,002,704,000","2,190,386,000","1,475,930,000","893,398,000","506,279,000","230,378,000"
	SellingGeneralAndAdministration,"1,870,065,000","1,714,755,000","1,402,328,000","1,008,998,000","655,452,000","401,119,000","161,697,000"
		GeneralAndAdministrativeExpense,"351,717,000","323,008,000","295,821,000","265,033,000","176,135,000","107,542,000","36,055,000"
			OtherGandA,"351,717,000","323,008,000","295,821,000","265,033,000","176,135,000","107,542,000","36,055,000"
		SellingAndMarketingExpense,"1,518,348,000","1,391,747,000","1,106,507,000","743,965,000","479,317,000","293,577,000","125,642,000"
	ResearchAndDevelopment,"1,544,995,000","1,287,949,000","788,058,000","466,932,000","237,946,000","105,160,000","68,681,000"
OperatingIncome,"-1,240,003,000","-1,094,773,000","-842,267,000","-715,036,000","-543,937,000","-358,088,000","-185,465,000"
NetNonOperatingInterestIncomeExpense,"211,296,000","200,663,000","73,839,000","9,129,000","7,507,000","11,551,000","8,759,000"
	InterestIncomeNonOperating,"211,296,000","200,663,000","73,839,000","9,129,000","7,507,000","11,551,000","8,759,000"
OtherIncomeExpense,"14,115,000","44,887,000","-47,565,000","28,947,000","-610,000","-1,005,000","-502,000"
	GainOnSaleOfSecurity,"43,622,000","49,910,000","-8,399,000","27,621,000",,,
	SpecialIncomeCharges,"-26,911,000","-3,101,000","-38,036,000","0",,,
		WriteOff,"26,911,000","3,101,000","38,036,000","0",,,
	OtherNonOperatingIncomeExpenses,"-2,596,000","-1,922,000","-1,130,000","28,947,000","-610,000","-1,005,000","-502,000"
PretaxIncome,"-1,014,592,000","-849,223,000","-815,993,000","-676,960,000","-537,040,000","-347,542,000","-177,208,000"
TaxProvision,"5,600,000","-11,233,000","-18,467,000","2,988,000","2,062,000","993,000","820,000"
NetIncomeCommonStockholders,"-1,017,490,000","-836,097,000","-796,705,000","-679,948,000","-539,102,000","-348,535,000","-178,028,000"
	NetIncome,"-1,017,490,000","-836,097,000","-796,705,000","-679,948,000","-539,102,000","-348,535,000","-178,028,000"
		NetIncomeIncludingNoncontrollingInterests,"-1,020,192,000","-837,990,000","-797,526,000","-679,948,000","-539,102,000","-348,535,000","-178,028,000"
			NetIncomeContinuousOperations,"-1,020,192,000","-837,990,000","-797,526,000","-679,948,000","-539,102,000","-348,535,000","-178,028,000"
		MinorityInterests,"2,702,000","1,893,000","821,000","0","0",,
DilutedNIAvailtoComStockholders,"-1,017,490,000","-836,097,000","-796,705,000","-679,948,000","-539,102,000","-348,535,000","-178,028,000"
BasicEPS,"-3.06","-2.55","-2.5","-2.26","-3.81","-1.462","-0.747"
DilutedEPS,"-3.06","-2.55","-2.5","-2.26","-3.81","-1.462","-0.747"
BasicAverageShares,"332,030,000","328,001,000","318,730,000","300,273,227","141,613,196","238,369,506","238,369,506"
DilutedAverageShares,"332,030,000","328,001,000","318,730,000","300,273,227","141,613,196","238,369,506","238,369,506"
TotalOperatingIncomeAsReported,"-1,240,003,000","-1,094,773,000","-842,267,000","-715,036,000","-543,937,000","-358,088,000","-185,465,000"
TotalExpenses,"4,446,407,000","3,901,262,000","2,907,926,000","1,934,363,000","1,135,986,000","622,836,000","282,131,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-1,017,490,000","-836,097,000","-796,705,000","-679,948,000","-539,102,000","-348,535,000","-178,028,000"
NormalizedIncome,"-1,030,691,690","-882,297,483","-751,338,005","-679,948,000","-539,102,000","-348,535,000","-178,028,000"
InterestIncome,"211,296,000","200,663,000","73,839,000","9,129,000","7,507,000","11,551,000","8,759,000"
NetInterestIncome,"211,296,000","200,663,000","73,839,000","9,129,000","7,507,000","11,551,000","8,759,000"
EBIT,"-1,240,003,000","-1,094,773,000","-842,267,000","-715,036,000","-543,937,000","-358,088,000","-185,465,000"
EBITDA,"-1,087,215,000","-974,870,000","-778,732,000","-693,538,000","-534,111,000","-354,566,000","-184,103,000"
ReconciledCostOfRevenue,"1,031,347,000","898,558,000","717,540,000","458,433,000","242,588,000","116,557,000","51,753,000"
ReconciledDepreciation,"152,788,000","119,903,000","63,535,000","21,498,000","9,826,000","3,522,000","1,362,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"-1,017,490,000","-836,097,000","-796,705,000","-679,948,000","-539,102,000","-348,535,000","-178,028,000"
TotalUnusualItemsExcludingGoodwill,"16,711,000","46,809,000","-46,435,000","27,621,000",,,
TotalUnusualItems,"16,711,000","46,809,000","-46,435,000","27,621,000",,,
NormalizedEBITDA,"-1,103,926,000","-1,021,679,000","-732,297,000","-693,538,000","-534,111,000","-354,566,000","-184,103,000"
TaxRateForCalcs,"0.21","0.013","0.023","0.21","0.27","0.27","0.27"
TaxEffectOfUnusualItems,"3,509,310","608,517","-1,068,005","0","0","0","0"
