name,ttm,07/31/2024,07/31/2023,07/31/2022,07/31/2021,07/31/2020,07/31/2019,07/31/2018,07/31/2017,07/31/2016,07/31/2015,07/31/2014,07/31/2013,07/31/2012,07/31/2011,07/31/2010,07/31/2009,07/31/2008,07/31/2007,07/31/2006,07/31/2005,07/31/2004,07/31/2003,07/31/2002,07/31/2001,07/31/2000,07/31/1999,07/31/1998,07/31/1997,07/31/1996,07/31/1995,07/31/1994,07/31/1993,07/31/1992,07/31/1991,07/31/1990,07/31/1989,07/31/1988
TotalRevenue,"53,803,000,000","53,803,000,000","56,998,000,000","51,557,000,000","49,818,000,000","49,301,000,000","51,904,000,000","49,330,000,000","48,005,000,000","49,247,000,000","49,161,000,000","47,142,000,000","48,607,000,000","46,061,000,000","43,218,000,000","40,040,000,000","36,117,000,000","39,540,000,000","34,922,000,000","28,484,000,000","24,801,000,000","22,045,000,000","18,878,000,000","18,915,000,000","22,293,000,000","18,928,000,000","12,173,000,000","8,489,000,000","6,452,000,000","4,096,007,000","2,232,652,000","1,243,000,000","649,035,000","339,600,000","183,200,000","69,800,000","27,700,000","5,500,000"
	OperatingRevenue,"53,803,000,000","53,803,000,000","56,998,000,000","51,557,000,000","49,818,000,000","49,301,000,000","51,904,000,000","49,330,000,000","48,005,000,000","49,247,000,000","49,161,000,000","47,142,000,000","48,607,000,000","46,061,000,000","43,218,000,000","40,040,000,000","36,117,000,000","39,540,000,000","34,922,000,000","28,484,000,000","24,801,000,000","22,045,000,000","18,878,000,000","18,915,000,000","22,293,000,000","18,928,000,000","12,173,000,000","8,489,000,000","6,452,000,000","4,096,007,000","2,232,652,000","1,243,000,000","649,035,000","339,600,000","183,200,000","69,800,000","27,700,000","5,500,000"
CostOfRevenue,"18,975,000,000","18,975,000,000","21,245,000,000","19,309,000,000","17,924,000,000","17,618,000,000","19,238,000,000","18,724,000,000","17,781,000,000","18,287,000,000","19,480,000,000","19,373,000,000","19,167,000,000","17,852,000,000","16,682,000,000","14,397,000,000","13,023,000,000","14,194,000,000","12,663,000,000","9,737,000,000","8,130,000,000","6,919,000,000","5,645,000,000","6,902,000,000","11,221,000,000","6,746,000,000","4,259,000,000","2,924,000,000","2,243,000,000","1,409,862,000","742,860,000","382,000,000","210,528,000","104,500,000","59,500,000","22,900,000","11,500,000","2,400,000"
GrossProfit,"34,828,000,000","34,828,000,000","35,753,000,000","32,248,000,000","31,894,000,000","31,683,000,000","32,666,000,000","30,606,000,000","30,224,000,000","30,960,000,000","29,681,000,000","27,769,000,000","29,440,000,000","28,209,000,000","26,536,000,000","25,643,000,000","23,094,000,000","25,346,000,000","22,259,000,000","18,747,000,000","16,671,000,000","15,126,000,000","13,233,000,000","12,013,000,000","11,072,000,000","12,182,000,000","7,914,000,000","5,565,000,000","4,209,000,000","2,686,145,000","1,489,792,000","861,000,000","438,507,000","235,100,000","123,700,000","46,900,000","16,200,000","3,100,000"
OperatingExpense,"21,858,000,000","21,858,000,000","20,191,000,000","18,273,000,000","18,175,000,000","17,582,000,000","18,125,000,000","17,939,000,000","17,495,000,000","18,032,000,000","18,427,000,000","18,006,000,000","18,139,000,000","17,840,000,000","18,063,000,000","16,479,000,000","15,772,000,000","15,904,000,000","13,638,000,000","11,751,000,000","9,255,000,000","8,834,000,000","8,351,000,000","9,094,000,000","11,906,000,000","8,947,000,000","5,041,000,000","3,495,000,000","2,580,000,000","1,285,339,000","791,829,000","372,900,000","174,936,000","105,700,000","57,500,000","25,400,000","9,300,000","2,600,000"
	SellingGeneralAndAdministration,"13,177,000,000","13,177,000,000","12,358,000,000","11,186,000,000","11,411,000,000","11,094,000,000","11,398,000,000","11,386,000,000","11,177,000,000","11,433,000,000","11,861,000,000","11,437,000,000","11,802,000,000","11,969,000,000","11,720,000,000","10,715,000,000","9,968,000,000","10,077,000,000","8,552,000,000","7,200,000,000","5,680,000,000","5,397,000,000","4,818,000,000","4,882,000,000","6,074,000,000","4,579,000,000","2,846,000,000","1,826,000,000","1,370,000,000","886,048,000","485,254,000","253,300,000","130,682,000","99,000,000","54,500,000","24,400,000","9,200,000","2,500,000"
		GeneralAndAdministrativeExpense,"2,813,000,000","2,813,000,000","2,478,000,000","2,101,000,000","2,152,000,000","1,925,000,000","1,827,000,000","2,144,000,000","1,993,000,000","1,814,000,000","2,040,000,000","1,934,000,000","2,264,000,000","2,322,000,000","1,908,000,000","1,933,000,000","1,565,000,000","1,387,000,000","1,151,000,000","1,169,000,000","959,000,000","867,000,000","702,000,000","618,000,000","778,000,000","633,000,000","381,000,000","247,000,000","206,000,000","159,770,000","85,271,000","51,484,000","20,965,000",,,,,
			OtherGandA,"2,813,000,000","2,813,000,000","2,478,000,000","2,101,000,000","2,152,000,000","1,925,000,000","1,827,000,000","2,144,000,000","1,993,000,000","1,814,000,000","2,040,000,000","1,934,000,000","2,264,000,000","2,322,000,000","1,908,000,000","1,933,000,000","1,565,000,000","1,387,000,000","1,151,000,000","1,169,000,000","959,000,000","867,000,000","702,000,000","618,000,000","778,000,000","633,000,000","381,000,000","247,000,000","206,000,000","159,770,000","85,271,000","51,484,000","20,965,000",,,,,
		SellingAndMarketingExpense,"10,364,000,000","10,364,000,000","9,880,000,000","9,085,000,000","9,259,000,000","9,169,000,000","9,571,000,000","9,242,000,000","9,184,000,000","9,619,000,000","9,821,000,000","9,503,000,000","9,538,000,000","9,647,000,000","9,812,000,000","8,782,000,000","8,403,000,000","8,690,000,000","7,401,000,000","6,031,000,000","4,721,000,000","4,530,000,000","4,116,000,000","4,264,000,000","5,296,000,000","3,946,000,000","2,465,000,000","1,579,000,000","1,164,000,000","726,278,000","399,983,000","225,511,000","109,717,000",,,,,
	ResearchAndDevelopment,"7,983,000,000","7,983,000,000","7,551,000,000","6,774,000,000","6,549,000,000","6,347,000,000","6,577,000,000","6,332,000,000","6,059,000,000","6,296,000,000","6,207,000,000","6,294,000,000","5,942,000,000","5,488,000,000","5,823,000,000","5,273,000,000","5,271,000,000","5,328,000,000","4,679,000,000","4,158,000,000","3,348,000,000","3,195,000,000","3,139,000,000","3,513,000,000","4,777,000,000","4,077,000,000","2,134,000,000","1,646,000,000","1,210,000,000","399,291,000","306,575,000","88,800,000","44,254,000",,,,,
	DepreciationAmortizationDepletionIncomeStatement,"698,000,000","698,000,000","282,000,000","313,000,000","215,000,000","141,000,000","150,000,000","221,000,000","259,000,000","303,000,000","359,000,000","275,000,000","395,000,000","383,000,000","520,000,000","491,000,000","533,000,000","499,000,000","407,000,000","393,000,000","227,000,000","242,000,000","394,000,000","699,000,000","1,055,000,000","291,000,000","61,000,000","23,000,000",,,,"30,800,000","13,600,000","6,700,000","3,000,000","1,000,000","100,000","100,000"
		DepreciationAndAmortizationInIncomeStatement,"698,000,000","698,000,000","282,000,000","313,000,000","215,000,000","141,000,000","150,000,000","221,000,000","259,000,000","303,000,000","359,000,000","275,000,000","395,000,000","383,000,000","520,000,000","491,000,000","533,000,000","499,000,000","407,000,000","393,000,000","227,000,000","242,000,000","394,000,000","699,000,000","1,055,000,000","291,000,000","61,000,000","23,000,000",,,,"30,800,000","13,600,000","6,700,000","3,000,000","1,000,000","100,000","100,000"
			Amortization,"698,000,000","698,000,000","282,000,000","313,000,000","215,000,000","141,000,000","150,000,000","221,000,000","259,000,000","303,000,000","359,000,000","275,000,000","395,000,000","383,000,000","520,000,000","491,000,000","533,000,000","499,000,000","407,000,000","393,000,000","227,000,000","242,000,000","394,000,000","699,000,000","1,055,000,000","291,000,000","61,000,000","23,000,000",,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,"698,000,000","698,000,000","282,000,000","313,000,000","215,000,000","141,000,000","150,000,000","221,000,000","259,000,000","303,000,000","359,000,000","275,000,000","395,000,000","383,000,000","520,000,000","491,000,000","533,000,000","499,000,000","407,000,000","393,000,000","227,000,000","242,000,000","394,000,000","699,000,000","1,055,000,000","291,000,000","61,000,000","23,000,000",,,,,,,,,,
