name,ttm,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015
TotalRevenue,"91,839,000,000","88,425,000,000","102,301,000,000","101,197,000,000","86,670,000,000","84,815,000,000","90,621,000,000","79,040,000,000","62,164,000,000","50,911,000,000","54,142,000,000"
	OperatingRevenue,"91,839,000,000","88,425,000,000","102,301,000,000","101,197,000,000","86,670,000,000","84,815,000,000","90,621,000,000","79,040,000,000","62,164,000,000","50,911,000,000","54,142,000,000"
CostOfRevenue,"71,258,000,000","67,556,000,000","79,615,000,000","79,306,000,000","66,530,000,000","64,176,000,000","65,568,000,000","58,503,000,000","48,515,000,000","42,524,000,000","45,246,000,000"
GrossProfit,"20,581,000,000","20,869,000,000","22,686,000,000","21,891,000,000","20,140,000,000","20,639,000,000","25,053,000,000","20,537,000,000","13,649,000,000","8,387,000,000","8,896,000,000"
OperatingExpense,"15,342,000,000","15,658,000,000","16,915,000,000","17,232,000,000","16,455,000,000","18,273,000,000","25,244,000,000","22,953,000,000","16,039,000,000","8,901,000,000","9,212,000,000"
	SellingGeneralAndAdministration,"12,391,000,000","12,857,000,000","14,136,000,000","14,655,000,000","14,000,000,000","15,819,000,000","20,640,000,000","18,569,000,000","13,403,000,000","7,850,000,000","8,292,000,000"
	ResearchAndDevelopment,"2,951,000,000","2,801,000,000","2,779,000,000","2,577,000,000","2,455,000,000","2,454,000,000","4,604,000,000","4,384,000,000","2,636,000,000","1,051,000,000","920,000,000"
OperatingIncome,"5,239,000,000","5,211,000,000","5,771,000,000","4,659,000,000","3,685,000,000","2,366,000,000","-191,000,000","-2,416,000,000","-2,390,000,000","-514,000,000","-316,000,000"
NetNonOperatingInterestIncomeExpense,"-1,216,000,000","-1,240,000,000","-1,181,000,000","-1,480,000,000","-1,904,000,000","-2,297,000,000","-2,306,000,000","-2,312,000,000","-1,694,000,000","-663,000,000","-794,000,000"
	InterestIncomeNonOperating,"272,000,000","305,000,000","100,000,000","62,000,000","148,000,000","99,000,000","313,000,000","207,000,000","102,000,000","39,000,000","47,000,000"
	InterestExpenseNonOperating,"1,488,000,000","1,545,000,000","1,281,000,000","1,542,000,000","2,052,000,000","2,396,000,000","2,619,000,000","2,519,000,000","1,796,000,000","702,000,000","841,000,000"
	TotalOtherFinanceCost,"1,324,000,000",,,,"-406,000,000","143,000,000","131,000,000","113,000,000",,,
OtherIncomeExpense,"-19,000,000","-84,000,000","-1,365,000,000","2,744,000,000","565,000,000","-120,000,000","136,000,000","-41,000,000","-410,000,000","-109,000,000","-105,000,000"
	GainOnSaleOfSecurity,"-87,000,000","-152,000,000","-471,000,000","348,000,000","265,000,000","-37,000,000","136,000,000","-41,000,000","-73,000,000","-109,000,000","-105,000,000"
	SpecialIncomeCharges,"68,000,000","68,000,000","-894,000,000","2,396,000,000","300,000,000","-83,000,000","0","0","-337,000,000","0","0"
		OtherSpecialCharges,"-68,000,000","-68,000,000","894,000,000","1,572,000,000","158,000,000","83,000,000",,,"337,000,000",,
		GainOnSaleOfBusiness,"0","0","0","3,968,000,000","458,000,000","0",,,,,
	OtherNonOperatingIncomeExpenses,"-44,000,000","-44,000,000","-59,000,000","20,000,000","101,000,000","-62,000,000","-131,000,000","-115,000,000","-45,000,000","-22,000,000","-34,000,000"
PretaxIncome,"4,004,000,000","3,887,000,000","3,225,000,000","5,923,000,000","2,346,000,000","-51,000,000","-2,361,000,000","-4,769,000,000","-4,494,000,000","-1,286,000,000","-1,215,000,000"
TaxProvision,"46,000,000","692,000,000","803,000,000","981,000,000","101,000,000","-572,000,000","-180,000,000","-1,843,000,000","-1,420,000,000","-118,000,000","-107,000,000"
NetIncomeCommonStockholders,"3,972,000,000","3,211,000,000","2,442,000,000","5,563,000,000","3,250,000,000","4,616,000,000","-2,310,000,000","-2,849,000,000","-1,167,000,000","-1,104,000,000","-1,221,000,000"
	NetIncome,"3,972,000,000","3,211,000,000","2,442,000,000","5,563,000,000","3,250,000,000","4,616,000,000","-2,310,000,000","-2,849,000,000","-1,167,000,000","-1,104,000,000","-1,221,000,000"
		NetIncomeIncludingNoncontrollingInterests,"3,958,000,000","3,195,000,000","2,422,000,000","5,707,000,000","3,505,000,000","5,529,000,000","-2,181,000,000","-2,926,000,000","-1,158,000,000","-1,104,000,000","-1,221,000,000"
			NetIncomeContinuousOperations,"3,958,000,000","3,195,000,000","2,422,000,000","4,942,000,000","2,245,000,000","521,000,000","-2,181,000,000","-2,926,000,000","-3,074,000,000","-1,168,000,000","-1,108,000,000"
			NetIncomeDiscontinuousOperations,"0","0","0","765,000,000","1,260,000,000","5,008,000,000",,"0","1,916,000,000","64,000,000","-113,000,000"
		MinorityInterests,"14,000,000","16,000,000","20,000,000","-144,000,000","-255,000,000","-913,000,000","-129,000,000","77,000,000","-9,000,000","0","0"
AverageDilutionEarnings,"0","0","0","-7,000,000","-13,000,000","-84,000,000",,,,,
DilutedNIAvailtoComStockholders,"3,972,000,000","3,211,000,000","2,442,000,000","5,556,000,000","3,237,000,000","4,532,000,000","-2,310,000,000","-2,849,000,000","-1,167,000,000","-1,104,000,000","-1,221,000,000"
BasicEPS,"5.47","4.36","3.24","7.02","4.37","6.38","-6.02","-3.966","-1.624","-1.537","-1.7"
DilutedEPS,"5.43","4.36","3.24","7.02","4.22","6.03","-6.04","-3.966","-1.624","-1.537","-1.7"
BasicAverageShares,"711,500,000","720,000,000","734,000,000","762,000,000","744,000,000","724,000,000","719,000,000","718,434,605","718,434,605","718,434,605","718,434,605"
DilutedAverageShares,"730,000,000","736,000,000","753,000,000","791,000,000","767,000,000","751,000,000","719,000,000","718,434,605","718,434,605","718,434,605","718,434,605"
TotalOperatingIncomeAsReported,"5,239,000,000","5,211,000,000","5,771,000,000","4,659,000,000","3,685,000,000","2,366,000,000","-191,000,000","-2,416,000,000","-2,390,000,000","-514,000,000","-316,000,000"
