name,11/30/2023,11/30/2022,11/30/2021,11/30/2020,11/30/2019,11/30/2018,11/30/2017,11/30/2016,11/30/2015,11/30/2014,11/30/2013,11/30/2012,11/30/2011,11/30/2010,11/30/2009,11/30/2008,11/30/2007,11/30/2006,11/30/2005,11/30/2004,11/30/2003,11/30/2002,11/30/2001,11/30/2000,11/30/1999,11/30/1998,11/30/1997,11/30/1996,11/30/1995,11/30/1994,11/30/1993,11/30/1992,11/30/1991,11/30/1990,11/30/1989,11/30/1988,11/30/1987,11/30/1986
				MachineryFurnitureEquipment,"1,661,000,000","1,497,000,000","1,405,000,000","1,446,000,000","1,568,000,000","1,360,239,000","1,243,537,000","1,146,180,000","1,029,491,000","963,306,000","875,678,000","822,270,000","689,205,000","554,824,000","472,381,000","387,488,000","320,326,000","287,488,000","234,516,000","228,168,000","200,337,000","187,351,000","165,000,000","165,029,000","183,498,000","184,788,000","162,310,000","139,170,000","141,756,000","127,120,000",,,,,,,,
				OtherProperties,"358,000,000","407,000,000","443,000,000","487,000,000",,,,,,"25,703,000","61,007,000","35,303,000","32,151,000",,,,,,,,,,,,,,,,,,,,,,,,,
				ConstructionInProgress,"2,000,000","675,000,000","402,000,000","199,000,000","112,000,000","23,026,000","5,575,000","7,648,000","12,394,000","68,652,000","54,593,000","63,980,000","44,219,000","20,805,000","19,931,000","7,273,000","15,801,000","2,363,000","565,000","18,117,000","14,862,000","2,315,000","12,593,000","7,915,000","6,592,000",,,,,,,,,,,,,
				Leases,"275,000,000","259,000,000","268,000,000","284,000,000","246,000,000","181,990,000","120,165,000","110,414,000","98,315,000","240,506,000","235,859,000","222,262,000","206,529,000","188,334,000","152,200,000","133,571,000",,,,,,,,,,,,,,,,,,,,,,
			AccumulatedDepreciation,"-1,731,000,000","-1,569,000,000","-1,451,000,000","-1,458,000,000","-1,569,000,000","-1,405,836,000","-1,266,518,000","-1,109,948,000","-971,195,000","-914,034,000","-787,964,000","-734,373,000","-625,930,000","-525,087,000","-442,718,000","-352,594,000","-290,877,000","-254,375,000","-209,243,000","-207,253,000","-187,761,000","-164,234,000","-138,366,000","-135,689,000","-152,070,000","-127,628,000","-106,507,000","-77,372,000","-104,235,000","-90,095,000","-39,200,000","-28,100,000","-19,300,000","-12,700,000","-3,800,000","-4,100,000","-2,000,000","-1,100,000"
		GoodwillAndOtherIntangibleAssets,"13,893,000,000","14,236,000,000","14,488,000,000","12,101,000,000","12,412,000,000","12,650,049,000","6,207,219,000","5,820,879,000","5,876,888,000","5,191,624,000","5,377,235,000","4,678,295,000","4,394,743,000","4,170,628,000","4,021,977,000","2,349,690,000","2,550,721,000","2,655,899,000","135,160,000","125,800,000","111,289,000","99,772,000",,,,,,,,,"11,800,000","17,700,000",,,,,,
			Goodwill,"12,805,000,000","12,787,000,000","12,668,000,000","10,742,000,000","10,691,000,000","10,581,048,000","5,821,561,000","5,406,474,000","5,366,881,000","4,721,962,000","4,771,981,000","4,133,259,000","3,849,217,000","3,641,844,000","3,494,589,000","2,134,730,000","2,148,102,000","2,149,494,000",,,,,,,,,,,,,,,,,,,,
			OtherIntangibleAssets,"1,088,000,000","1,449,000,000","1,820,000,000","1,359,000,000","1,721,000,000","2,069,001,000","385,658,000","414,405,000","510,007,000","469,662,000","605,254,000","545,036,000","545,526,000","528,784,000","527,388,000","214,960,000","402,619,000","506,405,000","135,160,000","125,800,000","111,289,000","99,772,000",,,,,,,,,"11,800,000","17,700,000",,,,,,
		InvestmentsAndAdvances,,,,,,,"0","80,439,000","80,439,000","80,439,000","207,239,000","207,239,000","207,239,000","207,239,000","207,239,000","207,239,000",,,,,,,,,,,,,,,,,,,,,,
			OtherInvestments,,,,,,,"0","80,439,000","80,439,000","80,439,000","207,239,000","207,239,000","207,239,000",,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentAccountsReceivable,,,,,,,,"80,439,000","80,439,000","80,439,000","207,239,000","207,239,000","207,239,000",,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredAssets,"1,191,000,000","777,000,000","1,085,000,000","1,370,000,000","0",,,,,,,,,,,,,,,,,"24,450,000","11,594,000",,,"16,647,000","16,999,000",,"4,502,000","13,484,000",,,,,,,,
			NonCurrentDeferredTaxesAssets,"1,191,000,000","777,000,000","1,085,000,000","1,370,000,000","0",,,,,,,,,,,,,,,,,"24,450,000","11,594,000",,,"16,647,000","16,999,000",,"4,502,000","13,484,000",,,,,,,,
		OtherNonCurrentAssets,"1,223,000,000","841,000,000","883,000,000","663,000,000","562,000,000","186,522,000","143,548,000","139,890,000","159,832,000","126,315,000","90,121,000","93,327,000","89,922,000","98,350,000","191,265,000","216,529,000","300,223,000","194,983,000","193,028,000","182,128,000","37,721,000","42,126,000","70,672,000","127,236,000","111,706,000","200,852,000","163,148,000","195,348,000","135,735,000","51,426,000","13,500,000","18,500,000","42,000,000","24,500,000","7,200,000","5,900,000","3,100,000","1,700,000"
TotalLiabilitiesNetMinorityInterest,"13,261,000,000","13,114,000,000","12,444,000,000","11,020,000,000","10,232,000,000","9,406,568,000","6,075,687,000","5,272,411,000","4,724,892,000","4,009,924,000","3,655,664,000","3,375,047,000","3,208,070,000","2,948,761,000","2,391,669,000","1,411,244,000","1,063,697,000","810,672,000","575,989,000","535,155,000","454,245,000","377,289,000","313,651,000","316,872,000","291,650,000","250,966,000","224,647,000","294,879,000","186,315,000","195,685,000","80,600,000","56,700,000","38,400,000","37,900,000","35,300,000","21,200,000","8,800,000","6,300,000"
	CurrentLiabilities,"8,251,000,000","8,128,000,000","6,932,000,000","5,512,000,000","8,191,000,000","4,301,126,000","3,527,457,000","2,811,635,000","2,213,556,000","2,494,435,000","1,525,648,000","1,271,752,000","1,250,779,000","1,068,088,000","844,553,000","762,599,000","852,410,000","677,347,000","480,395,000","451,408,000","436,530,000","377,289,000","313,651,000","314,605,000","267,629,000","250,966,000","224,647,000","219,722,000","186,315,000","195,685,000","73,700,000","56,800,000","36,900,000","37,000,000","34,100,000","19,000,000","7,900,000","5,100,000"
		PayablesAndAccruedExpenses,"1,695,000,000","1,653,000,000","1,484,000,000","1,289,000,000","1,187,000,000","1,070,462,000","864,645,000","526,529,000","466,580,000","472,604,000","417,209,000","456,185,000","529,665,000","678,541,000","398,625,000","518,635,000","454,034,000","368,669,000","268,027,000","245,954,000","197,446,000","172,793,000","159,722,000","222,141,000","186,594,000","166,220,000","160,598,000","126,121,000","120,487,000","123,308,000","9,800,000","4,600,000","6,100,000","4,200,000","4,600,000",,,
			Payables,"521,000,000","571,000,000","485,000,000","498,000,000","410,000,000","331,021,000","223,695,000","194,588,000","150,802,000","132,028,000","105,321,000","135,849,000","174,804,000","106,147,000","117,417,000","82,976,000","66,867,000","55,031,000","41,042,000","43,192,000","37,437,000","37,765,000","30,891,000","40,280,000","35,692,000","48,681,000","57,857,000","43,056,000","25,639,000","34,354,000","9,800,000","4,600,000","6,100,000","4,200,000","4,600,000",,,
				AccountsPayable,"314,000,000","379,000,000","312,000,000","306,000,000","209,000,000","186,258,000","113,538,000","88,024,000","93,307,000","68,377,000","62,096,000","49,759,000","86,660,000","52,432,000","58,904,000","55,840,000","66,867,000","55,031,000","41,042,000","43,192,000","37,437,000","37,765,000","30,891,000","40,280,000","35,692,000","48,681,000","57,857,000","43,056,000","25,639,000","34,354,000","9,800,000","4,600,000","6,100,000","4,200,000","4,600,000",,,
				TotalTaxPayable,"207,000,000","192,000,000","173,000,000","158,000,000","139,000,000","93,234,000","63,746,000","81,475,000","34,161,000","48,578,000","28,447,000","76,050,000","69,366,000","53,715,000","58,513,000","27,136,000",,,,,,,,,,,,,,,,,,,,,,
					IncomeTaxPayable,"85,000,000","75,000,000","54,000,000","63,000,000","56,000,000","35,709,000","14,196,000","38,362,000","6,165,000","23,920,000","10,222,000","49,886,000","42,634,000","53,715,000","46,634,000","27,136,000",,,,,,,,,,,,,,,,,,,,,,
				OtherPayable,,,"40,000,000","34,000,000","62,000,000","51,529,000","46,411,000","25,089,000","23,334,000","15,073,000","14,778,000","10,040,000","18,778,000",,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentAccruedExpenses,"1,174,000,000","1,082,000,000","999,000,000","791,000,000","777,000,000","739,441,000","640,950,000","331,941,000","315,778,000","340,576,000","311,888,000","320,336,000","354,861,000","572,394,000","281,208,000","435,659,000","387,167,000","313,638,000","226,985,000","202,762,000","160,009,000","135,028,000","128,831,000","181,861,000","150,902,000","117,539,000","102,741,000","83,065,000","94,848,000","88,954,000",,,,,,,,
				InterestPayable,,,"34,000,000","32,000,000","29,000,000","29,481,000","25,594,000","25,805,000","26,538,000","22,621,000","20,613,000","20,796,000","21,010,000","21,203,000","1,355,000",,,,,,,,,,,,,,,,,,,,,,,
		CurrentProvisions,"111,000,000","106,000,000","128,000,000","127,000,000","126,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,"535,000,000","485,000,000","490,000,000","375,000,000","318,000,000","313,874,000","256,862,000","339,487,000","312,776,000","320,679,000","318,219,000","242,887,000","235,500,000","290,366,000","164,352,000",,,,,,,,,,,,,,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"73,000,000","587,000,000","97,000,000","92,000,000","3,149,000,000",,,,,"603,229,000","14,676,000","11,217,000","9,212,000","8,799,000",,,,,,,,,,,,,,,,,,,,,,,,
			CurrentDebt,,"500,000,000",,,"3,149,000,000",,,,,"603,229,000","14,676,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
				CurrentNotesPayable,,,,,"900,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				LineOfCredit,,,,,"2,250,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				OtherCurrentBorrowings,,"500,000,000",,,"3,149,000,000",,,,,"599,960,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentCapitalLeaseObligation,"73,000,000","87,000,000","97,000,000","92,000,000","0",,,,"0","3,269,000","14,676,000","11,217,000","9,212,000","8,799,000","0",,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredLiabilities,"5,837,000,000","5,297,000,000","4,733,000,000","3,629,000,000","3,378,000,000","2,915,974,000","2,405,950,000","1,945,619,000","1,434,200,000","1,097,923,000","775,544,000","561,463,000","476,402,000","380,748,000","281,576,000","243,964,000","183,318,000","130,310,000","57,839,000","59,541,000","45,600,000","31,185,000","21,701,000","17,696,000","15,676,000","11,333,000","15,706,000","15,537,000","18,257,000","15,707,000",,,,,,,,
			CurrentDeferredRevenue,"5,837,000,000","5,297,000,000","4,733,000,000","3,629,000,000","3,378,000,000","2,915,974,000","2,405,950,000","1,945,619,000","1,434,200,000","1,097,923,000","775,544,000","561,463,000","476,402,000","380,748,000","281,576,000","243,964,000","183,318,000","130,310,000","57,839,000","59,541,000","45,600,000","31,185,000","21,701,000","17,696,000","15,676,000","11,333,000","15,706,000","15,537,000","18,257,000","15,707,000",,,,,,,,
