name,ttm,06/30/2024,06/30/2023,06/30/2022,06/30/2021,06/30/2020,06/30/2019,06/30/2018,06/30/2017,06/30/2016,06/30/2015,06/30/2014,06/30/2013,06/30/2012,06/30/2011,06/30/2010,06/30/2009,06/30/2008,06/30/2007,06/30/2006,06/30/2005,06/30/2004,06/30/2003,06/30/2002,06/30/2001,06/30/2000,06/30/1999,06/30/1998,06/30/1997,06/30/1996,06/30/1995,06/30/1994,06/30/1993,06/30/1992,06/30/1991,06/30/1990,06/30/1989
			PurchaseOfPPE,"-44,477,000,000","-44,477,000,000","-28,107,000,000","-23,886,000,000","-20,622,000,000","-15,441,000,000","-13,925,000,000","-11,632,000,000","-8,129,000,000","-8,343,000,000","-5,944,000,000","-5,485,000,000","-4,257,000,000","-2,305,000,000","-2,355,000,000","-1,977,000,000","-3,119,000,000","-3,182,000,000","-2,264,000,000","-1,578,000,000","-812,000,000","-1,109,000,000","-891,000,000","-770,000,000","-1,103,000,000","-879,000,000","-583,000,000","-846,000,000","-499,000,000","-494,000,000","-495,000,000","-278,000,000","-236,000,000","-316,600,000","-264,400,000","-158,100,000","-89,400,000"
			SaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,"79,000,000",,,,,,,,,,
		NetBusinessPurchaseAndSale,"-69,132,000,000","-69,132,000,000","-1,670,000,000","-22,038,000,000","-8,909,000,000","-2,521,000,000","-2,388,000,000","-888,000,000","-25,944,000,000","-1,393,000,000","-3,723,000,000","-5,937,000,000","-1,584,000,000","-10,112,000,000","-71,000,000","-245,000,000","-868,000,000","-8,053,000,000","-1,150,000,000","-649,000,000","-207,000,000","-4,000,000","-1,063,000,000",,,,,"-190,000,000",,,,,,,,,
			PurchaseOfBusiness,"-69,132,000,000","-69,132,000,000","-1,670,000,000","-22,038,000,000","-8,909,000,000","-2,521,000,000","-2,388,000,000","-888,000,000","-25,944,000,000","-1,393,000,000","-3,723,000,000","-5,937,000,000","-1,584,000,000","-10,112,000,000","-71,000,000","-245,000,000","-868,000,000","-8,053,000,000","-1,150,000,000","-649,000,000",,,,,,,,,,,,,,,,,
		NetInvestmentPurchaseAndSale,"17,937,000,000","17,937,000,000","10,213,000,000","18,438,000,000","2,876,000,000","6,980,000,000","540,000,000","6,557,000,000","-12,511,000,000","-14,417,000,000","-12,868,000,000","-7,324,000,000","-17,802,000,000","-11,975,000,000","-13,216,000,000","-7,590,000,000","-11,783,000,000","6,775,000,000","9,879,000,000","7,113,000,000","16,046,000,000","-2,229,000,000","-5,541,000,000","-10,075,000,000","-7,631,000,000","-8,513,000,000","-10,687,000,000","-6,426,000,000","-2,590,000,000","-1,551,000,000","-651,000,000","-860,000,000","-723,000,000","-284,300,000","-76,600,000","-94,500,000","-15,700,000"
			PurchaseOfInvestment,"-17,732,000,000","-17,732,000,000","-37,651,000,000","-26,456,000,000","-62,924,000,000","-77,190,000,000","-57,697,000,000","-137,380,000,000","-176,905,000,000","-129,758,000,000","-98,729,000,000","-72,690,000,000","-75,396,000,000","-57,250,000,000","-35,993,000,000","-30,168,000,000","-37,780,000,000","-20,954,000,000","-36,308,000,000","-51,117,000,000","-68,045,000,000","-95,005,000,000","-91,869,000,000","-89,386,000,000","-66,346,000,000","-42,290,000,000","-36,441,000,000","-19,114,000,000","-18,216,000,000","-1,551,000,000","-651,000,000","-860,000,000","-723,000,000","-284,300,000","-76,600,000","-94,500,000","-15,700,000"
			SaleOfInvestment,"35,669,000,000","35,669,000,000","47,864,000,000","44,894,000,000","65,800,000,000","84,170,000,000","58,237,000,000","143,937,000,000","164,394,000,000","115,341,000,000","85,861,000,000","65,366,000,000","57,594,000,000","45,275,000,000","22,777,000,000","22,578,000,000","25,997,000,000","27,729,000,000","46,187,000,000","58,230,000,000","84,091,000,000","92,776,000,000","86,328,000,000","79,311,000,000","58,715,000,000","33,777,000,000","25,754,000,000","12,688,000,000","15,626,000,000",,,,,,,,
		NetOtherInvestingChanges,"-1,298,000,000","-1,298,000,000","-3,116,000,000","-2,825,000,000","-922,000,000","-1,241,000,000",,"-98,000,000","-197,000,000","203,000,000","-466,000,000","-87,000,000","-168,000,000","-394,000,000","1,026,000,000","-1,502,000,000","-930,000,000","-127,000,000","-376,000,000","3,117,000,000",,,,,,,,"-1,598,000,000","-1,669,000,000","-625,000,000","-230,000,000","-64,000,000","-17,000,000","-40,700,000","-39,700,000","-18,100,000","-39,900,000"
FinancingCashFlow,"-37,757,000,000","-37,757,000,000","-43,935,000,000","-58,876,000,000","-48,486,000,000","-46,031,000,000","-36,887,000,000","-33,590,000,000","8,408,000,000","-8,393,000,000","-9,668,000,000","-8,665,000,000","-8,148,000,000","-9,408,000,000","-8,376,000,000","-13,291,000,000","-7,463,000,000","-12,934,000,000","-24,544,000,000","-20,562,000,000","-41,078,000,000","-2,364,000,000","-5,223,000,000","-4,572,000,000","-5,586,000,000","-2,192,000,000","-862,000,000","-999,000,000","-501,000,000","-405,000,000","-138,000,000","83,000,000","186,000,000","119,000,000","-4,300,000","43,500,000","25,500,000"
	CashFlowFromContinuingFinancingActivities,"-37,757,000,000","-37,757,000,000","-43,935,000,000","-58,876,000,000","-48,486,000,000","-46,031,000,000","-36,887,000,000","-33,590,000,000","8,408,000,000","-8,393,000,000","-9,668,000,000","-8,665,000,000","-8,148,000,000","-9,408,000,000","-8,376,000,000","-13,291,000,000","-7,463,000,000","-12,934,000,000","-24,544,000,000","-20,562,000,000","-41,078,000,000","-2,364,000,000","-5,223,000,000","-4,572,000,000","-5,586,000,000","-2,192,000,000","-862,000,000","-999,000,000","-501,000,000","-405,000,000","-138,000,000","83,000,000","186,000,000","119,000,000","-4,300,000","43,500,000","25,500,000"
		NetIssuancePaymentsOfDebt,"575,000,000","575,000,000","-2,750,000,000","-9,023,000,000","-3,750,000,000","-5,518,000,000","-4,000,000,000","-10,201,000,000","31,459,000,000","18,283,000,000","13,661,000,000","6,962,000,000","3,537,000,000","0","5,960,000,000","190,000,000","5,746,000,000","0","0",,,,,,,,,,,,,,,"-11,100,000","12,900,000","-19,600,000","5,200,000"
			NetLongTermDebtIssuance,"-4,675,000,000","-4,675,000,000","-2,750,000,000","-9,023,000,000","-3,750,000,000","-5,518,000,000","-4,000,000,000","-2,877,000,000","36,422,000,000","11,088,000,000","9,180,000,000","6,462,000,000","3,537,000,000","0","6,146,000,000","1,181,000,000",,"0",,,,,,,,,,,,,,,,,,,
				LongTermDebtIssuance,"24,395,000,000","24,395,000,000","0","0",,"0","0","7,183,000,000","44,344,000,000","13,884,000,000","10,680,000,000","10,350,000,000","4,883,000,000","0","6,960,000,000","4,167,000,000",,"0",,,,,,,,,,,,,,,,,,,
				LongTermDebtPayments,"-29,070,000,000","-29,070,000,000","-2,750,000,000","-9,023,000,000","-3,750,000,000","-5,518,000,000","-4,000,000,000","-10,060,000,000","-7,922,000,000","-2,796,000,000","-1,500,000,000","-3,888,000,000","-1,346,000,000","0","-814,000,000","-2,986,000,000",,"0",,,,,,,,,,,,,,,,,,,
			NetShortTermDebtIssuance,"5,250,000,000","5,250,000,000","0","0",,"0","0","-7,324,000,000","-4,963,000,000","7,195,000,000","4,481,000,000","500,000,000","0","0","-186,000,000","-991,000,000","5,746,000,000","0","0",,,,,,,,,,,,,,,,,,
				ShortTermDebtIssuance,"5,250,000,000","5,250,000,000","0","0",,,,,,,,,,,"6,774,000,000",,"5,974,000,000",,"0",,,,,,,,,,,,,,,,,,
				ShortTermDebtPayments,,,,,,,,,,,,,"0",,"-186,000,000",,"-228,000,000",,"0",,,,,,,,,,,,,,,,,,
		NetCommonStockIssuance,"-15,252,000,000","-15,252,000,000","-20,379,000,000","-30,855,000,000","-25,692,000,000","-21,625,000,000","-18,401,000,000","-9,719,000,000","-11,016,000,000","-15,301,000,000","-13,809,000,000","-6,709,000,000","-4,429,000,000","-3,116,000,000","-9,133,000,000","-8,958,000,000","-8,774,000,000","-9,039,000,000","-20,793,000,000","-17,106,000,000","-4,948,000,000","-635,000,000","-4,366,000,000","-4,572,000,000","-5,821,000,000","-2,179,000,000","-834,000,000","-971,000,000","-1,282,000,000","-757,000,000","-317,000,000","83,000,000","186,000,000","130,100,000","-17,300,000","63,100,000","6,300,000"
			CommonStockIssuance,"2,002,000,000","2,002,000,000","1,866,000,000","1,841,000,000","1,693,000,000","1,343,000,000","1,142,000,000","1,002,000,000","772,000,000","668,000,000","634,000,000","607,000,000","931,000,000","1,913,000,000","2,422,000,000","2,311,000,000","579,000,000","3,494,000,000","6,782,000,000","2,101,000,000","3,109,000,000","2,748,000,000","2,120,000,000","1,497,000,000","1,620,000,000","2,717,000,000","2,116,000,000","1,497,000,000","1,819,000,000","504,000,000","332,000,000","431,000,000","436,000,000","265,100,000","179,700,000","109,800,000","6,300,000"
			CommonStockPayments,"-17,254,000,000","-17,254,000,000","-22,245,000,000","-32,696,000,000","-27,385,000,000","-22,968,000,000","-19,543,000,000","-10,721,000,000","-11,788,000,000","-15,969,000,000","-14,443,000,000","-7,316,000,000","-5,360,000,000","-5,029,000,000","-11,555,000,000","-11,269,000,000","-9,353,000,000","-12,533,000,000","-27,575,000,000","-19,207,000,000","-8,057,000,000","-3,383,000,000","-6,486,000,000","-6,069,000,000","-7,441,000,000","-4,896,000,000","-2,950,000,000","-2,468,000,000","-3,101,000,000","-1,261,000,000","-649,000,000","-348,000,000","-250,000,000","-135,000,000","-197,000,000","-46,700,000",
		CashDividendsPaid,"-21,771,000,000","-21,771,000,000","-19,800,000,000","-18,135,000,000","-16,521,000,000","-15,137,000,000","-13,811,000,000","-12,699,000,000","-11,845,000,000","-11,006,000,000","-9,882,000,000","-8,879,000,000","-7,455,000,000","-6,385,000,000","-5,180,000,000","-4,578,000,000","-4,468,000,000","-4,015,000,000","-3,805,000,000","-3,545,000,000","-36,112,000,000","-1,729,000,000","-857,000,000",,,"-13,000,000","-28,000,000","-28,000,000","-15,000,000",,,,,,,,
			CommonStockDividendPaid,"-21,771,000,000","-21,771,000,000","-19,800,000,000","-18,135,000,000","-16,521,000,000","-15,137,000,000","-13,811,000,000","-12,699,000,000","-11,845,000,000","-11,006,000,000","-9,882,000,000","-8,879,000,000","-7,455,000,000","-6,385,000,000","-5,180,000,000","-4,578,000,000","-4,468,000,000","-4,015,000,000","-3,805,000,000","-3,545,000,000",,,,,,,,,,,,,,,,,
		NetOtherFinancingCharges,"-1,309,000,000","-1,309,000,000","-1,006,000,000","-863,000,000","-2,523,000,000","-3,751,000,000","-675,000,000","-971,000,000","-190,000,000","-369,000,000","362,000,000","-39,000,000","199,000,000","93,000,000","-23,000,000","55,000,000","33,000,000","120,000,000","54,000,000","89,000,000","-18,000,000",,,,"235,000,000",,"3,107,000,000","2,091,000,000","796,000,000","352,000,000","179,000,000",,,,"100,000",,"14,000,000"
EndCashPosition,"18,315,000,000","18,315,000,000","34,704,000,000","13,931,000,000","14,224,000,000","13,576,000,000","11,356,000,000","11,946,000,000","7,663,000,000","6,510,000,000","5,595,000,000","8,669,000,000","3,804,000,000","6,938,000,000","9,610,000,000","5,505,000,000","6,076,000,000","10,339,000,000","6,111,000,000","6,714,000,000","4,851,000,000","14,304,000,000","5,357,000,000","3,016,000,000","3,922,000,000","4,846,000,000","4,975,000,000","3,839,000,000","3,706,000,000","0","0","0","0","0","0","0","0"
	ChangesInCash,"-16,179,000,000","-16,179,000,000","20,967,000,000","-152,000,000","677,000,000","2,421,000,000","-475,000,000","4,233,000,000","1,134,000,000","982,000,000","-3,001,000,000","5,004,000,000","-3,126,000,000","-2,568,000,000","4,002,000,000","-532,000,000","-4,196,000,000","4,091,000,000","-659,000,000","1,845,000,000","-9,446,000,000","8,920,000,000","3,079,000,000","-908,000,000","-898,000,000","-158,000,000","1,084,000,000","162,000,000","1,099,000,000","644,000,000","476,000,000","474,000,000","284,000,000","384,400,000","172,900,000","51,100,000","103,000,000"
	EffectOfExchangeRateChanges,"-210,000,000","-210,000,000","-194,000,000","-141,000,000","-29,000,000","-201,000,000","-115,000,000","50,000,000","19,000,000","-67,000,000","-73,000,000","-139,000,000","-8,000,000","-104,000,000","103,000,000","-39,000,000","-67,000,000","137,000,000","56,000,000","18,000,000","-7,000,000","27,000,000","61,000,000","2,000,000","-26,000,000","29,000,000","52,000,000","-29,000,000","6,000,000","-5,000,000","9,000,000","-10,000,000","-62,000,000","-10,100,000","-2,000,000","2,800,000","-1,100,000"
	BeginningCashPosition,"34,704,000,000","34,704,000,000","13,931,000,000","14,224,000,000","13,576,000,000","11,356,000,000","11,946,000,000","7,663,000,000","6,510,000,000","5,595,000,000","8,669,000,000","3,804,000,000","6,938,000,000","9,610,000,000","5,505,000,000","6,076,000,000","10,339,000,000","6,111,000,000","6,714,000,000","4,851,000,000","14,304,000,000","5,357,000,000","2,217,000,000","3,922,000,000","4,846,000,000","4,975,000,000","3,839,000,000","3,706,000,000","2,601,000,000","1,962,000,000","1,477,000,000","1,013,000,000","791,000,000","417,200,000","246,300,000","192,400,000","90,500,000"
	OtherCashAdjustmentOutsideChangeinCash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-3,706,000,000","-2,601,000,000","-1,962,000,000","-1,477,000,000","-1,013,000,000","-791,500,000","-417,200,000","-246,300,000","-192,400,000"
CapitalExpenditure,"-44,477,000,000","-44,477,000,000","-28,107,000,000","-23,886,000,000","-20,622,000,000","-15,441,000,000","-13,925,000,000","-11,632,000,000","-8,129,000,000","-8,343,000,000","-5,944,000,000","-5,485,000,000","-4,257,000,000","-2,305,000,000","-2,355,000,000","-1,977,000,000","-3,119,000,000","-3,182,000,000","-2,264,000,000","-1,578,000,000","-812,000,000","-1,109,000,000","-891,000,000","-770,000,000","-1,103,000,000","-879,000,000","-583,000,000","-846,000,000","-499,000,000","-494,000,000","-495,000,000","-278,000,000","-236,000,000","-316,600,000","-264,400,000","-158,100,000","-89,400,000"
IssuanceOfCapitalStock,"2,002,000,000","2,002,000,000","1,866,000,000","1,841,000,000","1,693,000,000","1,343,000,000","1,142,000,000","1,002,000,000","772,000,000","668,000,000","634,000,000","607,000,000","931,000,000","1,913,000,000","2,422,000,000","2,311,000,000","579,000,000","3,494,000,000","6,782,000,000","2,101,000,000","3,109,000,000","2,748,000,000","2,120,000,000","1,497,000,000","1,620,000,000","2,717,000,000","2,116,000,000","1,497,000,000","1,819,000,000","504,000,000","332,000,000","431,000,000","436,000,000","265,100,000","179,700,000","109,800,000","6,300,000"
IssuanceOfDebt,"29,645,000,000","29,645,000,000","0","0",,"0","0","7,183,000,000","44,344,000,000","13,884,000,000","10,680,000,000","10,350,000,000","4,883,000,000","0","6,960,000,000","4,167,000,000","5,974,000,000","0","0",,,,,,,,,,,,,,,,,,
RepaymentOfDebt,"-29,070,000,000","-29,070,000,000","-2,750,000,000","-9,023,000,000","-3,750,000,000","-5,518,000,000","-4,000,000,000","-10,060,000,000","-7,922,000,000","-2,796,000,000","-1,500,000,000","-3,888,000,000","-1,346,000,000","0","-1,000,000,000","-2,986,000,000","-228,000,000","0","0",,,,,,,,,,,,,,,,,,
RepurchaseOfCapitalStock,"-17,254,000,000","-17,254,000,000","-22,245,000,000","-32,696,000,000","-27,385,000,000","-22,968,000,000","-19,543,000,000","-10,721,000,000","-11,788,000,000","-15,969,000,000","-14,443,000,000","-7,316,000,000","-5,360,000,000","-5,029,000,000","-11,555,000,000","-11,269,000,000","-9,353,000,000","-12,533,000,000","-27,575,000,000","-19,207,000,000","-8,057,000,000","-3,383,000,000","-6,486,000,000","-6,069,000,000","-7,441,000,000","-4,896,000,000","-2,950,000,000","-2,468,000,000","-3,101,000,000","-1,261,000,000","-649,000,000","-348,000,000","-250,000,000","-135,000,000","-197,000,000","-46,700,000",
FreeCashFlow,"74,071,000,000","74,071,000,000","59,475,000,000","65,149,000,000","56,118,000,000","45,234,000,000","38,260,000,000","32,252,000,000","31,378,000,000","24,982,000,000","23,724,000,000","27,017,000,000","24,576,000,000","29,321,000,000","24,639,000,000","22,096,000,000","15,918,000,000","18,430,000,000","15,532,000,000","12,826,000,000","15,793,000,000","13,517,000,000","14,906,000,000","13,739,000,000","12,319,000,000","10,547,000,000","12,554,000,000","7,587,000,000","4,190,000,000","3,225,000,000","1,495,000,000","1,315,000,000","838,000,000","590,400,000","293,500,000","120,200,000","133,100,000"
