name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995
TotalRevenue,"25,442,800,000","27,558,500,000","21,173,400,000","18,611,000,000","13,978,500,000","11,820,000,000","10,944,000,000","8,962,700,000","6,875,100,000","6,287,400,000","5,856,277,000","5,245,326,000","4,731,555,000","5,651,035,000","4,507,938,000","1,596,063,000","2,953,678,000","3,774,123,817.47","3,581,773,383.32","2,527,046,847.92","2,463,556,128","1,540,044,211.87","1,957,377,508.72","1,847,572,046.89","2,160,781,226.52","1,197,516,950","774,641,610","808,453,737","619,395,023","446,342,493"
	OperatingRevenue,"25,442,800,000","27,558,500,000","21,173,400,000","18,611,000,000","13,978,500,000","11,820,000,000","10,944,000,000","8,962,700,000","6,875,100,000","6,287,400,000","5,856,277,000","5,245,326,000","4,731,555,000","5,651,035,000","4,507,938,000","1,596,063,000","2,953,678,000","3,774,123,817.47","3,581,773,383.32","2,527,046,847.92","2,463,556,128","1,540,044,211.87","1,957,377,508.72","1,847,572,046.89","2,160,781,226.52","1,197,516,950","774,641,610","808,453,737","619,395,023","446,342,493"
CostOfRevenue,"12,355,100,000","13,422,400,000","10,473,300,000","8,802,000,000","7,181,300,000","6,540,200,000","5,914,800,000","4,942,500,000","3,729,800,000","3,391,700,000","3,259,903,000","3,068,064,000","2,726,298,000","3,201,645,000","2,552,768,000","1,137,671,000","1,938,164,000","2,222,022,641.18","2,127,795,065.54","1,553,592,034.63","1,558,585,795.28","1,171,905,700.88","1,490,082,951.4","1,795,624,926.69","1,205,906,423.42","755,479,158","444,917,988","452,908,638","361,240,112","276,556,086"
GrossProfit,"13,087,700,000","14,136,100,000","10,700,100,000","9,809,000,000","6,797,200,000","5,279,800,000","5,029,200,000","4,020,200,000","3,145,300,000","2,895,700,000","2,596,374,000","2,177,262,000","2,005,257,000","2,449,390,000","1,955,170,000","458,392,000","1,015,514,000","1,552,101,176.29","1,453,978,317.78","973,454,813.29","904,970,332.72","368,138,510.99","467,294,557.32","51,947,120.2","954,874,803.1","442,037,792","329,723,622","355,545,099","258,154,911","169,786,407"
OperatingExpense,"5,287,400,000","5,093,800,000","4,199,400,000","3,272,600,000","2,745,700,000","2,489,000,000","2,063,900,000","1,676,300,000","1,480,600,000","1,413,800,000","1,395,145,000","1,193,770,000","848,483,000","808,174,000","704,471,000","621,517,000","728,469,000","736,115,464.46","591,364,921.96","524,679,563.3","532,194,809.92","498,457,096.68","561,275,505.75","689,415,385.28","466,290,106.12","356,671,231","241,473,312","151,363,485","105,736,652","68,866,053"
	SellingGeneralAndAdministration,"1,122,100,000","1,113,200,000","945,900,000","725,600,000","544,900,000","520,500,000","488,000,000","416,600,000","374,800,000","345,700,000","321,110,000","311,741,000","259,301,000","217,904,000","181,045,000","154,756,000","212,341,000","226,023,657.41","204,799,060.86","201,051,318.75","201,480,325.36","212,237,866.76","263,069,274.44","280,480,731.78","185,558,628.24","140,223,769","93,622,068","56,909,034","96,255,706","62,392,800"
	ResearchAndDevelopment,"4,165,300,000","3,980,600,000","3,253,500,000","2,547,000,000","2,200,800,000","1,968,500,000","1,575,900,000","1,259,700,000","1,105,800,000","1,068,100,000","1,074,035,000","882,029,000","589,182,000","590,270,000","523,426,000","466,761,000","516,128,000","511,307,854.56","413,707,832.28","323,628,244.55","330,714,484.56","286,219,229.92","298,206,231.31","408,934,653.5","214,699,497.3","173,913,250","114,000,642","78,636,285",,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,"0","0","23,184,463.61",,,,,,,"66,031,980.58","42,534,212","33,850,602","15,818,166","9,480,946","6,473,253"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,"0","0","23,184,463.61",,,,,,,"66,031,980.58","42,534,212","33,850,602","15,818,166","9,480,946","6,473,253"
			Amortization,,,,,,,,,,,,,,,,"0","0","23,184,463.61",,,,,,,,,,,,
