name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
TotalRevenue,"2,478,981,000","2,225,012,000","1,905,871,000","1,541,889,000","1,092,673,000","742,555,000","595,409,000"
	OperatingRevenue,"2,478,981,000","2,225,012,000","1,905,871,000","1,541,889,000","1,092,673,000","742,555,000","595,409,000"
CostOfRevenue,"461,379,000","431,105,000","408,549,000","339,404,000","352,547,000","242,373,000","165,401,000"
GrossProfit,"2,017,602,000","1,793,907,000","1,497,322,000","1,202,485,000","740,126,000","500,182,000","430,008,000"
OperatingExpense,"1,725,605,000","1,673,941,000","1,658,523,000","1,613,531,000","1,913,805,000","1,076,626,000","1,053,448,000"
	SellingGeneralAndAdministration,"1,291,793,000","1,269,317,000","1,298,844,000","1,226,044,000","1,353,145,000","771,063,000","767,997,000"
		GeneralAndAdministrativeExpense,"528,071,000","524,325,000","596,333,000","611,532,000","669,444,000","320,943,000","306,235,000"
			OtherGandA,"528,071,000","524,325,000","596,333,000","611,532,000","669,444,000","320,943,000","306,235,000"
		SellingAndMarketingExpense,"763,722,000","744,992,000","702,511,000","614,512,000","683,701,000","450,120,000","461,762,000"
	ResearchAndDevelopment,"433,812,000","404,624,000","359,679,000","387,487,000","560,660,000","305,563,000","285,451,000"
OperatingIncome,"291,997,000","119,966,000","-161,201,000","-411,046,000","-1,173,679,000","-576,444,000","-623,440,000"
NetNonOperatingInterestIncomeExpense,"167,884,000","129,102,000","16,251,000","-2,033,000","-9,459,000","12,029,000","7,060,000"
	InterestIncomeNonOperating,"171,354,000","132,572,000","20,309,000","1,607,000","4,680,000","15,090,000","10,500,000"
	InterestExpenseNonOperating,,"3,470,000","4,058,000","3,640,000","14,139,000","3,061,000","3,440,000"
OtherIncomeExpense,"-22,180,000","-11,977,000","-216,077,000","-75,415,000","4,111,000","-2,856,000","45,455,000"
	GainOnSaleOfSecurity,,,,,"811,000","-3,000","48,093,000"
	OtherNonOperatingIncomeExpenses,"-22,180,000","-11,977,000","-216,077,000","-75,415,000","4,111,000","-2,856,000","-2,638,000"
PretaxIncome,"437,701,000","237,091,000","-361,027,000","-488,494,000","-1,179,027,000","-567,271,000","-570,925,000"
TaxProvision,"25,708,000","19,716,000","10,067,000","31,885,000","-12,636,000","12,375,000","9,102,000"
NetIncomeCommonStockholders,"404,552,000","209,825,000","-373,705,000","-520,379,000","-1,166,391,000","-588,127,000","-598,125,000"
	NetIncome,"404,552,000","209,825,000","-373,705,000","-520,379,000","-1,166,391,000","-579,646,000","-580,027,000"
		NetIncomeIncludingNoncontrollingInterests,"411,993,000","217,375,000","-371,094,000","-520,379,000","-1,166,391,000","-579,646,000","-580,027,000"
			NetIncomeContinuousOperations,"411,993,000","217,375,000","-371,094,000","-520,379,000","-1,166,391,000","-579,646,000","-580,027,000"
		MinorityInterests,"-7,441,000","-7,550,000","-2,611,000","0",,,
	OtherunderPreferredStockDividend,,,,"0","0","8,481,000","18,098,000"
AverageDilutionEarnings,,,"0","0","-5,483,000","0","-38,953,000"
DilutedNIAvailtoComStockholders,"404,552,000","209,825,000","-373,705,000","-520,379,000","-1,171,874,000","-588,127,000","-637,078,000"
BasicEPS,"0.19","0.1","-0.18","-0.27","-1.19","-0.824","-0.838"
DilutedEPS,"0.17","0.09","-0.18","-0.27","-1.2","-0.824","-0.89"
BasicAverageShares,"2,198,947,000","2,147,446,000","2,063,793,000","1,923,617,000","977,721,736","713,879,000","713,879,000"
DilutedAverageShares,"2,375,525,500","2,297,927,000","2,063,793,000","1,923,617,000","979,330,067","716,027,000","716,027,000"
TotalOperatingIncomeAsReported,"291,997,000","119,966,000","-161,201,000","-411,046,000","-1,173,679,000","-576,444,000","-623,440,000"
TotalExpenses,"2,186,984,000","2,105,046,000","2,067,072,000","1,952,935,000","2,266,352,000","1,318,999,000","1,218,849,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"404,552,000","209,825,000","-373,705,000","-520,379,000","-1,166,391,000","-579,646,000","-580,027,000"
NormalizedIncome,"404,552,000","209,825,000","-373,705,000","-520,379,000","-1,166,391,000","-579,646,000","-615,134,890"
InterestIncome,"171,354,000","132,572,000","20,309,000","1,607,000","4,680,000","15,090,000","10,500,000"
InterestExpense,,"3,470,000","4,058,000","3,640,000","14,139,000","3,061,000","3,440,000"
NetInterestIncome,"167,884,000","129,102,000","16,251,000","-2,033,000","-9,459,000","12,029,000","7,060,000"
EBIT,"412,592,000","240,561,000","-356,969,000","-484,854,000","-1,164,888,000","-564,210,000","-567,485,000"
EBITDA,"445,721,000","273,915,000","-334,447,000","-469,957,000","-1,151,017,000","-551,955,000","-553,575,000"
ReconciledCostOfRevenue,"461,379,000","431,105,000","408,549,000","339,404,000","352,547,000","242,373,000","165,401,000"
ReconciledDepreciation,"33,129,000","33,354,000","22,522,000","14,897,000","13,871,000","12,255,000","13,910,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"404,552,000","209,825,000","-373,705,000","-520,379,000","-1,166,391,000","-579,646,000","-580,027,000"
TotalUnusualItemsExcludingGoodwill,,,,,"811,000","-3,000","48,093,000"
TotalUnusualItems,,,,,"811,000","-3,000","48,093,000"
NormalizedEBITDA,"445,721,000","273,915,000","-334,447,000","-469,957,000","-1,151,017,000","-551,955,000","-601,668,000"
TaxRateForCalcs,"0.059","0.083","0.21","0.27","0.011","0.27","0.27"
TaxEffectOfUnusualItems,"0","0","0","0","0","0","12,985,110"
