name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008
OperatingCashFlow,"3,737,000,000","3,513,000,000","3,895,000,000","3,077,000,000","2,482,000,000","2,373,000,000","4,369,000,000","2,447,000,000","2,303,000,000","1,330,000,000","1,468,000,000","891,000,000","722,000,000","195,000,000","371,000,000","-745,000,000","-622,000,000"
	CashFlowFromContinuingOperatingActivities,"3,737,000,000","3,513,000,000","3,895,000,000","3,077,000,000","2,482,000,000","2,373,000,000","4,369,000,000","2,447,000,000","2,303,000,000","1,330,000,000","1,468,000,000","891,000,000","722,000,000","175,000,000","361,000,000","-730,000,000","-622,000,000"
		NetIncomeFromContinuingOperations,"2,803,000,000","2,822,000,000","2,833,000,000","1,906,000,000","80,000,000","272,000,000","2,258,000,000","2,272,000,000","259,000,000","1,599,000,000","607,000,000","415,000,000","-53,000,000","2,000,000","-465,000,000","-185,000,000","-3,574,000,000"
		OperatingGainsLosses,"15,000,000","5,000,000","23,000,000","25,000,000","-72,000,000","-10,000,000","-28,000,000","-1,596,000,000","10,000,000","-1,241,000,000","-13,000,000","54,000,000","168,000,000","119,000,000","50,000,000","-1,103,000,000","350,000,000"
			NetForeignCurrencyExchangeGainLoss,,,,,,"15,000,000","14,000,000","30,000,000","15,000,000","193,000,000","246,000,000","-62,000,000","-28,000,000","-128,000,000","353,000,000",,
			GainLossOnInvestmentSecurities,"9,000,000","-1,000,000","4,000,000","2,000,000","-21,000,000",,,,,"31,000,000","2,000,000",,,,,,
			EarningsLossesFromEquityInvestments,"8,000,000","7,000,000","1,000,000","2,000,000","4,000,000","-1,000,000","-54,000,000","-22,000,000","-11,000,000","-9,000,000","-8,000,000","-58,000,000","27,000,000","77,000,000","86,000,000","0",
		DepreciationAmortizationDepletion,"990,000,000","1,106,000,000","1,250,000,000","1,262,000,000","1,988,000,000","2,047,000,000","1,987,000,000","2,173,000,000","2,205,000,000","517,000,000","405,000,000","514,000,000","533,000,000","591,000,000","684,000,000","818,000,000","1,270,000,000"
			DepreciationAndAmortization,"990,000,000","1,106,000,000","1,250,000,000","1,262,000,000","1,988,000,000","2,047,000,000","1,987,000,000","2,173,000,000","2,205,000,000","517,000,000","405,000,000","514,000,000","533,000,000","591,000,000","684,000,000","818,000,000","1,270,000,000"
				Depreciation,"621,000,000","652,000,000","605,000,000","551,000,000","547,000,000",,,,,,,,,,,,
				AmortizationCashFlow,"369,000,000","454,000,000","645,000,000","711,000,000","1,441,000,000",,,,,,,,,,,,
					AmortizationOfIntangibles,"369,000,000","454,000,000","645,000,000","711,000,000","1,441,000,000",,,,,,,,,,,,
		DeferredTax,"-217,000,000","-267,000,000","-236,000,000","-20,000,000","-349,000,000","-175,000,000","-211,000,000","-797,000,000","-925,000,000","-168,000,000","1,000,000","-7,000,000",,,,,
			DeferredIncomeTax,"-217,000,000","-267,000,000","-236,000,000","-20,000,000","-349,000,000","-175,000,000","-211,000,000","-797,000,000","-925,000,000","-168,000,000","1,000,000","-7,000,000",,,,,
		AssetImpairmentCharge,,,,,,,,,,,,,,"0","0","69,000,000","714,000,000"
		StockBasedCompensation,"439,000,000","411,000,000","364,000,000","353,000,000","384,000,000","346,000,000","314,000,000","281,000,000","338,000,000","216,000,000","133,000,000","88,000,000","52,000,000","31,000,000","12,000,000",,
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,,"0","0","-5,000,000","0","0",,,,,,
		OtherNonCashItems,"10,000,000","10,000,000","9,000,000","8,000,000","8,000,000","53,000,000","52,000,000","52,000,000","50,000,000","50,000,000","16,000,000","32,000,000","-6,000,000","49,000,000","-2,000,000","-29,000,000","414,000,000"
		ChangeInWorkingCapital,"-303,000,000","-574,000,000","-348,000,000","-457,000,000","443,000,000","-160,000,000","-3,000,000","62,000,000","371,000,000","357,000,000","319,000,000","-205,000,000","22,000,000","-568,000,000","80,000,000","-300,000,000","204,000,000"
			ChangeInReceivables,"5,000,000","-138,000,000","-106,000,000","-176,000,000","-51,000,000","116,000,000","187,000,000","31,000,000","-51,000,000","-78,000,000","-111,000,000","-37,000,000","2,000,000","-32,000,000","109,000,000","-66,000,000","196,000,000"
			ChangeInInventory,"-42,000,000","-353,000,000","-593,000,000","-159,000,000","163,000,000","128,000,000","-65,000,000","-120,000,000","568,000,000","82,000,000","-42,000,000","-22,000,000","-61,000,000","-104,000,000","8,000,000","31,000,000","122,000,000"
			ChangeInPayablesAndAccruedExpense,"-349,000,000","-119,000,000","633,000,000","248,000,000","319,000,000","-460,000,000","-129,000,000","225,000,000","-156,000,000","127,000,000","222,000,000","-68,000,000","61,000,000","-373,000,000","-237,000,000","-194,000,000","-398,000,000"
			ChangeInOtherCurrentAssets,"62,000,000","16,000,000","-306,000,000","-350,000,000","7,000,000","43,000,000","-22,000,000","-100,000,000","5,000,000","30,000,000","13,000,000","-18,000,000","26,000,000","51,000,000","-157,000,000",,
			ChangeInOtherCurrentLiabilities,,,,,,,,,,,,,,"-107,000,000","-120,000,000","-178,000,000",
			ChangeInOtherWorkingCapital,"21,000,000","20,000,000","24,000,000","-20,000,000","5,000,000","13,000,000","26,000,000","26,000,000","5,000,000","196,000,000","237,000,000","-60,000,000","-6,000,000","-110,000,000","357,000,000","107,000,000","284,000,000"
	CashFromDiscontinuedOperatingActivities,,,,,,,,,,,,"0","0","20,000,000","10,000,000","-15,000,000",
InvestingCashFlow,"-1,415,000,000","-1,508,000,000","-1,249,000,000","-934,000,000","-418,000,000","-2,284,000,000","-522,000,000","2,072,000,000","-627,000,000","-430,000,000","-387,000,000","-240,000,000","-288,000,000","589,000,000","-286,000,000","78,000,000","1,015,000,000"
	CashFlowFromContinuingInvestingActivities,"-1,415,000,000","-1,508,000,000","-1,249,000,000","-934,000,000","-418,000,000","-2,284,000,000","-522,000,000","2,072,000,000","-627,000,000","-430,000,000","-387,000,000","-240,000,000","-243,000,000","-202,000,000","-269,000,000","63,000,000","1,015,000,000"
		CapitalExpenditureReported,"-786,000,000","-827,000,000","-1,063,000,000","-767,000,000","-392,000,000","-526,000,000","-611,000,000","-552,000,000","-389,000,000","-341,000,000","-329,000,000","-215,000,000","-251,000,000","-221,000,000","-258,000,000","-92,000,000","-379,000,000"
		NetPPEPurchaseAndSale,"3,000,000","1,000,000","-3,000,000","-32,000,000","4,000,000","23,000,000","1,000,000","2,000,000","1,000,000","7,000,000","4,000,000","6,000,000","2,000,000","15,000,000","31,000,000","21,000,000","61,000,000"
			PurchaseOfPPE,,"0","-5,000,000","-33,000,000","0","0",,,,,,,,,,,
			SaleOfPPE,"3,000,000","1,000,000","2,000,000","1,000,000","4,000,000","23,000,000","1,000,000","2,000,000","1,000,000","7,000,000","4,000,000","6,000,000","2,000,000","15,000,000","31,000,000","21,000,000","61,000,000"
		NetIntangiblesPurchaseAndSale,"-173,000,000","-179,000,000","-159,000,000","-132,000,000","-130,000,000","-102,000,000","-50,000,000","-66,000,000","-59,000,000","-12,000,000","-36,000,000","-35,000,000","-29,000,000","-10,000,000","-7,000,000","-8,000,000","-36,000,000"
			PurchaseOfIntangibles,"-173,000,000","-179,000,000","-159,000,000","-132,000,000","-130,000,000","-102,000,000","-50,000,000","-66,000,000","-59,000,000","-12,000,000","-36,000,000","-35,000,000","-29,000,000","-10,000,000","-7,000,000","-8,000,000","-36,000,000"
		NetBusinessPurchaseAndSale,,"0","-27,000,000","-23,000,000","127,000,000","-1,661,000,000","141,000,000","2,682,000,000","-182,000,000","-87,000,000","-7,000,000","2,000,000","24,000,000","0","-68,000,000","123,000,000","1,243,000,000"
			PurchaseOfBusiness,,"0","-27,000,000","-23,000,000","-34,000,000","-1,698,000,000","-18,000,000","0","-202,000,000","-1,692,000,000","-8,000,000","-1,000,000","-2,000,000","0","-68,000,000","0","-206,000,000"
			SaleOfBusiness,,,"0","0","161,000,000","37,000,000","159,000,000","2,682,000,000","20,000,000","1,605,000,000","1,000,000","3,000,000","26,000,000","0","0","123,000,000","1,449,000,000"
