name,ttm,10/31/2023,10/31/2022,10/31/2021,10/31/2020,10/31/2019,10/31/2018,10/31/2017,10/31/2016,10/31/2015,10/31/2014,10/31/2013,10/31/2012,10/31/2011,10/31/2010
MarketCap,"799,135,567,801","348,327,180,000","196,510,160,000","218,844,031,840","141,425,800,357","116,165,035,873","92,401,215,274","107,868,503,026","67,819,367,179","33,932,346,893","21,812,555,913","11,243,644,651","8,108,121,527","8,306,147,546","5,907,547,104"
EnterpriseValue,"859,142,567,801","375,613,180,000","226,055,160,000","248,223,031,840","176,719,800,357","148,268,035,873","105,869,215,274","115,991,503,026","79,573,367,179","36,539,346,893","26,053,555,913","10,383,644,651","7,027,121,527","7,483,147,546","5,776,547,104"
PeRatio,"138.207","25.892","20.35","39.482","65.597","40.674","8.271","201.458",,"32.747","64.85","21.13","14.68","15.42","26.538"
ForwardPeRatio,"27.778","18.45","11.534","17.391","14.045","12.019","10.352","15.083","12.987","12.453","13.643","13.85","11.025","11.947",
PegRatio,"1.204","1.277","0.737","1.215","1.099","0.849","0.69","0.839","0.84","0.712","0.744","0.792","0.735","0.956",
PsRatio,"16.944","9.921","6.449","8.6","6.315","5.541","4.611","6.813","5.387","5.254","6.626","4.732","3.493","3.643","3.077"
PbRatio,"12.172","15.776","9.413","9.021","6.004","5.402","3.366","5.447","3.483","7.926","7.041","4.125","3.352","4.141","4.441"
EnterprisesValueRevenueRatio,"18.352","10.594","7.136","9.363","7.618","6.659","5.229","6.852","7.271","5.558","7.625","4.327","2.973","3.203","2.964"
EnterprisesValueEBITDARatio,"39.243","18.33","12.547","17.894","16.992","15.68","12.17","19.096","35.288","15.155","34.878","14.342","9.483","10.365","12.808"
