name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008
TotalAssets,"24,353,000,000","23,236,000,000","20,864,000,000","19,847,000,000","20,016,000,000","21,530,000,000","24,049,000,000","24,898,000,000","26,354,000,000","6,850,000,000","6,449,000,000","6,439,000,000","6,612,000,000","7,637,000,000","8,579,000,000","10,327,000,000"
	CurrentAssets,"7,864,000,000","6,935,000,000","5,228,000,000","4,324,000,000","3,267,000,000","5,225,000,000","6,044,000,000","5,398,000,000","4,812,000,000","2,630,000,000","2,092,000,000","1,954,000,000","1,966,000,000","2,136,000,000","2,513,000,000","3,151,000,000"
		CashCashEquivalentsAndShortTermInvestments,"4,057,000,000","3,618,000,000","2,830,000,000","2,275,000,000","1,045,000,000","2,789,000,000","3,547,000,000","1,894,000,000","1,614,000,000","1,185,000,000","670,000,000","617,000,000","743,000,000","898,000,000","1,026,000,000","1,829,000,000"
			CashAndCashEquivalents,"3,648,000,000","3,618,000,000","2,830,000,000","2,275,000,000","1,045,000,000","2,789,000,000","3,547,000,000","1,894,000,000","1,614,000,000","1,185,000,000","670,000,000","617,000,000","743,000,000","898,000,000","1,026,000,000","1,796,000,000"
				CashFinancial,"3,648,000,000","3,618,000,000","2,830,000,000",,,,,,,,,,,,,
			OtherShortTermInvestments,"409,000,000","0",,,,,,,,,,,,,"144,000,000","33,000,000"
		Receivables,"894,000,000","960,000,000","923,000,000","765,000,000","667,000,000","792,000,000","879,000,000","1,033,000,000","1,047,000,000","593,000,000","542,000,000","510,000,000","479,000,000","438,000,000","448,000,000","492,000,000"
			AccountsReceivable,"894,000,000","960,000,000","923,000,000","765,000,000","667,000,000","792,000,000","879,000,000","1,033,000,000","1,047,000,000","546,000,000","501,000,000","459,000,000","421,000,000","396,000,000","393,000,000","459,000,000"
				GrossAccountsReceivable,"894,000,000","961,000,000","925,000,000","767,000,000","669,000,000","795,000,000","882,000,000","1,035,000,000","1,048,000,000","549,000,000","504,000,000","463,000,000","425,000,000",,,
				AllowanceForDoubtfulAccountsReceivable,"0","-1,000,000","-2,000,000","-2,000,000","-2,000,000","-3,000,000","-3,000,000","-2,000,000","-1,000,000","-3,000,000","-3,000,000","-4,000,000","-4,000,000",,,
			DuefromRelatedPartiesCurrent,,,,,,,,,,,,"0","20,000,000",,,
			OtherReceivables,,,,,,,,,"73,000,000","47,000,000","41,000,000","51,000,000","38,000,000","42,000,000","55,000,000","33,000,000"
		Inventory,"2,134,000,000","1,782,000,000","1,189,000,000","1,030,000,000","1,192,000,000","1,279,000,000","1,236,000,000","1,113,000,000","1,879,000,000","755,000,000","740,000,000","715,000,000","618,000,000","513,000,000","522,000,000","630,000,000"
			RawMaterials,"113,000,000","151,000,000","107,000,000","66,000,000","52,000,000","74,000,000","62,000,000","52,000,000","66,000,000","50,000,000","59,000,000","70,000,000","69,000,000","313,000,000","304,000,000","377,000,000"
			WorkInProcess,"1,633,000,000","1,308,000,000","846,000,000","738,000,000","894,000,000","949,000,000","901,000,000","854,000,000","1,376,000,000","580,000,000","597,000,000","515,000,000","415,000,000","116,000,000","141,000,000","107,000,000"
			FinishedGoods,"388,000,000","323,000,000","236,000,000","226,000,000","246,000,000","256,000,000","273,000,000","207,000,000","437,000,000","125,000,000","84,000,000","130,000,000","134,000,000","84,000,000","77,000,000","146,000,000"
		RestrictedCash,"214,000,000","227,000,000",,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,"8,000,000","11,000,000","12,000,000","5,000,000",,,
			CurrentDeferredTaxesAssets,,,,,,,,,,"8,000,000","11,000,000","12,000,000","5,000,000",,,
		AssetsHeldForSaleCurrent,,,"0","0","50,000,000","0","0","1,104,000,000","15,000,000","0","13,000,000","10,000,000","39,000,000","158,000,000","247,000,000",
		OtherCurrentAssets,"565,000,000","348,000,000","286,000,000","254,000,000","313,000,000","365,000,000","382,000,000","254,000,000","257,000,000","97,000,000","116,000,000","90,000,000","82,000,000","129,000,000","270,000,000","200,000,000"
	TotalNonCurrentAssets,"16,489,000,000","16,301,000,000","15,636,000,000","15,523,000,000","16,749,000,000","16,305,000,000","18,005,000,000","19,500,000,000","21,542,000,000","4,220,000,000","4,357,000,000","4,485,000,000","4,646,000,000","5,501,000,000","6,066,000,000","7,176,000,000"
		NetPPE,"3,323,000,000","3,105,000,000","2,635,000,000","2,284,000,000","2,448,000,000","2,436,000,000","2,295,000,000","2,352,000,000","2,922,000,000","1,123,000,000","1,048,000,000","1,070,000,000","1,063,000,000","1,164,000,000","1,328,000,000","1,807,000,000"
