name,ttm,09/30/2023,09/30/2022,09/30/2021,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991
OperatingCashFlow,"13,645,000,000","11,299,000,000","9,096,000,000","10,536,000,000","5,814,000,000","7,286,000,000","3,908,000,000","5,001,000,000","7,632,000,000","5,506,000,000","8,887,000,000","8,778,000,000","5,998,000,000","4,900,000,000","4,076,000,000","7,172,000,000","3,558,000,000","3,811,000,000","3,253,000,000","2,686,000,000","2,468,000,000","1,735,000,000","963,000,000","691,491,000","812,112,000","182,200,000","-24,700,000","-28,623,000","-69,100,000","37,700,000","26,500,000","12,700,000","600,000","2,000,000"
	CashFlowFromContinuingOperatingActivities,"13,741,000,000","11,698,000,000","9,266,000,000","10,536,000,000","5,814,000,000","7,286,000,000","3,908,000,000","5,001,000,000","7,632,000,000","5,506,000,000","8,887,000,000","8,778,000,000","5,998,000,000","4,900,000,000","4,076,000,000","7,172,000,000","3,558,000,000","3,811,000,000","3,253,000,000","2,686,000,000","2,481,000,000","1,824,000,000","1,263,000,000","691,491,000","812,112,000","182,200,000","-24,700,000","-28,623,000","-69,100,000","37,700,000","26,500,000","12,700,000","600,000","2,000,000"
		NetIncomeFromContinuingOperations,"8,824,000,000","7,339,000,000","12,986,000,000","9,043,000,000","5,198,000,000","4,386,000,000","-4,964,000,000","2,444,000,000","5,702,000,000","5,268,000,000","7,299,000,000","6,845,000,000","6,059,000,000","4,242,000,000","3,247,000,000","1,592,000,000","3,160,000,000","3,303,000,000","2,470,000,000","2,143,000,000","1,725,000,000","1,029,000,000","525,000,000","-548,743,000","670,211,000","200,900,000","108,500,000","91,934,000","21,000,000","30,200,000","15,200,000","12,100,000","-4,100,000","-8,400,000"
		OperatingGainsLosses,"-382,000,000","-152,000,000","432,000,000","-1,002,000,000","-336,000,000","-356,000,000","-124,000,000","-530,000,000","-668,000,000","-500,000,000","-826,000,000","-369,000,000","-1,548,000,000","-460,000,000","-538,000,000","-251,000,000","-327,000,000","-265,000,000","-82,000,000","328,000,000","443,000,000","624,000,000","346,000,000","1,250,710,000","-99,768,000","291,900,000","96,100,000","-1,629,000","-13,200,000","-12,000,000",,"200,000","1,300,000","100,000"
			GainLossOnSaleOfPPE,,,,,,,"0","0","-380,000,000","0","0","0","-1,179,000,000","0","0",,,,,,,,,,,,,,,,,,,
			NetForeignCurrencyExchangeGainLoss,,,,,,,,,,,,"-123,000,000","-122,000,000","-123,000,000","-130,000,000","-114,000,000","-172,000,000",,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"-382,000,000","-152,000,000","432,000,000","-1,002,000,000","-336,000,000","-356,000,000","-124,000,000","-530,000,000","-288,000,000","-500,000,000","-826,000,000","-369,000,000","-369,000,000","-337,000,000","-408,000,000","-137,000,000","-155,000,000",,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"1,729,000,000","1,809,000,000","1,762,000,000","1,582,000,000","1,393,000,000","1,401,000,000","1,561,000,000","1,461,000,000","1,428,000,000","1,214,000,000","1,150,000,000","1,017,000,000","897,000,000","1,061,000,000","666,000,000","635,000,000","456,000,000","383,000,000","272,000,000","200,000,000","163,000,000","146,000,000","349,000,000","319,811,000","243,842,000","158,400,000","141,900,000","93,598,000","56,800,000","30,900,000","18,800,000","9,800,000","7,200,000","5,800,000"
			DepreciationAndAmortization,"1,729,000,000","1,809,000,000","1,762,000,000","1,582,000,000","1,393,000,000","1,401,000,000","1,561,000,000","1,461,000,000","1,428,000,000","1,214,000,000","1,150,000,000","1,017,000,000","897,000,000","1,061,000,000","666,000,000","635,000,000","456,000,000","383,000,000","272,000,000","200,000,000","163,000,000","146,000,000","349,000,000","319,811,000","243,842,000","158,400,000","141,900,000","93,598,000","56,800,000","30,900,000","18,800,000","9,800,000","7,200,000","5,800,000"
				Depreciation,,,,,"772,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationCashFlow,,,,,"621,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
					AmortizationOfIntangibles,,,,,"621,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DeferredTax,"-2,971,000,000","-1,269,000,000","-138,000,000","-245,000,000","-309,000,000","1,976,000,000","4,481,000,000","-412,000,000","-200,000,000","47,000,000","298,000,000","268,000,000","395,000,000","-1,204,000,000","116,000,000","-33,000,000","306,000,000",,,,,"332,964,000","12,394,000","29,948,000","481,621,000","-96,600,000","18,200,000","-21,531,000",,"-3,000,000","-4,000,000",,,
			DeferredIncomeTax,"-2,971,000,000","-1,269,000,000","-138,000,000","-245,000,000","-309,000,000","1,976,000,000","4,481,000,000","-412,000,000","-200,000,000","47,000,000","298,000,000","268,000,000","395,000,000","-1,204,000,000","116,000,000","-33,000,000","306,000,000",,,,,"332,964,000","12,394,000","29,948,000","481,621,000","-96,600,000","18,200,000","-21,531,000",,"-3,000,000","-4,000,000",,,
