name,ttm,11/30/2023,11/30/2022,11/30/2021,11/30/2020,11/30/2019,11/30/2018,11/30/2017,11/30/2016,11/30/2015,11/30/2014,11/30/2013,11/30/2012,11/30/2011,11/30/2010,11/30/2009,11/30/2008,11/30/2007,11/30/2006,11/30/2005,11/30/2004,11/30/2003,11/30/2002,11/30/2001,11/30/2000,11/30/1999,11/30/1998,11/30/1997,11/30/1996,11/30/1995,11/30/1994,11/30/1993,11/30/1992,11/30/1991,11/30/1990,11/30/1989,11/30/1988,11/30/1987,11/30/1986
BasicAverageShares,"453,500,000","457,000,000","470,000,000","477,000,000","481,000,000","486,291,000","490,564,000","493,632,000","498,345,000","498,764,000","497,867,000","501,372,000","494,731,000","497,469,000","519,045,000","524,470,000","539,373,000","584,203,000","593,750,000","490,113,008","479,146,809","468,492,000","473,668,000","476,922,000","476,584,000","483,144,000","531,464,000","575,696,000","608,518,626","601,944,121","568,836,506","487,567,199","363,333,333","355,862,069","348,695,652","337,000,000","324,615,385","300,000,000","240,000,000"
DilutedAverageShares,"456,500,000","459,000,000","471,000,000","481,000,000","485,000,000","491,572,000","497,843,000","501,123,000","504,299,000","507,164,000","508,480,000","513,476,000","502,721,000","503,921,000","525,824,000","530,610,000","548,553,000","598,775,000","612,222,000","506,587,395","494,942,857","482,900,000","486,238,000","498,290,000","511,548,000","516,820,000","543,792,000","593,280,000","608,518,626","601,944,121","568,836,506","487,567,199","363,333,333","355,862,069","348,695,652","337,000,000","324,615,385","300,000,000","240,000,000"
TotalOperatingIncomeAsReported,"6,232,000,000","6,650,000,000","6,098,000,000","5,802,000,000","4,237,000,000","3,268,000,000","2,840,000,000","2,168,095,000","1,493,602,000","903,095,000","412,685,000","422,723,000","1,180,191,000","1,099,299,000","993,074,000","690,513,000","1,028,271,000","857,585,000","551,293,000","728,434,000","591,794,000","379,447,000","287,027,000","378,457,000","408,083,000","259,853,000","125,347,000","230,756,000","146,786,000","134,571,000","42,514,000","58,534,000","74,800,000","78,000,000","62,100,000","51,700,000","34,200,000","16,100,000","6,900,000"
TotalExpenses,"13,197,000,000","12,759,000,000","11,508,000,000","9,983,000,000","8,631,000,000","7,903,000,000","6,190,000,000","5,133,410,000","4,360,828,000","3,892,416,000","3,714,497,000","3,606,020,000","3,226,403,000","3,019,186,000","2,783,660,000","2,214,080,000","2,519,565,000","2,299,741,000","2,004,274,000","1,237,887,000","1,074,787,000","915,846,000","859,844,000","839,200,000","852,196,000","728,973,000","731,199,000","675,759,000","613,571,000","581,251,000","545,451,000","491,484,000","191,100,000","151,700,000","106,600,000","69,700,000","49,300,000","23,200,000","9,200,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"5,079,000,000","5,428,000,000","4,756,000,000","4,822,000,000","5,260,000,000","2,951,000,000","2,591,000,000","1,693,954,000","1,168,782,000","629,551,000","268,395,000","289,985,000","832,775,000","832,847,000","774,680,000","386,508,000","871,814,000","723,807,000","505,809,000","602,839,000","450,398,000","266,344,000","191,399,000","205,644,000","287,808,000","237,751,000","105,144,000","186,837,000","153,277,000","93,485,000","15,337,000","42,007,000","43,600,000","51,600,000","40,100,000","33,700,000","21,100,000","9,000,000","3,600,000"
NormalizedIncome,"5,860,263,451.698","5,434,400,000","4,787,600,000","4,822,850,000","5,251,970,000","2,927,080,000","2,637,500,000","1,711,495,160","1,197,448,710","641,225,080","293,288,600","329,270,000","844,715,640","929,093,400","807,018,327.882","426,693,600","884,459,857.255","726,474,690.999","474,915,470.033","603,863,181.404","448,543,557.118","274,975,687.037","214,998,393.366","276,313,669.04","282,459,665.127","198,202,982.541","119,722,357.866","168,593,747.925","126,563,212.491","121,395,200","67,928,200","60,058,000","46,862,158.273","48,081,818.182","37,620,211.161","31,732,116.788","20,140,000","8,520,000","3,360,000"
InterestIncome,"61,000,000","269,000,000","61,000,000","17,000,000","43,000,000","68,000,000","93,000,000","66,069,000","47,340,000","28,759,000","21,355,000","21,887,000","24,549,000","24,506,000","21,923,000","34,978,000","43,847,000",,,,,,,,,,,,,,,,,,,,,,
InterestExpense,"123,000,000","113,000,000","112,000,000","113,000,000","116,000,000","157,000,000","89,000,000","74,402,000","70,442,000","64,184,000","59,732,000","67,508,000","67,487,000","66,952,000","56,952,000","3,407,000","10,019,000",,,,,,,,,,,,,,,,,,,,,,
NetInterestIncome,"146,000,000","156,000,000","-51,000,000","-96,000,000","-73,000,000","-89,000,000","4,000,000","-8,333,000","-23,102,000","-35,425,000","-38,377,000","-45,621,000","-42,938,000","-42,446,000","-35,029,000","31,571,000","33,828,000",,,,,,,,,,,,,,,,,,,,,,
EBIT,"6,572,000,000","6,912,000,000","6,120,000,000","5,818,000,000","4,292,000,000","3,362,000,000","2,883,000,000","2,212,043,000","1,505,580,000","937,965,000","421,108,000","423,649,000","1,186,281,000","1,102,182,000","1,000,103,000","704,927,000","1,088,527,000","858,140,000","571,026,000","728,434,000","591,794,000","378,903,000","304,944,000","390,520,000","414,182,000","286,461,000","163,592,000","236,135,000","172,992,000","181,088,000","130,166,000","88,619,000","74,800,000","78,000,000","62,100,000","51,700,000","34,200,000","16,100,000","6,900,000"
EBITDA,"7,438,000,000","7,784,000,000","6,976,000,000","6,606,000,000","5,049,000,000","4,119,000,000","3,229,000,000","2,538,040,000","1,837,115,000","1,277,438,000","734,698,000","744,876,000","1,486,047,000","1,372,387,000","1,292,841,000","987,350,000","1,358,796,000","1,173,604,000","878,848,000","811,209,000","673,661,000","427,917,000","368,425,000","447,165,000","457,457,000","337,231,000","219,856,000","295,519,000","228,613,000","241,523,000","187,960,000","138,460,000","93,800,000","93,200,000","73,200,000","57,300,000","37,500,000","17,700,000","7,600,000"
ReconciledCostOfRevenue,"1,704,000,000","1,650,000,000","1,478,000,000","1,249,000,000","1,127,000,000","1,091,000,000","940,000,000","761,056,000","566,907,000","473,493,000","360,914,000","317,584,000","232,673,000","210,501,000","182,894,000","85,864,000","160,607,000","111,665,000","54,508,000","112,578,000","104,378,000","93,022,000","61,780,000","39,087,000","50,993,000","48,600,000","52,515,000","59,370,000","88,030,000","80,961,000","78,558,000","68,449,000","29,400,000","61,700,000","39,400,000","13,800,000","11,400,000","8,100,000","900,000"
ReconciledDepreciation,"866,000,000","872,000,000","856,000,000","788,000,000","757,000,000","757,000,000","346,000,000","325,997,000","331,535,000","339,473,000","313,590,000","321,227,000","299,766,000","270,205,000","292,738,000","282,423,000","270,269,000","315,464,000","307,822,000","82,775,000","81,867,000","49,014,000","63,481,000","56,645,000","43,275,000","50,770,000","56,264,000","59,384,000","55,621,000","60,435,000","57,794,000","49,841,000","19,000,000","15,200,000","11,100,000","5,600,000","3,300,000","1,600,000","700,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"5,079,000,000","5,428,000,000","4,756,000,000","4,822,000,000","5,260,000,000","2,951,000,000","2,591,000,000","1,693,954,000","1,168,782,000","629,551,000","268,395,000","289,985,000","832,775,000","832,847,000","774,680,000","386,508,000","871,814,000","723,807,000","505,809,000","602,839,000","450,398,000","266,344,000","191,399,000","205,644,000","287,808,000","237,751,000","105,144,000","186,837,000","153,277,000","93,485,000","15,337,000","42,007,000","43,600,000","51,600,000","40,100,000","33,700,000","21,100,000","9,000,000","3,600,000"
TotalUnusualItemsExcludingGoodwill,"-992,000,000","-8,000,000","-40,000,000","-1,000,000","11,000,000","26,000,000","-50,000,000","-22,204,000","-35,391,000","-16,214,000","-33,640,000","-48,500,000","-16,136,000","-120,308,000","-39,371,000","-61,824,000","-15,644,000","-3,491,000","41,516,000","-1,301,000","2,506,000","-12,331,000","-35,102,000","-105,477,000","8,246,000","62,283,000","-23,251,000","28,911,000","42,669,000","-46,517,000","-87,652,000","-30,085,000","-5,200,000","5,700,000","4,100,000","3,200,000","1,600,000","800,000","400,000"
TotalUnusualItems,"-992,000,000","-8,000,000","-40,000,000","-1,000,000","11,000,000","26,000,000","-50,000,000","-22,204,000","-35,391,000","-16,214,000","-33,640,000","-48,500,000","-16,136,000","-120,308,000","-39,371,000","-61,824,000","-15,644,000","-3,491,000","41,516,000","-1,301,000","2,506,000","-12,331,000","-35,102,000","-105,477,000","8,246,000","62,283,000","-23,251,000","28,911,000","42,669,000","-46,517,000","-87,652,000","-30,085,000","-5,200,000","5,700,000","4,100,000","3,200,000","1,600,000","800,000","400,000"
NormalizedEBITDA,"8,430,000,000","7,792,000,000","7,016,000,000","6,607,000,000","5,038,000,000","4,093,000,000","3,279,000,000","2,560,244,000","1,872,506,000","1,293,652,000","768,338,000","793,376,000","1,502,183,000","1,492,695,000","1,332,212,000","1,049,174,000","1,374,440,000","1,177,095,000","837,332,000","812,510,000","671,155,000","440,248,000","403,527,000","552,642,000","449,211,000","274,948,000","243,107,000","266,608,000","185,944,000","288,040,000","275,612,000","168,545,000","99,000,000","87,500,000","69,100,000","54,100,000","35,900,000","16,900,000","7,200,000"
TaxRateForCalcs,"0.212","0.2","0.21","0.15","0.27","0.08","0.07","0.21","0.19","0.28","0.26","0.19","0.26","0.2","0.179","0.35","0.192","0.236","0.256","0.213","0.26","0.3","0.328","0.33","0.351","0.365","0.373","0.369","0.374","0.4","0.4","0.4","0.373","0.383","0.395","0.385","0.4","0.4","0.4"
TaxEffectOfUnusualItems,"-210,736,548.302","-1,600,000","-8,400,000","-150,000","2,970,000","2,080,000","-3,500,000","-4,662,840","-6,724,290","-4,539,920","-8,746,400","-9,215,000","-4,195,360","-24,061,600","-7,032,672.118","-21,638,400","-2,998,142.745","-823,309.001","10,622,470.033","-276,818.596","651,557.118","-3,699,312.963","-11,502,606.634","-34,807,330.96","2,897,665.127","22,734,982.541","-8,672,642.134","10,667,747.925","15,955,212.491","-18,606,800","-35,060,800","-12,034,000","-1,937,841.727","2,181,818.182","1,620,211.161","1,232,116.788","640,000","320,000","160,000"
