name,07/31/2024,07/31/2023,07/31/2022,07/31/2021,07/31/2020,07/31/2019,07/31/2018,07/31/2017,07/31/2016,07/31/2015,07/31/2014,07/31/2013,07/31/2012,07/31/2011,07/31/2010,07/31/2009,07/31/2008,07/31/2007,07/31/2006,07/31/2005,07/31/2004,07/31/2003,07/31/2002,07/31/2001,07/31/2000,07/31/1999,07/31/1998,07/31/1997,07/31/1996,07/31/1995,07/31/1994,07/31/1993,07/31/1992,07/31/1991,07/31/1990,07/31/1989,07/31/1988
TotalAssets,"124,413,000,000","101,852,000,000","94,002,000,000","97,497,000,000","94,853,000,000","97,793,000,000","108,784,000,000","129,818,000,000","121,652,000,000","113,373,000,000","105,070,000,000","101,191,000,000","91,759,000,000","87,095,000,000","81,130,000,000","68,128,000,000","58,734,000,000","53,340,000,000","43,315,000,000","33,883,000,000","35,594,000,000","37,107,000,000","37,795,000,000","35,238,000,000","32,870,000,000","14,893,000,000","8,972,000,000","5,451,984,000","3,630,232,000","1,991,949,000","1,053,700,000","595,200,000","323,900,000","154,100,000","82,700,000","16,500,000","4,800,000"
	CurrentAssets,"36,862,000,000","43,348,000,000","36,717,000,000","39,112,000,000","43,573,000,000","47,755,000,000","61,837,000,000","83,703,000,000","78,719,000,000","73,368,000,000","67,114,000,000","65,521,000,000","61,933,000,000","57,231,000,000","51,421,000,000","44,177,000,000","35,699,000,000","31,574,000,000","25,676,000,000","22,010,000,000","14,343,000,000","13,437,000,000","17,433,000,000","12,835,000,000","11,110,000,000","4,761,000,000","3,814,000,000","3,101,266,000","2,159,640,000","1,184,160,000","507,700,000","268,300,000","247,100,000","141,000,000","78,200,000","15,500,000","4,500,000"
		CashCashEquivalentsAndShortTermInvestments,"17,854,000,000","26,146,000,000","19,267,000,000","24,518,000,000","29,419,000,000","33,413,000,000","46,548,000,000","70,492,000,000","65,756,000,000","60,416,000,000","52,074,000,000","50,610,000,000","48,716,000,000","44,585,000,000","39,861,000,000","35,001,000,000","26,235,000,000","22,266,000,000","17,814,000,000","16,055,000,000","8,669,000,000","8,485,000,000","12,656,000,000","6,907,000,000","5,525,000,000","2,102,000,000","1,737,000,000","1,275,585,000","1,038,184,000","564,142,000","53,600,000","27,200,000","40,000,000","40,300,000","35,800,000","4,200,000","2,300,000"
			CashAndCashEquivalents,"7,508,000,000","10,123,000,000","7,079,000,000","9,175,000,000","11,809,000,000","11,750,000,000","8,934,000,000","11,708,000,000","7,631,000,000","6,877,000,000","6,726,000,000","7,925,000,000","9,799,000,000","7,662,000,000","4,581,000,000","5,718,000,000","5,191,000,000","3,728,000,000","3,297,000,000","4,742,000,000","3,722,000,000","3,925,000,000","9,484,000,000","4,873,000,000","4,234,000,000","913,000,000","580,000,000","269,608,000","279,695,000","284,388,000","53,600,000","27,200,000","40,000,000","40,300,000","35,800,000","4,200,000","2,300,000"
			OtherShortTermInvestments,"10,346,000,000","16,023,000,000","12,188,000,000","15,343,000,000","17,610,000,000","21,663,000,000","37,614,000,000","58,784,000,000","58,125,000,000","53,539,000,000","45,348,000,000","42,685,000,000","38,917,000,000","36,923,000,000","35,280,000,000","29,283,000,000","21,044,000,000","18,538,000,000","14,517,000,000","11,313,000,000","4,947,000,000","4,560,000,000","3,172,000,000","2,034,000,000","1,291,000,000","1,189,000,000","1,157,000,000","1,005,977,000","758,489,000","279,754,000",,,,,,,
		Receivables,"10,023,000,000","9,206,000,000","10,527,000,000","10,146,000,000","10,523,000,000","10,586,000,000","10,503,000,000","10,002,000,000","10,119,000,000","9,835,000,000","9,310,000,000","9,507,000,000","8,030,000,000","7,809,000,000","7,232,000,000","3,177,000,000","3,821,000,000","3,989,000,000","3,303,000,000","2,216,000,000","1,825,000,000","1,351,000,000","1,344,000,000","1,871,000,000","2,887,000,000","1,250,000,000","1,303,000,000","1,170,401,000","622,859,000","421,747,000","237,600,000","129,100,000","64,300,000","34,700,000","15,900,000","7,400,000","800,000"
			AccountsReceivable,"6,685,000,000","5,854,000,000","6,622,000,000","5,766,000,000","5,472,000,000","5,491,000,000","5,554,000,000","5,146,000,000","5,847,000,000","5,344,000,000","5,157,000,000","5,470,000,000","4,369,000,000","4,698,000,000","4,929,000,000","3,177,000,000","3,821,000,000","3,989,000,000","3,303,000,000","2,216,000,000","1,825,000,000","1,351,000,000","1,105,000,000","1,466,000,000","2,299,000,000","1,250,000,000","1,303,000,000","1,170,401,000","622,859,000","421,747,000","237,600,000",,,,,,
				GrossAccountsReceivable,"6,772,000,000","5,939,000,000","6,705,000,000","5,875,000,000","5,615,000,000","5,627,000,000","5,683,000,000","5,357,000,000","6,096,000,000","5,646,000,000","5,422,000,000","5,698,000,000","4,576,000,000","4,902,000,000","5,164,000,000","3,393,000,000","3,998,000,000","4,155,000,000","3,478,000,000","2,378,000,000","2,004,000,000","1,534,000,000","1,440,000,000","1,754,000,000","2,342,000,000","1,277,000,000","1,343,000,000","1,192,741,000","643,933,000","440,174,000",,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-87,000,000","-85,000,000","-83,000,000","-109,000,000","-143,000,000","-136,000,000","-129,000,000","-211,000,000","-249,000,000","-302,000,000","-265,000,000","-228,000,000","-207,000,000","-204,000,000","-235,000,000","-216,000,000","-177,000,000","-166,000,000","-175,000,000","-162,000,000","-179,000,000","-183,000,000","-335,000,000","-288,000,000","-43,000,000","-27,000,000","-40,000,000","-22,340,000","-21,074,000","-18,427,000",,,,,,,
			LoansReceivable,"3,071,000,000","2,988,000,000","2,176,000,000","2,372,000,000","2,692,000,000",,,,,,,,,"673,000,000","501,000,000",,,,,,,,,,,,,,,,,,,,,,
