name,ttm,07/31/2024,07/31/2023,07/31/2022,07/31/2021,07/31/2020,07/31/2019,07/31/2018,07/31/2017,07/31/2016,07/31/2015,07/31/2014,07/31/2013,07/31/2012,07/31/2011,07/31/2010,07/31/2009
	CashFlowFromContinuingFinancingActivities,"-1,343,100,000","-1,343,100,000","-1,726,300,000","-806,600,000","-1,104,000,000","673,000,000","-773,900,000","1,245,600,000","-386,000,000","38,900,000","48,200,000","575,100,000","25,018,000","219,322,000","2,580,000","1,837,000","34,644,000"
		NetIssuancePaymentsOfDebt,"-1,033,700,000","-1,033,700,000","-1,692,000,000","-600,000","-900,000","1,979,100,000","-477,400,000","1,682,400,000","0","0","0","560,400,000","0","0","0","0",
			NetLongTermDebtIssuance,"-1,033,700,000","-1,033,700,000","-1,692,000,000","-600,000","-900,000","1,979,100,000","-477,400,000","1,682,400,000","0","0","0","560,400,000","0","0",,,
				LongTermDebtIssuance,,,,"0","0","1,979,100,000","0","1,682,400,000","0","0","0","560,400,000","0","0",,,
				LongTermDebtPayments,"-1,033,700,000","-1,033,700,000","-1,692,000,000","-600,000","-900,000","0","-477,400,000","0","0",,,,,,,,
			NetShortTermDebtIssuance,,,"-1,692,000,000","-600,000","-900,000",,,,,,,,,,"0","0",
				ShortTermDebtPayments,,,"-1,692,000,000","-600,000","-900,000",,,,,,,,,,"0","0",
		NetCommonStockIssuance,"-566,700,000","-566,700,000","-272,700,000","-892,300,000","-1,178,100,000","-1,198,100,000","-330,000,000","-259,100,000","-411,000,000","0","0","-132,000","-2,776,000","-82,000","-90,000","-17,000","7,000"
			CommonStockIssuance,,,,,,,,,,,,,,"215,375,000","0","7,000","7,000"
			CommonStockPayments,"-566,700,000","-566,700,000","-272,700,000","-892,300,000","-1,178,100,000","-1,198,100,000","-330,000,000","-259,100,000","-411,000,000","0","0","-132,000","-2,776,000","-82,000","-90,000","-24,000","0"
		NetPreferredStockIssuance,,,,,,,,,,,,,,,"0","0","35,266,000"
			PreferredStockIssuance,,,,,,,,,,,,,,,"0","0","35,266,000"
		ProceedsFromStockOptionExercised,"283,900,000","283,900,000","258,800,000","136,600,000","104,000,000","286,800,000","71,700,000","198,000,000","46,400,000","45,300,000","48,200,000","124,700,000","21,032,000","1,956,000","1,775,000","1,854,000","171,000"
		NetOtherFinancingCharges,"-26,600,000","-26,600,000","-20,400,000","-50,300,000","-29,000,000","-394,800,000","-38,200,000","-375,700,000","-21,400,000","-6,400,000","2,455,000","-110,000,000","6,762,000","217,448,000","895,000",,"-800,000"
EndCashPosition,"1,546,800,000","1,546,800,000","1,142,200,000","2,124,800,000","1,880,100,000","2,961,700,000","965,000,000","2,509,200,000","745,500,000","734,400,000","375,800,000","653,800,000","310,614,000","322,642,000","40,517,000","18,835,000","21,366,000"
	ChangesInCash,"404,600,000","404,600,000","-982,600,000","244,700,000","-1,081,600,000","1,996,700,000","-1,544,200,000","1,763,700,000","10,200,000","358,600,000","-278,000,000","343,200,000","-12,028,000","282,125,000","21,682,000","-2,531,000","20,076,000"
	BeginningCashPosition,"1,142,200,000","1,142,200,000","2,124,800,000","1,880,100,000","2,961,700,000","965,000,000","2,509,200,000","745,500,000","735,300,000","375,800,000","653,800,000","310,600,000","322,642,000","40,517,000","18,835,000","21,366,000","1,290,000"
IncomeTaxPaidSupplementalData,"342,300,000","342,300,000","147,100,000","34,600,000","24,900,000","17,200,000","22,000,000","11,200,000","9,000,000","7,100,000","17,500,000","1,500,000","304,000","1,355,000","32,000","9,000","13,000"
InterestPaidSupplementalData,"5,600,000","5,600,000","20,200,000","20,200,000","20,000,000","13,500,000","13,500,000","800,000",,"0","61,000","0","58,000","23,000","25,000","1,000","18,000"
CapitalExpenditure,"-156,800,000","-156,800,000","-146,300,000","-192,800,000","-116,000,000","-214,400,000","-131,200,000","-112,000,000","-163,400,000","-72,500,000","-33,800,000","-36,100,000","-22,442,000","-14,565,000","-13,000,000","-1,685,000","-1,045,000"
IssuanceOfCapitalStock,,,,,,,,,,,,,,"215,375,000","0","7,000","35,273,000"
IssuanceOfDebt,,,,"0","0","1,979,100,000","0","1,682,400,000","0","0","0","560,400,000","0","0",,,
RepaymentOfDebt,"-1,033,700,000","-1,033,700,000","-1,692,000,000","-600,000","-900,000","0","-477,400,000","0","0",,,,,,"0","0",
RepurchaseOfCapitalStock,"-566,700,000","-566,700,000","-272,700,000","-892,300,000","-1,178,100,000","-1,198,100,000","-330,000,000","-259,100,000","-411,000,000","0","0","-132,000","-2,776,000","-82,000","-90,000","-24,000","0"
FreeCashFlow,"3,100,800,000","3,100,800,000","2,631,200,000","1,791,900,000","1,387,000,000","821,300,000","924,400,000","926,100,000","705,400,000","586,100,000","319,000,000","52,300,000","92,077,000","62,803,000","19,102,000","-4,368,000","-14,568,000"
