name,ttm,10/31/2023,10/31/2022,10/31/2021,10/31/2020,10/31/2019,10/31/2018,10/31/2017,10/31/2016,10/31/2015,10/31/2014,10/31/2013,10/31/2012,10/31/2011,10/31/2010,10/31/2009,10/31/2008,10/31/2007
OperatingCashFlow,"19,186,000,000","18,085,000,000","16,736,000,000","13,764,000,000","12,061,000,000","9,697,000,000","8,880,000,000","6,551,000,000","3,411,000,000","2,318,000,000","1,175,000,000","722,000,000","693,000,000","726,000,000","510,000,000","139,000,000","208,000,000","146,000,000"
	CashFlowFromContinuingOperatingActivities,"19,186,000,000","18,085,000,000","16,736,000,000","13,764,000,000","12,061,000,000","9,697,000,000","8,880,000,000","6,551,000,000","3,411,000,000","2,318,000,000","1,175,000,000","722,000,000","693,000,000","726,000,000","510,000,000","139,000,000","208,000,000","146,000,000"
		NetIncomeFromContinuingOperations,"5,095,000,000","14,082,000,000","11,495,000,000","6,736,000,000","2,960,000,000","2,724,000,000","12,610,000,000","1,784,000,000","-1,861,000,000","1,364,000,000","263,000,000","552,000,000","563,000,000","552,000,000","415,000,000","-44,000,000","83,000,000","-159,000,000"
		OperatingGainsLosses,,,"100,000,000","198,000,000","169,000,000","28,000,000",,"166,000,000","100,000,000","10,000,000","-18,000,000","-8,000,000","3,000,000","7,000,000","10,000,000","2,000,000","-19,000,000","-47,000,000"
			GainLossOnSaleOfBusiness,,,,,,,,,,"14,000,000","-18,000,000","0","0",,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,"1,000,000","3,000,000","1,000,000","2,000,000","2,000,000","2,000,000","2,000,000"
			GainLossOnInvestmentSecurities,,,,,,,,,,,,"-10,000,000",,,,,,
			PensionAndEmployeeBenefitExpense,,,,,,,,,,,"-3,000,000",,"0",,,,,
		DepreciationAmortizationDepletion,"8,331,000,000","3,835,000,000","4,984,000,000","6,041,000,000","6,905,000,000","5,808,000,000","4,081,000,000","4,737,000,000","3,042,000,000","962,000,000","625,000,000","187,000,000","155,000,000","157,000,000","159,000,000","160,000,000","159,000,000","176,000,000"
			DepreciationAndAmortization,"8,331,000,000","3,835,000,000","4,984,000,000","6,041,000,000","6,905,000,000","5,808,000,000","4,081,000,000","4,737,000,000","3,042,000,000","962,000,000","625,000,000","187,000,000","155,000,000","157,000,000","159,000,000","160,000,000","159,000,000","176,000,000"
				Depreciation,"561,000,000","502,000,000","529,000,000","539,000,000","570,000,000","569,000,000","515,000,000","451,000,000","402,000,000",,,,,,,,,
				AmortizationCashFlow,"7,770,000,000","3,333,000,000","4,455,000,000","5,502,000,000","6,335,000,000","5,239,000,000","3,566,000,000","4,286,000,000","2,640,000,000",,,,,,,,,
					AmortizationOfIntangibles,"7,770,000,000","3,333,000,000","4,455,000,000","5,502,000,000","6,335,000,000","5,239,000,000","3,566,000,000","4,286,000,000","2,640,000,000",,,,,,,,,
		DeferredTax,"3,472,000,000","-501,000,000","-34,000,000","-809,000,000","-1,142,000,000","-934,000,000","-8,270,000,000","-173,000,000","365,000,000","-220,000,000","-92,000,000","3,000,000","14,000,000","14,000,000",,,,
			DeferredIncomeTax,"3,472,000,000","-501,000,000","-34,000,000","-809,000,000","-1,142,000,000","-934,000,000","-8,270,000,000","-173,000,000","365,000,000","-220,000,000","-92,000,000","3,000,000","14,000,000","14,000,000",,,,
		AmortizationOfSecurities,,,,,,,,,,,,,"0","1,000,000","2,000,000","4,000,000","4,000,000","4,000,000"
		AssetImpairmentCharge,"0",,,,"0","0","106,000,000","0","0",,,"0","2,000,000","0","0","2,000,000","0","158,000,000"
		UnrealizedGainLossOnInvestmentSecurities,,,,,,,,,,,,"-4,000,000",,"0",,,,
		StockBasedCompensation,"5,065,000,000","2,171,000,000","1,533,000,000","1,704,000,000","1,976,000,000","2,185,000,000","1,227,000,000","921,000,000","679,000,000","232,000,000","163,000,000","77,000,000","53,000,000","38,000,000","25,000,000","12,000,000","15,000,000","12,000,000"
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,,"0","0","-89,000,000","-125,000,000","-39,000,000","-17,000,000","-9,000,000","-8,000,000","-2,000,000","0","0",
		OtherNonCashItems,"663,000,000","141,000,000","312,000,000","21,000,000","100,000,000","70,000,000","-48,000,000","-259,000,000","659,000,000","77,000,000","4,000,000","-11,000,000","5,000,000","1,000,000","8,000,000","9,000,000",,"5,000,000"
		ChangeInWorkingCapital,"-3,545,000,000","-1,643,000,000","-1,654,000,000","-127,000,000","1,093,000,000","-184,000,000","-826,000,000","-625,000,000","516,000,000","18,000,000","251,000,000","-69,000,000","-88,000,000","-35,000,000","-99,000,000","-6,000,000","-34,000,000","-3,000,000"
