name,ttm,09/30/2023,09/30/2022,09/30/2021,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991,09/30/1990
OperatingCashFlow,"570,535,000","468,915,000","509,450,000","423,817,000","364,916,000","260,350,000","223,052,000","225,644,000","210,268,000","146,772,000","175,034,000","136,120,000","129,746,000","136,156,000","105,780,000","151,633,000","159,150,000","179,163,000","199,042,000","214,082,000","199,149,000","174,574,000","103,120,000","70,539,000","36,652,000","42,484,000","41,300,000","26,100,000","23,900,000","13,100,000","17,700,000","5,700,000","4,500,000","3,800,000","3,500,000"
	CashFlowFromContinuingOperatingActivities,"570,535,000","468,915,000","509,450,000","423,817,000","364,916,000","260,350,000","223,052,000","225,644,000","210,268,000","146,772,000","175,034,000","136,120,000","129,746,000","136,156,000","105,780,000","151,633,000","159,150,000","179,163,000","199,042,000","214,082,000","199,149,000","174,574,000","103,120,000","70,539,000","36,652,000","42,484,000","41,300,000","26,100,000","23,900,000","13,100,000","17,700,000","5,700,000","4,500,000","3,800,000","3,500,000"
		NetIncomeFromContinuingOperations,"478,544,000","429,375,000","373,541,000","392,084,000","236,411,000","192,124,000","126,482,000","133,414,000","109,448,000","86,502,000","94,879,000","90,095,000","92,004,000","71,562,000","64,457,000","65,102,000","83,952,000","104,650,000","103,486,000","134,548,000","102,788,000","107,157,000","17,884,000","46,112,000","27,631,000","29,980,000","24,300,000","20,700,000","17,400,000","12,800,000","10,000,000","5,300,000","3,900,000","2,800,000","1,600,000"
		OperatingGainsLosses,"-6,394,000","-4,302,000","9,462,000","-104,375,000","3,178,000","888,000","-11,218,000","14,000","6,000","2,210,000","-10,000","351,000","63,000","169,000","694,000","3,108,000","6,095,000","-848,000","70,000","16,893,000","20,113,000","29,345,000","55,471,000","9,393,000","5,579,000","1,057,000","500,000","2,600,000","2,400,000","100,000","1,400,000",,"-200,000",,
			GainLossOnSaleOfBusiness,,,,"-100,139,000","0","0",,,,,,,,"0",,"0","6,952,000",,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,"420,000","547,000","193,000","333,000","5,249,000","127,000","231,000","14,000","6,000","2,210,000","-10,000","351,000","63,000","169,000","694,000","3,108,000","39,000",,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"-6,814,000","-2,908,000","9,269,000","-4,569,000","-2,071,000","761,000","-1,449,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"0",,,,"0","0","-10,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"13,008,000","14,638,000","20,465,000","25,592,000","30,367,000","31,612,000","30,182,000","36,214,000","31,633,000","33,889,000","32,632,000","33,214,000","21,549,000","24,197,000","30,918,000","38,419,000","39,494,000","49,126,000","48,695,000","54,444,000","49,887,000","53,617,000","32,913,000","25,074,000","21,461,000","17,431,000","14,900,000","11,800,000","7,900,000","6,200,000","4,900,000","4,500,000","1,400,000","1,100,000","1,300,000"
			DepreciationAndAmortization,"13,008,000","14,638,000","20,465,000","25,592,000","30,367,000","31,612,000","30,182,000","36,214,000","31,633,000","33,889,000","32,632,000","33,214,000","21,549,000","24,197,000","30,918,000","38,419,000","39,494,000","49,126,000","48,695,000","54,444,000","49,887,000","53,617,000","32,913,000","25,074,000","21,461,000","17,431,000","14,900,000","11,800,000","7,900,000","6,200,000","4,900,000","4,500,000","1,400,000","1,100,000","1,300,000"
				Depreciation,,,,,,,,,,,,,,,,,,"50,224,000","48,805,000","51,517,000","46,881,000","44,935,000","30,985,000",,,,,,,,,,,,
				AmortizationCashFlow,,,,,,,,,,,,,,,,,,"-1,098,000","-110,000","2,927,000","3,006,000","8,682,000","1,928,000",,,,,,,,,,,,
					AmortizationOfIntangibles,,,,,,,,,,,,,,,,,,"-1,098,000","-110,000","2,927,000","3,006,000","8,682,000","1,928,000",,,,,,,,,,,,
