name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011
OperatingCashFlow,"2,728,257,000","2,034,014,000","492,813,000","1,015,856,000","735,114,000","963,034,000","503,119,000","631,627,000","174,295,000","237,784,000","131,875,000","34,648,000","26,306,000","12,430,000"
	CashFlowFromContinuingOperatingActivities,"2,728,257,000","2,034,014,000","492,813,000","1,015,856,000","735,114,000","963,034,000","503,119,000","631,627,000","174,295,000","237,784,000","131,875,000","34,648,000","26,306,000","12,430,000"
		NetIncomeFromContinuingOperations,"2,462,083,000","2,087,321,000","1,352,446,000","840,854,000","634,557,000","859,867,000","328,115,000","423,201,000","184,189,000","121,102,000","86,850,000","42,460,000","21,349,000","34,035,000"
		OperatingGainsLosses,,"-18,699,000","-27,479,000",,"-9,432,000",,,,,,"-4,000,000",,,
			GainLossOnInvestmentSecurities,,"-18,699,000","-27,479,000",,"-9,432,000",,,,,,,,,
		DepreciationAmortizationDepletion,"62,515,000","70,630,000","62,700,000","50,334,000","35,158,000","32,849,000","27,671,000","20,640,000","19,749,000","13,671,000","10,021,000","5,044,000","1,779,000","1,293,000"
			DepreciationAndAmortization,"62,515,000","70,630,000","62,700,000","50,334,000","35,158,000","32,849,000","27,671,000","20,640,000","19,749,000","13,671,000","10,021,000","5,044,000","1,779,000","1,293,000"
				Depreciation,"62,515,000","70,630,000","62,700,000","50,334,000","35,158,000","32,849,000","27,671,000","20,640,000","19,749,000","13,671,000","10,021,000","5,044,000","1,779,000","1,293,000"
		DeferredTax,"-468,969,000","-370,796,000","-244,382,000","-99,290,000","-9,144,000","-75,741,000","-57,896,000","8,426,000","-21,720,000","-24,409,000","-6,774,000","-8,831,000","-3,722,000","-4,234,000"
			DeferredIncomeTax,"-468,969,000","-370,796,000","-244,382,000","-99,290,000","-9,144,000","-75,741,000","-57,896,000","8,426,000","-21,720,000","-24,409,000","-6,774,000","-8,831,000","-3,722,000","-4,234,000"
