name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,06/30/2011,06/30/2010
TotalRevenue,"9,955,000,000","8,971,000,000","7,245,000,000","5,896,000,000","4,519,000,000","3,460,000,000","2,608,816,000","1,918,494,000","1,390,985,000","1,005,480,000","682,563,000","424,650,000","243,712,000","92,641,000","43,329,000"
	OperatingRevenue,"9,955,000,000","8,971,000,000","7,245,000,000","5,896,000,000","4,519,000,000","3,460,000,000","2,608,816,000","1,918,494,000","1,390,985,000","1,005,480,000","682,563,000","424,650,000","243,712,000","92,641,000","43,329,000"
CostOfRevenue,"2,084,000,000","1,921,000,000","1,573,000,000","1,353,000,000","987,000,000","796,000,000","622,658,000","499,862,000","398,995,000","329,413,000","248,776,000","155,259,000","104,009,000","31,575,000","16,190,000"
GrossProfit,"7,871,000,000","7,050,000,000","5,672,000,000","4,543,000,000","3,532,000,000","2,664,000,000","1,986,158,000","1,418,632,000","991,990,000","676,067,000","433,787,000","269,391,000","139,703,000","61,066,000","27,139,000"
OperatingExpense,"6,798,000,000","6,288,000,000","5,317,000,000","4,286,000,000","3,333,000,000","2,622,000,000","2,028,584,000","1,483,028,000","1,104,158,000","842,432,000","585,622,000","335,658,000","177,287,000","50,506,000","55,338,000"
	SellingGeneralAndAdministration,"4,438,000,000","4,164,000,000","3,549,000,000","2,889,000,000","2,309,000,000","1,873,000,000","1,499,083,000","1,105,510,000","818,919,000","625,043,000","437,364,000","256,980,000","137,954,000","43,502,000","48,144,000"
		GeneralAndAdministrativeExpense,"909,000,000","863,000,000","735,000,000","597,000,000","454,000,000","339,000,000","296,027,000","210,533,000","158,936,000","126,604,000","96,245,000","61,790,000","34,117,000","9,379,000","28,810,000"
			OtherGandA,"909,000,000","863,000,000","735,000,000","597,000,000","454,000,000","339,000,000","296,027,000","210,533,000","158,936,000","126,604,000","96,245,000","61,790,000","34,117,000","9,379,000","28,810,000"
		SellingAndMarketingExpense,"3,529,000,000","3,301,000,000","2,814,000,000","2,292,000,000","1,855,000,000","1,534,000,000","1,203,056,000","894,977,000","659,983,000","498,439,000","341,119,000","195,190,000","103,837,000","34,123,000","19,334,000"
	ResearchAndDevelopment,"2,360,000,000","2,124,000,000","1,768,000,000","1,397,000,000","1,024,000,000","749,000,000","529,501,000","377,518,000","285,239,000","217,389,000","148,258,000","78,678,000","39,333,000","7,004,000","7,194,000"
OperatingIncome,"1,073,000,000","762,000,000","355,000,000","257,000,000","199,000,000","42,000,000","-42,426,000","-64,396,000","-112,168,000","-166,365,000","-151,835,000","-66,267,000","-37,584,000","10,560,000","-28,199,000"
NetNonOperatingInterestIncomeExpense,"349,000,000","278,000,000","55,000,000","20,000,000","6,000,000","-33,000,000","3,402,000","-49,010,000","-24,750,000","-26,239,000","-26,095,000","-2,445,000","351,000","606,000","-1,226,000"
	InterestIncomeNonOperating,"373,000,000","302,000,000","82,000,000","20,000,000","39,000,000","55,409,000","56,135,000","4,384,000","8,528,000","4,858,000","2,964,000","1,053,000","351,000","606,000","-1,226,000"
	InterestExpenseNonOperating,"24,000,000","24,000,000","27,000,000","28,000,000","33,000,000","33,000,000","52,733,000","50,623,000","31,493,000","29,429,000","27,501,000","3,310,000","0",,"1,226,000"
	TotalOtherFinanceCost,,,,,,"1,606,000","2,662,000","2,771,000","1,785,000","1,668,000","1,558,000","188,000","-1,604,000","-606,000","1,226,000"
OtherIncomeExpense,"-17,000,000","-32,000,000","-11,000,000","-28,000,000","-55,000,000","58,000,000","21,511,000","-10,873,000","-273,501,000","-408,000","2,390,000","-2,485,000","1,253,000","606,000",
	GainOnSaleOfSecurity,,,,,"-14,076,000","-594,000","25,915,000","-11,117,000","-3,256,000","51,000","2,490,000","-2,493,000","1,067,000",,
	SpecialIncomeCharges,,,,"-3,000,000","-47,000,000","0","-4,063,000","0","-270,000,000","0","0",,,"606,000",
		OtherSpecialCharges,,,,"3,000,000","47,000,000",,"4,063,000",,"270,000,000",,,,,,
	OtherNonOperatingIncomeExpenses,"-17,000,000","-32,000,000","-11,000,000","-28,000,000","-8,000,000","58,000,000","-341,000","244,000","-245,000","-459,000","-100,000","8,000","186,000",,
