name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995
TotalAssets,"39,957,500,000","36,300,400,000","30,231,000,000","27,267,400,000","22,629,600,000","20,136,900,000","18,188,900,000","17,205,900,000","13,295,031,000","12,203,945,000","11,513,730,000","7,410,478,000","7,260,815,000","6,180,358,000","3,764,151,000","3,939,394,000","4,074,163,135.93","3,951,032,089.44","3,753,171,560.43","3,241,369,608.4","2,863,275,356.12","3,299,507,102.77","3,650,184,322.05","2,391,530,614.58","1,703,455,439","932,383,710","656,272,071","499,276,258","320,543,010"
	CurrentAssets,"24,393,900,000","23,064,900,000","18,190,200,000","15,930,000,000","12,131,100,000","10,531,400,000","8,885,800,000","8,557,400,000","7,707,701,000","7,146,206,000","7,025,578,000","5,831,842,000","5,706,809,000","4,944,465,000","2,748,884,000","2,973,249,000","3,324,600,504.25","3,426,035,507.65","3,203,385,594.97","2,680,030,537.04","2,146,074,904.89","2,413,748,170.93","2,603,290,254.8","2,088,685,551.64","1,463,455,154","783,765,072","582,363,054","428,972,633","284,433,177"
		CashCashEquivalentsAndShortTermInvestments,"7,010,100,000","7,376,000,000","7,590,300,000","7,351,600,000","4,718,100,000","4,034,400,000","3,288,300,000","4,056,900,000","3,408,717,000","2,754,351,000","3,010,578,000","2,697,601,000","2,731,782,000","1,949,834,000","1,037,074,000","1,109,184,000","1,273,640,013.9","1,655,855,726","1,903,163,392.55","1,227,222,890","1,026,012,216.74","668,318,813.97","912,263,136.17","711,165,399.76","603,031,772","150,068,160","34,545,420","61,224,414","33,536,130"
			CashAndCashEquivalents,"7,004,700,000","7,268,300,000","6,951,800,000","6,049,400,000","3,532,300,000","3,121,100,000","2,259,000,000","2,906,900,000","2,458,717,000","2,419,487,000","2,330,694,000","1,767,596,000","2,731,782,000","1,949,834,000","1,037,074,000","1,109,184,000","1,273,640,013.9","1,655,855,726","1,903,163,392.55","1,227,222,890","1,026,012,216.74","668,318,813.97","912,263,136.17","711,165,399.76","603,031,772","150,068,160","34,545,420","61,224,414","33,536,130"
				CashFinancial,"2,488,600,000","1,523,500,000","1,891,800,000","662,200,000","957,800,000","590,300,000","887,500,000",,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,"4,516,100,000","5,744,800,000","5,060,000,000","5,387,200,000","2,574,500,000","2,530,800,000","1,371,500,000",,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"5,400,000","107,700,000","638,500,000","1,302,200,000","1,185,800,000","913,300,000","1,029,300,000","1,150,000,000","950,000,000","334,864,000","679,884,000","930,005,000","0",,,,,,,,,,,,,,,,
		Receivables,"7,256,800,000","7,047,000,000","4,556,900,000","3,332,900,000","2,850,500,000","2,400,900,000","2,204,100,000","1,220,800,000","1,164,631,000","1,333,588,000","1,228,507,000","988,514,000","1,073,360,000","1,225,223,000","466,291,000","469,498,000","638,980,497.45","672,761,285.59","302,342,345.14","502,781,295.28","313,945,963.49","556,296,237.5","571,110,370.86","672,997,664.98","455,155,820","208,219,572","267,090,642","189,859,961","130,088,988"
			AccountsReceivable,"4,334,100,000","5,323,800,000","3,028,000,000","1,310,300,000","1,786,800,000","1,498,200,000","1,740,300,000","700,200,000","803,696,000","1,052,504,000","878,321,000","605,288,000","880,627,000","1,123,534,000","377,439,000","463,273,000","638,980,497.45","672,761,285.59","302,342,345.14","502,781,295.28","313,945,963.49","556,296,237.5","571,110,370.86",,,,,,
				GrossAccountsReceivable,"4,334,100,000","5,327,900,000","3,032,500,000","1,313,100,000","1,791,900,000","1,504,900,000","1,744,900,000","702,400,000","809,299,000","1,054,574,000","880,169,000","607,359,000","883,209,000","1,125,479,000","380,678,000",,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"0","-4,100,000","-4,500,000","-2,800,000","-5,100,000","-6,700,000","-4,600,000","-2,200,000","-5,603,000","-2,070,000","-1,848,000","-2,071,000","-2,582,000","-1,945,000","-3,239,000",,,,,,,,,,,,,,
			TaxesReceivable,"1,303,400,000","234,600,000","178,700,000","192,900,000","268,200,000","195,700,000","128,900,000","73,200,000","80,412,000","84,997,000","99,714,000","82,331,000","79,648,000","47,743,000","36,497,000",,,,,,,,,,,,,,
			OtherReceivables,"1,619,300,000","1,488,600,000","1,350,200,000","1,829,700,000","795,500,000","707,000,000","334,900,000","447,400,000","280,523,000","196,087,000","250,472,000","300,895,000","113,085,000","53,946,000","52,355,000","6,225,000",,,,,,,,,,,,,
		Inventory,"8,850,700,000","7,199,700,000","5,179,200,000","4,569,400,000","3,809,200,000","3,439,500,000","2,955,600,000","2,780,900,000","2,573,730,000","2,549,837,000","2,393,022,000","1,856,970,000","1,624,627,000","1,497,180,000","963,382,000","999,150,000","1,103,946,859.59","808,480,233.77","776,609,846.96","717,157,742.4","593,978,111.65","729,542,371.62","870,400,860.4","496,232,724.4","375,851,378","386,851,842","250,817,931","156,274,915","111,995,076"
			RawMaterials,"4,057,300,000","3,198,900,000","2,668,300,000","2,073,400,000","2,026,300,000","1,550,300,000","826,800,000","674,700,000","588,277,000","456,685,000","438,853,000","307,315,000","258,712,000","248,969,000","175,045,000","140,615,000","140,088,261.63","201,470,528.69","163,692,289.87","180,802,417.28","229,338,890.87","267,295,696.39","644,760,193.16",,,,,,
			WorkInProcess,"3,388,100,000","2,163,900,000","1,749,900,000","1,805,000,000","1,505,900,000","1,537,500,000","1,430,700,000","1,415,500,000","1,370,934,000","1,477,041,000","1,549,119,000","1,074,042,000","1,026,872,000","1,083,932,000","799,390,000","655,505,000","713,938,543.88","442,512,933.01","482,434,512.45","416,172,499.52","318,652,179.3","366,771,469.84","494,230,431.22",,,,,,
			FinishedGoods,"2,098,500,000","2,303,800,000","1,179,000,000","1,164,200,000","771,300,000","793,000,000","1,048,000,000","1,073,400,000","1,029,535,000","927,493,000","666,648,000","742,979,000","532,556,000","353,514,000","194,153,000","392,910,000","379,168,826.23","279,914,932.08","246,586,645.67","283,128,960.8","259,236,502.46","382,140,017.03","293,114,604.09",,,,,,
			OtherInventories,,,,,,,,,,,,,,,,,"-685.87",,,"-737.68",,"-1,142,611.03",,,,,,,
			InventoriesAdjustmentsAllowances,"-693,200,000","-466,900,000","-418,000,000","-473,200,000","-494,300,000","-441,300,000","-349,900,000","-382,700,000","-415,016,000","-311,382,000","-261,598,000","-267,366,000","-193,513,000","-189,235,000","-205,206,000","-189,880,000","-129,248,086.28","-115,418,160.01","-116,103,601.03","-162,945,397.52","-213,249,460.98","-285,522,200.61","-561,704,368.07",,,,,,
		PrepaidAssets,"1,164,000,000","1,158,500,000","662,800,000","544,500,000","587,700,000","530,700,000","309,700,000","263,900,000","261,768,000","230,789,000","199,492,000","134,965,000","122,503,000","112,146,000","112,591,000","57,607,276.3","63,310,602.09","18,404,290.1",,,,,,,,,,,
