name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000
MarketCap,"26,985,718","32,080,304","32,072,563","31,419,127","49,539,615","104,798,596","96,028,935","199,580,594","72,920,400","91,103,573","107,959,055","110,184,650","147,443,330","214,443,719","319,973,602","284,908,045","233,469,441","339,534,798","1,061,328,041","971,916,362","2,543,749,742","3,865,380,547","2,117,604,112","3,115,129,951","1,473,006,153"
EnterpriseValue,"-17,686,282","-14,439,696","-16,336,437","-13,004,873","18,817,615","77,747,596","45,418,935","104,982,594","-8,204,600","17,025,573","17,420,055","-10,251,350","-32,436,670","-91,490,281","-32,079,398","59,276,045","7,837,441","159,618,798","824,498,041","961,999,362","2,606,772,742","3,845,289,547","1,737,554,112","2,778,299,951","1,262,873,153"
PeRatio,,,,,,,"45.317","21.654",,,,,,,,,,,,,"39.554","22.604","21.096","54.808",
ForwardPeRatio,,,,,,,,,,,,"24.096",,,"54.945",,,,,,,,,,
PsRatio,"1.804","2.454","2.178","1.632","1.216","1.63","0.796","1.858","0.85","0.747","0.801","0.65","0.804","0.685","0.968","0.722","0.139","0.135","0.423","0.323","1.11","2.357","2.311","4.938","7.701"
PbRatio,"0.558","0.602","0.525","0.415","0.573","1.044","0.954","2.134","0.744","0.875","0.829","0.636","0.677","0.809","1.285","1.112","0.5","0.549","1.345","0.99","1.863","4.397","2.763","4.568","3.706"
EnterprisesValueRevenueRatio,,"-0.917","-1.163","-0.817","0.462","1.208","0.374","0.976","-0.095","0.137","0.129","-0.062","-0.174","-0.285","1.098","0.153","0.005","0.065","0.331","0.32","0.964","1.958","1.77","4.432","6.735"
EnterprisesValueEBITDARatio,,"2.195","3.907","2.629","-0.756","-23.675","6.115","8.638","-3.758","-0.586","-0.672","0.612","1.119","-5.075","0.568","-0.295","-0.082","-2.117","-11.758","-2.934","20.077","11.583","10.277","27.788","43.249"
