name,ttm,06/30/2024,06/30/2023,06/30/2022,06/30/2021,06/30/2020,06/30/2019,06/30/2018
OperatingCashFlow,"278,771,000","278,771,000","187,768,000","-18,093,000","4,623,000","-4,430,000","-3,949,000","-8,356,000"
	CashFlowFromContinuingOperatingActivities,"278,771,000","278,771,000","187,768,000","-18,093,000","4,623,000","-4,430,000","-3,949,000","-8,356,000"
		NetIncomeFromContinuingOperations,"-28,878,000","-28,878,000","-223,725,000","-326,361,000","-98,720,000","-31,091,000","-7,314,000","-7,195,000"
		OperatingGainsLosses,"-46,654,000","-46,654,000",,,,"717,000","299,000","182,000"
			GainLossOnInvestmentSecurities,"1,047,000",,,,,"717,000","299,000","182,000"
		DepreciationAmortizationDepletion,"103,163,000","103,163,000","95,678,000","87,504,000","11,009,000","4,257,000","3,154,000","2,314,000"
			DepreciationAndAmortization,"103,163,000","103,163,000","95,678,000","87,504,000","11,009,000","4,257,000","3,154,000","2,314,000"
				Depreciation,"13,838,000","13,838,000","11,258,000","9,161,000","4,443,000","3,233,000","3,154,000",
				AmortizationCashFlow,"89,325,000","89,325,000","84,420,000","78,343,000","6,566,000","1,024,000","0",
					AmortizationOfIntangibles,"89,325,000","89,325,000","84,420,000","78,343,000","6,566,000","1,024,000","0",
		DeferredTax,"-361,000","-361,000","-1,361,000","-4,075,000","-40,617,000","0","-176,000","0"
			DeferredIncomeTax,"-361,000","-361,000","-1,361,000","-4,075,000","-40,617,000","0","-176,000","0"
		AmortizationOfSecurities,"-64,271,000","-64,271,000","-37,321,000","11,386,000","4,692,000","-3,815,000","-1,319,000","0"
		ProvisionandWriteOffofAssets,"60,105,000","60,105,000","32,189,000","19,879,000","741,000","0","0",
		StockBasedCompensation,"248,375,000","248,375,000","313,567,000","197,157,000","68,290,000","18,064,000","4,082,000","1,545,000"
		OtherNonCashItems,"16,636,000","16,636,000","17,711,000","12,652,000","31,344,000","717,000","299,000",
		ChangeInWorkingCapital,"-9,344,000","-9,344,000","-8,970,000","-16,235,000","27,884,000","7,438,000","-2,675,000","-5,202,000"
			ChangeInReceivables,"69,000","69,000","-4,482,000","-3,032,000","-6,535,000","-1,608,000","-3,846,000","-782,000"
				ChangesInAccountReceivables,"69,000","69,000","-4,482,000","-3,032,000","-6,535,000","-1,608,000","-2,098,000","-279,000"
			ChangeInPrepaidAssets,"-6,825,000","-6,825,000","-16,844,000","-12,970,000","706,000","-10,434,000","-5,690,000","-3,477,000"
			ChangeInPayablesAndAccruedExpense,"19,867,000","19,867,000","32,779,000","3,689,000","30,397,000","8,159,000","7,507,000","1,079,000"
