name,ttm,08/31/2023,08/31/2022,08/31/2021,08/31/2020,08/31/2019,08/31/2018,08/31/2017,08/31/2016,08/31/2015,08/31/2014,08/31/2013,08/31/2012,08/31/2011,08/31/2010,08/31/2009,08/31/2008,08/31/2007,08/31/2006,08/31/2005,08/31/2004,08/31/2003,08/31/2002,08/31/2001
EBIT,"9,379,426,000","9,186,857,000","9,243,487,000","7,820,608,000","6,807,402,000","6,274,760,000","5,827,632,000","4,631,577,000","5,619,830,000","4,425,108,000","4,315,322,000","4,353,329,000","3,919,235,000","3,527,022,000","2,929,046,000","2,691,857,000","3,130,466,000","2,518,985,000","1,793,093,000","2,021,981,000","1,787,517,000","1,633,833,000","1,116,422,000","1,544,371,000"
EBITDA,"10,791,441,000","10,587,612,000","10,554,225,000","9,711,850,000","8,580,526,000","7,167,520,000","6,754,408,000","5,433,366,000","6,348,882,000","5,071,031,000","4,936,065,000","4,946,357,000","4,512,780,000","4,040,278,000","3,403,734,000","3,190,448,000","3,621,887,000","2,963,484,000","2,113,703,000","2,304,054,000","2,044,597,000","1,871,038,000","1,401,783,000","1,958,443,000"
ReconciledCostOfRevenue,"43,469,355,000","43,380,138,000","41,892,766,000","34,169,261,000","30,350,881,000","29,900,325,000","28,499,170,000","25,105,349,000","24,520,234,000","23,105,185,000","22,190,212,000","21,010,110,000","20,790,284,000","18,966,195,000","15,843,331,000","16,329,854,000","18,128,241,000","15,411,274,000","13,234,327,000","12,002,221,000","10,497,265,000","9,087,300,000","8,427,730,000","7,817,365,000"
ReconciledDepreciation,"1,412,015,000","1,400,755,000","1,310,738,000","1,891,242,000","1,773,124,000","892,760,000","926,776,000","801,789,000","729,052,000","645,923,000","620,743,000","593,028,000","593,545,000","513,256,000","474,688,000","498,591,000","491,421,000","444,499,000","320,610,000","282,073,000","257,080,000","237,205,000","285,361,000","414,072,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"6,953,449,000","6,871,557,000","6,877,169,000","5,906,809,000","5,107,839,000","4,779,112,000","4,059,907,000","3,445,149,000","4,111,892,000","3,053,581,000","2,941,498,000","3,281,878,000","2,553,510,000","2,277,677,000","1,780,656,000","1,589,963,000","1,691,751,000","1,243,148,000","973,329,000","940,474,000","690,828,000","498,238,000","244,895,000","869,429,000"
TotalUnusualItemsExcludingGoodwill,"0","0","-96,294,000","0","0","0","0","-252,000","848,823,000","0","18,015,000","272,042,000","-1,691,000","-1,520,000","-25,268,000","-251,203,000","-18,609,000","-29,597,000","22,173,000","99,758,000","-25,334,000","22,531,000","-416,658,000","-1,691,736,000"
TotalUnusualItems,"0","0","-96,294,000","0","0","0","0","-252,000","848,823,000","0","18,015,000","272,042,000","-1,691,000","-1,520,000","-25,268,000","-251,203,000","-18,609,000","-29,597,000","22,173,000","99,758,000","-25,334,000","22,531,000","-416,658,000","-1,691,736,000"
NormalizedEBITDA,"10,791,441,000","10,587,612,000","10,650,519,000","9,711,850,000","8,580,526,000","7,167,520,000","6,754,408,000","5,433,618,000","5,500,059,000","5,071,031,000","4,918,050,000","4,674,315,000","4,514,471,000","4,041,798,000","3,429,002,000","3,441,651,000","3,640,496,000","2,993,081,000","2,091,530,000","2,204,296,000","2,069,931,000","1,848,507,000","1,818,441,000","3,650,179,000"
TaxRateForCalcs,"0.238","0.234","0.24","0.228","0.235","0.225","0.274","0.213","0.224","0.258","0.261","0.181","0.276","0.273","0.293","0.276","0.293","0.342","0.255","0.316","0.32","0.351","0.4","0.4"
TaxEffectOfUnusualItems,"0","0","-23,110,560","0","0","0","0","-53,676","190,136,352","0","4,701,915","49,239,602","-466,716","-414,960","-7,403,522.986","-69,382,204.508","-5,452,435.407","-10,124,333.033","5,654,114.02","31,523,544.641","-8,106,888.451","7,908,384.255","-166,663,200","-676,694,400"
