name,ttm,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012,01/31/2011,01/31/2010,01/31/2009,01/31/2008,01/31/2007,01/31/2006,01/31/2005,01/31/2004,01/31/2003
OperatingCashFlow,"12,074,000,000","10,234,000,000","7,111,000,000","6,000,000,000","4,801,000,000","4,331,000,000","3,398,000,000","2,738,000,000","2,162,000,000","1,672,081,000","1,181,444,000","875,469,000","736,897,000","591,507,000","459,081,000","270,911,000","229,557,000","204,275,000","111,224,000","95,893,000","55,872,000","21,781,000","5,213,000"
	CashFlowFromContinuingOperatingActivities,"12,074,000,000","10,234,000,000","7,111,000,000","6,000,000,000","4,801,000,000","4,331,000,000","3,398,000,000","2,738,000,000","2,162,000,000","1,672,081,000","1,181,444,000","875,469,000","736,897,000","591,507,000","459,081,000","270,911,000","229,557,000","204,275,000","111,224,000","95,893,000","55,872,000","21,781,000","5,213,000"
		NetIncomeFromContinuingOperations,"5,632,000,000","4,136,000,000","208,000,000","1,444,000,000","4,072,000,000","126,000,000","1,110,000,000","360,000,000","323,000,000","-47,426,000","-262,688,000","-232,175,000","-270,445,000","-11,572,000","69,697,000","84,692,000","48,035,000","18,356,000","481,000","28,474,000","7,346,000","3,514,000","-9,716,000"
		OperatingGainsLosses,,"277,000,000","239,000,000","-1,211,000,000","-2,170,000,000","-261,000,000","-542,000,000","-19,000,000","-31,000,000","-58,409,000","-15,625,000","194,767,000","154,818,000","107,195,000","80,159,000","63,891,000","1,783,000","3,200,000","2,220,000","1,034,000","5,129,000","1,066,000","4,975,000"
			GainLossOnSaleOfBusiness,,,,"0","0","166,000,000","0","0",,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,"0","0","-21,792,000","-15,625,000","0","0",,,,,,,,,,
			GainLossOnInvestmentSecurities,,"277,000,000","239,000,000","-1,211,000,000","-2,170,000,000","-427,000,000","-542,000,000","-19,000,000","-31,000,000",,,,,,,,"1,783,000",,,,,,
			EarningsLossesFromEquityInvestments,,,,,,"-427,000,000","-542,000,000","-19,000,000","-31,000,000",,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"3,601,000,000","3,959,000,000","3,786,000,000","3,298,000,000","2,846,000,000","2,135,000,000","982,000,000","784,000,000","632,000,000","525,750,000","448,296,000","369,423,000","216,795,000","157,286,000","75,746,000","53,177,000","35,971,000","66,414,000","35,885,000","20,633,000","18,745,000","11,190,000","5,549,000"
			DepreciationAndAmortization,"3,601,000,000","3,959,000,000","3,786,000,000","3,298,000,000","2,846,000,000","2,135,000,000","982,000,000","784,000,000","632,000,000","525,750,000","448,296,000","369,423,000","216,795,000","157,286,000","75,746,000","53,177,000","35,971,000","66,414,000","35,885,000","20,633,000","18,745,000","11,190,000","5,549,000"
				Depreciation,,,,,,,,,,,,,,,,,"35,971,000","24,219,000","12,504,000","6,027,000","3,147,000","2,591,000","2,664,000"
				AmortizationCashFlow,,,,,,,,,,,,,,,,,"58,732,000","42,195,000","23,381,000","14,606,000","15,598,000","8,599,000","2,885,000"
					AmortizationOfIntangibles,,,,,,,,,,,,,,,,,"58,732,000","42,195,000","23,381,000","14,606,000","15,598,000","8,599,000","2,885,000"
		DeferredTax,,,"0","0","-2,003,000,000","0","0",,,,,,,,,"0","0","-970,000",,"-7,225,000",,,
			DeferredIncomeTax,,,"0","0","-2,003,000,000","0","0",,,,,,,,,"0","0","-970,000",,"-7,225,000",,,
		AmortizationOfSecurities,,,,,,,,,,,,,,,"99,780,000","64,619,000","58,732,000",,,,,,
		StockBasedCompensation,"2,927,000,000","2,787,000,000","3,279,000,000","2,779,000,000","2,190,000,000","1,785,000,000","1,283,000,000","997,000,000","820,000,000","593,628,000","564,765,000","503,280,000","379,350,000","229,258,000","120,429,000","88,892,000",,,,,,,
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,,,,,"-59,496,000","-7,730,000","-8,144,000","-14,933,000","-6,018,000","-35,991,000","-51,539,000","-54,597,000",,,,,,
		OtherNonCashItems,"2,022,000,000","1,925,000,000","1,668,000,000","1,348,000,000","1,058,000,000","876,000,000","737,000,000","592,000,000","501,000,000","346,541,000","307,588,000","244,349,000","178,904,000","117,542,000","99,780,000","64,619,000","77,366,000","23,229,000","22,631,000","6,825,000",,,
		ChangeInWorkingCapital,"-2,215,000,000","-2,850,000,000","-2,069,000,000","-1,658,000,000","-1,192,000,000","-330,000,000","-172,000,000","24,000,000","-83,000,000","311,997,000","139,108,000","-1,264,000","247,226,000","105,011,000","129,420,000","31,070,000","62,267,000","94,046,000","50,007,000","46,152,000","24,652,000","6,011,000","4,405,000"
			ChangeInReceivables,"12,000,000","-659,000,000","-995,000,000","-1,824,000,000","-1,556,000,000","-1,000,000,000","-923,000,000","-719,000,000","-633,000,000","-582,425,000","-544,610,000","-424,702,000","-183,242,000","-244,947,000","-102,507,000","-54,522,000","-44,798,000","-91,368,000","-52,523,000","-27,254,000","-22,338,000","-16,955,000","-3,872,000"
				ChangesInAccountReceivables,"12,000,000","-659,000,000","-995,000,000","-1,824,000,000","-1,556,000,000","-1,000,000,000","-923,000,000","-719,000,000","-633,000,000","-582,425,000","-544,610,000","-424,702,000","-183,242,000","-244,947,000","-102,507,000","-54,522,000","-44,798,000",,,,,,
			ChangeInPrepaidAssets,"-1,491,000,000","-843,000,000","-302,000,000","114,000,000","-133,000,000","-119,000,000","-58,000,000","18,000,000","-47,000,000","50,772,000","45,819,000","105,218,000","-9,718,000","-7,853,000","2,001,000","-3,899,000","-4,746,000","-11,376,000","-8,157,000","-2,871,000","65,000","-2,216,000","-579,000"
