name,ttm,09/30/2023,09/30/2022,09/30/2021,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991,09/30/1990,09/30/1989,09/30/1988,09/30/1987,09/30/1986
TotalRevenue,"1,653,450,000","1,513,557,000","1,377,270,000","1,316,536,000","1,294,562,000","1,160,083,000","1,000,146,000","934,983,000","881,356,000","838,781,000","788,985,000","743,444,000","676,423,000","619,683,000","605,643,000","630,735,000","744,842,000","822,236,000","825,365,000","798,671,000","706,206,000","629,295,000","392,418,000","329,148,000","298,630,000","277,041,000","245,500,000","199,000,000","155,900,000","117,100,000","90,300,000","66,700,000","42,600,000","31,800,000","25,500,000","23,200,000","21,000,000","18,100,000","14,800,000"
	OperatingRevenue,"1,653,450,000","1,513,557,000","1,377,270,000","1,316,536,000","1,294,562,000","1,160,083,000","1,000,146,000","934,983,000","881,356,000","838,781,000","788,985,000","743,444,000","676,423,000","619,683,000","605,643,000","630,735,000","744,842,000","822,236,000","825,365,000","798,671,000","706,206,000","629,295,000","392,418,000","329,148,000","298,630,000","277,041,000","245,500,000","199,000,000","155,900,000","117,100,000","90,300,000","66,700,000","42,600,000","31,800,000","25,500,000","23,200,000","21,000,000","18,100,000","14,800,000"
CostOfRevenue,"341,464,000","311,053,000","302,174,000","332,462,000","361,142,000","336,845,000","312,898,000","287,607,000","265,173,000","270,535,000","249,281,000","229,468,000","197,947,000","186,470,000","180,932,000","206,448,000","274,917,000","293,482,000","281,977,000","275,065,000","252,587,000","246,592,000","176,029,000","148,559,000","128,961,000","105,564,000","71,500,000","62,100,000","50,500,000","38,100,000","30,000,000","21,300,000","13,100,000","10,300,000","9,300,000","9,800,000","9,700,000","8,000,000","6,700,000"
GrossProfit,"1,311,986,000","1,202,504,000","1,075,096,000","984,074,000","933,420,000","823,238,000","687,248,000","647,376,000","616,183,000","568,246,000","539,704,000","513,976,000","478,476,000","433,213,000","424,711,000","424,287,000","469,925,000","528,754,000","543,388,000","523,606,000","453,619,000","382,703,000","216,389,000","180,589,000","169,669,000","171,477,000","174,000,000","136,900,000","105,400,000","79,000,000","60,300,000","45,400,000","29,500,000","21,500,000","16,200,000","13,400,000","11,300,000","10,100,000","8,100,000"
OperatingExpense,"609,836,000","561,615,000","532,682,000","570,767,000","592,422,000","569,690,000","511,889,000","460,746,000","446,591,000","412,499,000","373,555,000","348,897,000","304,993,000","293,485,000","309,745,000","298,829,000","337,476,000","377,825,000","371,003,000","330,595,000","272,526,000","206,008,000","162,053,000","108,482,000","122,132,000","125,102,000","133,600,000","99,200,000","75,800,000","59,100,000","44,500,000","37,200,000","23,900,000","18,400,000","15,200,000","11,600,000","8,800,000","6,600,000","5,200,000"
	SellingGeneralAndAdministration,"439,408,000","400,565,000","383,863,000","396,281,000","420,930,000","414,086,000","376,912,000","337,167,000","328,940,000","300,002,000","278,203,000","268,395,000","238,522,000","223,615,000","225,263,000","209,319,000","245,639,000","285,541,000","260,845,000","223,400,000","182,374,000","124,641,000","83,633,000","78,061,000","90,215,000","93,569,000","89,600,000","69,800,000","67,900,000","52,900,000","35,600,000","32,700,000","22,500,000","17,300,000","13,900,000","10,900,000","8,500,000","6,200,000","4,900,000"
	ResearchAndDevelopment,"169,328,000","159,950,000","146,758,000","171,231,000","166,499,000","149,478,000","128,383,000","110,870,000","103,669,000","98,824,000","83,435,000","66,967,000","59,527,000","62,129,000","73,581,000","73,626,000","77,794,000","70,599,000","84,967,000","81,295,000","71,088,000","67,574,000","74,040,000","28,321,000","29,817,000","29,720,000","29,100,000","17,600,000","7,800,000","4,000,000","4,000,000",,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"1,100,000","1,100,000","2,061,000","3,255,000","4,993,000","6,126,000","6,594,000","12,709,000","13,982,000","13,673,000","11,917,000","13,535,000","6,944,000","7,741,000","10,901,000","12,891,000","14,043,000","23,226,000","25,191,000","25,900,000","19,064,000","13,793,000","4,380,000","2,100,000","2,100,000","1,813,000","14,900,000","11,800,000","7,900,000","6,200,000","4,900,000","4,500,000","1,400,000","1,100,000","1,300,000","700,000","300,000","400,000","300,000"
		DepreciationAndAmortizationInIncomeStatement,"1,100,000","1,100,000","2,061,000","3,255,000","4,993,000","6,126,000","6,594,000","12,709,000","13,982,000","13,673,000","11,917,000","13,535,000","6,944,000","7,741,000","10,901,000","12,891,000","14,043,000","23,226,000","25,191,000","25,900,000","19,064,000","13,793,000","4,380,000","2,100,000","2,100,000","1,813,000","14,900,000","11,800,000","7,900,000","6,200,000","4,900,000","4,500,000","1,400,000","1,100,000","1,300,000","700,000","300,000","400,000","300,000"
			Amortization,"1,100,000","1,100,000","2,061,000","3,255,000","4,993,000","6,126,000","6,594,000","12,709,000","13,982,000","13,673,000","11,917,000","13,535,000","6,944,000","7,741,000","10,901,000","12,891,000","14,043,000","23,226,000","25,191,000","25,900,000","19,064,000","13,793,000","4,380,000","2,100,000","2,100,000","1,813,000",,,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,"1,100,000","1,100,000","2,061,000","3,255,000","4,993,000","6,126,000","6,594,000","12,709,000","13,982,000","13,673,000","11,917,000","13,535,000","6,944,000","7,741,000","10,901,000","12,891,000","14,043,000","23,226,000","25,191,000","25,900,000","19,064,000","13,793,000","4,380,000","2,100,000","2,100,000","1,813,000",,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,"2,993,000",,"-1,541,000",,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"702,150,000","640,889,000","542,414,000","413,307,000","340,998,000","253,548,000","175,359,000","186,630,000","169,592,000","155,747,000","166,149,000","165,079,000","173,483,000","139,728,000","114,966,000","125,458,000","132,449,000","150,929,000","172,385,000","193,011,000","181,093,000","176,695,000","54,336,000","72,107,000","47,537,000","46,375,000","40,400,000","37,700,000","29,600,000","19,900,000","15,800,000","8,200,000","5,600,000","3,100,000","1,000,000","1,800,000","2,500,000","3,500,000","2,900,000"
NetNonOperatingInterestIncomeExpense,"-101,427,000","-95,546,000","-68,967,000","-40,092,000","-42,177,000","-39,752,000","-31,311,000","-25,790,000","-26,633,000","-29,150,000","-28,550,000","-30,227,000","-31,417,000","-30,172,000","-22,436,000","-20,764,000","-11,533,000",,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,,,,,,,,,,,,"54,000","317,000","2,192,000","1,688,000","4,717,000","8,802,000",,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"101,427,000","95,546,000","68,967,000","40,092,000","42,177,000","39,752,000","31,311,000","25,790,000","26,633,000","29,150,000","28,550,000","30,227,000","31,417,000","32,364,000","24,124,000","25,481,000","20,335,000",,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"10,384,000","8,281,000","-2,138,000","99,927,000","-41,821,000","2,276,000","12,884,000","-4,557,000","1,610,000","-17,359,000","-4,468,000","-2,868,000","-5,823,000","-12,101,000","-226,000","-7,124,000","-7,921,000","-487,000","-19,872,000","1,022,000","-5,334,000","-1,498,000","-6,141,000","4,746,000","-467,000","4,225,000","1,700,000","-1,900,000","-600,000","1,800,000","1,000,000","500,000","1,000,000","1,300,000","1,400,000","1,300,000","1,100,000","400,000","200,000"
	SpecialIncomeCharges,"0","1,941,000","0","92,182,000","-45,029,000","0","0","-4,471,000","0","-18,242,000","-4,281,000","-3,486,000","-5,125,000","-12,391,000","-1,617,000","-7,124,000","-7,921,000","-487,000","-19,872,000","1,022,000","-5,334,000","-1,498,000","-6,141,000","4,746,000","-467,000","4,225,000","1,700,000","-1,900,000","-600,000","1,800,000","1,000,000","500,000","1,000,000","1,300,000","1,400,000","1,300,000","1,100,000","400,000","200,000"
		RestructuringAndMergernAcquisition,,"0","0","7,957,000","45,029,000","0","0","4,471,000","0","18,242,000","4,281,000","3,486,000","5,125,000","12,391,000","1,617,000","8,711,000","10,166,000","2,455,000","19,662,000",,"1,227,000","2,501,000","7,224,000",,"2,923,000",,,,,,,,,,,,,,
		OtherSpecialCharges,,,,,,,,,,,,,,"-290,000","-1,391,000","-1,587,000","-2,245,000","-1,968,000","210,000",,"4,107,000","-1,003,000","-1,083,000",,"-2,456,000",,,,,,,,,,,,,,
		GainOnSaleOfBusiness,,"1,941,000","0","100,139,000","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"10,384,000","6,340,000","-2,138,000","7,745,000","3,208,000","2,276,000","12,884,000","-86,000","1,610,000","883,000","-187,000","618,000","-698,000","290,000","1,391,000",,,,,,,,,,,,,,,,,,,,,,,,
