name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999
TotalAssets,"77,480,000","89,230,000","108,279,000","118,724,000","151,303,000","177,435,000","187,044,000","178,703,000","198,379,000","279,063,000","366,967,000","488,091,000","600,940,000","784,283,000","929,111,000","1,310,806,000","1,984,588,000","2,383,305,000","2,551,331,000","3,348,406,000","2,244,050,000","1,305,552,000","1,005,880,000","591,837,000","271,800,000"
	CurrentAssets,"70,596,000","81,801,000","97,793,000","109,905,000","137,078,000","160,155,000","166,813,000","163,018,000","161,607,000","205,797,000","272,485,000","387,340,000","503,797,000","604,585,000","587,761,000","932,592,000","1,492,966,000","1,845,026,000","2,002,439,000","2,679,834,000","1,818,089,000","1,107,372,000","896,475,000","531,375,000","229,100,000"
		CashCashEquivalentsAndShortTermInvestments,"49,968,000","54,517,000","53,797,000","36,321,000","37,061,000","57,049,000","82,892,000","84,401,000","77,050,000","80,123,000","107,773,000","179,880,000","303,998,000","352,053,000","266,881,000","313,865,000","503,078,000","671,169,000","658,837,000","698,815,000","426,364,000","339,249,000","407,312,000","232,970,000","87,400,000"
			CashAndCashEquivalents,"49,968,000","54,517,000","53,797,000","34,221,000","34,966,000","57,049,000","79,749,000","83,922,000","77,050,000","77,824,000","107,773,000","179,584,000","301,626,000","351,507,000","265,843,000","309,603,000","437,449,000","661,623,000","645,571,000","562,532,000","377,747,000","231,944,000","321,136,000","149,112,000","87,400,000"
			OtherShortTermInvestments,,,"0","2,100,000","2,095,000","0","3,143,000","479,000","0","2,299,000","0","296,000","2,372,000","546,000","1,038,000","4,262,000","65,629,000","9,546,000","13,266,000","136,283,000","48,617,000","107,305,000","86,176,000","83,858,000",
		Receivables,"9,146,000","12,451,000","28,349,000","50,735,000","79,192,000","61,460,000","17,894,000","19,140,000","19,769,000","21,103,000","31,839,000","24,890,000","26,467,000","30,051,000","42,346,000","169,496,000","343,525,000","411,140,000","525,029,000","830,751,000","380,594,000","222,050,000","194,716,000","161,736,000","78,200,000"
			AccountsReceivable,"8,380,000","11,867,000","27,445,000","49,623,000","77,831,000","60,666,000","16,911,000","18,329,000","17,936,000","16,690,000","23,260,000","15,000,000","20,168,000","30,051,000","42,346,000","158,376,000","330,910,000","406,080,000","522,964,000","803,769,000","369,232,000","222,050,000","193,046,000","161,736,000","78,200,000"
				GrossAccountsReceivable,"9,733,000","14,549,000","34,076,000","65,605,000","84,337,000","62,790,000","19,250,000","20,668,000","22,500,000","27,567,000","34,323,000","25,796,000","50,313,000",,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-1,353,000","-2,682,000","-6,631,000","-15,982,000","-6,506,000","-2,124,000","-2,339,000","-2,339,000","-4,564,000","-10,877,000","-11,063,000","-10,796,000","-30,145,000",,,,,,,,,,,,
			LoansReceivable,,,,,,,,,,,,,,,,,"12,615,000","5,060,000","2,065,000","26,982,000","11,362,000",,,,
			NotesReceivable,"490,000","138,000","108,000","58,000","0",,,,,,,"0","48,000",,"1,427,000","11,120,000","12,615,000",,,,,,,,
			TaxesReceivable,,,,,,,"3,927,000",,,,,,,,,,,,,,,,,,
			OtherReceivables,"276,000","446,000","796,000","1,054,000","1,361,000","794,000","983,000","811,000","1,833,000","4,413,000","8,579,000","9,890,000","6,251,000","0","0","0","0","0","0","0","0","0","1,670,000","0",
		Inventory,"795,000","1,269,000","1,537,000","6,695,000","6,142,000","26,388,000","17,139,000","22,577,000","17,470,000","20,659,000","23,355,000","26,028,000","34,262,000","48,404,000","72,300,000","189,832,000","334,467,000","440,445,000","425,955,000","590,832,000","257,065,000","424,666,000","229,050,000","118,995,000","55,200,000"
			RawMaterials,"124,000","55,000","563,000","3,328,000","2,362,000","1,665,000","3,610,000","3,821,000","6,886,000","4,127,000","3,225,000","3,833,000","9,334,000","6,718,000","18,863,000","15,545,000","34,413,000","72,230,000","70,608,000","154,977,000","66,753,000","84,715,000","59,409,000",,
			WorkInProcess,"85,000","14,000","39,000","1,766,000","1,285,000","2,992,000","2,674,000","3,362,000","1,813,000","3,952,000","1,344,000","2,574,000","1,721,000","6,836,000","12,881,000","33,524,000","35,853,000","43,542,000","27,582,000","65,551,000","51,116,000","26,915,000","33,887,000",,
			FinishedGoods,"586,000","1,200,000","935,000","1,601,000","2,495,000","21,731,000","10,855,000","15,394,000","8,771,000","12,580,000","18,786,000","19,621,000","23,207,000","34,850,000","40,556,000","140,763,000","264,201,000","324,673,000","270,374,000","271,357,000","48,206,000","313,036,000","156,098,000",,
			OtherInventories,,,,,,,,"0","0","0","0","0",,"0","0","0","0","0","57,391,000","98,947,000","90,990,000","0","0",,
			InventoriesAdjustmentsAllowances,,,,,,,,,,,,,,,,,,,,,,,"-20,344,000",,
		PrepaidAssets,"3,479,000","3,649,000","4,015,000","4,054,000","4,163,000","4,450,000","13,244,000","6,184,000","8,250,000","11,256,000","9,439,000","13,771,000","21,444,000","46,943,000","49,333,000","127,675,000","115,194,000","101,743,000","61,795,000","112,525,000","139,103,000",,,,
		RestrictedCash,"7,117,000","9,862,000","10,076,000","12,088,000","10,007,000","8,827,000","12,099,000","11,397,000","12,264,000","13,731,000","9,822,000","13,806,000","12,905,000","15,955,000","26,448,000","16,840,000","6,442,000","16,666,000","53,680,000","33,347,000","24,404,000",,,,
		CurrentDeferredAssets,"91,000","53,000","19,000","12,000","513,000","449,000","23,545,000","19,319,000","26,804,000","58,925,000","90,257,000","128,965,000","104,721,000","111,179,000","130,453,000","114,884,000","190,260,000","8,470,000","177,000","143,446,000","18,179,000",,,,
			CurrentDeferredTaxesAssets,,,,,,,,"0","1,305,000","3,668,000","3,534,000","3,493,000","1,499,000",,,,"1,157,000","8,470,000","177,000","143,446,000","18,179,000",,,,
		OtherCurrentAssets,,,,,"1,819,000","1,532,000",,,,,,,,,,,"190,260,000","195,393,000","277,143,000","270,118,000","572,380,000","121,407,000","65,397,000","17,674,000","8,300,000"
	TotalNonCurrentAssets,"6,884,000","7,429,000","10,486,000","8,819,000","14,225,000","17,280,000","20,231,000","15,685,000","36,772,000","73,266,000","94,482,000","100,751,000","97,143,000","179,698,000","341,350,000","378,214,000","491,622,000","538,279,000","548,892,000","668,572,000","425,961,000","198,180,000","109,405,000","60,462,000","42,700,000"
		NetPPE,"3,259,000","3,573,000","5,336,000","1,803,000","3,952,000","1,258,000","1,714,000","1,610,000","1,510,000","3,037,000","4,771,000","8,866,000","12,199,000","4,819,000","130,612,000","175,287,000","209,094,000","213,155,000","233,403,000","268,759,000","187,039,000","98,511,000","43,942,000","21,999,000","8,200,000"
			GrossPPE,"24,087,000","27,662,000","33,507,000","31,854,000","32,263,000","30,650,000","35,362,000","33,197,000","54,633,000","59,872,000","68,507,000","110,916,000","164,625,000","166,466,000","415,245,000","432,388,000","431,650,000","425,168,000","406,515,000","380,575,000","255,399,000","136,492,000","64,026,000","31,513,000","14,700,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,
				LandAndImprovements,,,,,,,,,,,,,,,,,,,,,"10,446,000","6,702,000","7,319,000",,
				BuildingsAndImprovements,,,,,,,,,,,,"0","253,000","264,000","184,436,000","184,353,000","172,370,000","178,688,000","172,864,000","154,512,000","10,852,000","45,953,000","4,145,000",,
				MachineryFurnitureEquipment,"19,862,000","23,056,000","26,972,000","28,825,000","27,604,000","28,757,000","33,594,000","31,539,000","49,685,000","54,563,000","62,405,000","100,120,000","143,555,000","153,865,000","213,697,000","229,179,000","227,983,000","206,595,000","194,284,000","187,875,000","125,383,000","83,837,000","37,858,000",,
				OtherProperties,"2,649,000","2,969,000","4,734,000","1,183,000","2,860,000",,,"67,000","46,000","19,000","93,000","804,000","342,000","585,000","1,690,000",,"24,532,000","38,945,000","37,064,000","34,537,000","14,616,000",,"14,704,000",,
				ConstructionInProgress,,,,,,,,,,,,,,,"1,690,000","3,001,000","13,207,000","940,000","2,303,000","3,651,000","104,548,000",,,,
				Leases,"1,576,000","1,637,000","1,801,000","1,846,000","1,799,000","1,893,000","1,768,000","1,591,000","4,902,000","5,290,000","6,009,000","9,992,000","20,475,000","11,752,000","15,422,000","15,855,000","18,090,000",,,,,,,,
			AccumulatedDepreciation,"-20,828,000","-24,089,000","-28,171,000","-30,051,000","-28,311,000","-29,392,000","-33,648,000","-31,587,000","-53,123,000","-56,835,000","-63,736,000","-102,050,000","-152,426,000","-161,647,000","-284,633,000","-257,101,000","-222,556,000","-212,013,000","-173,112,000","-111,816,000","-68,360,000","-37,981,000","-20,084,000","-9,514,000","-6,500,000"
		GoodwillAndOtherIntangibleAssets,,,,,,,,,,,,"0","17,445,000","18,678,000","0","0","24,809,000","59,506,000","78,376,000","278,838,000","144,231,000","49,820,000","38,992,000","20,238,000","25,100,000"
			Goodwill,,,,,,,,,,,,"0","13,820,000","13,820,000","0",,,"3,063,000","3,063,000","180,627,000",,,,,
			OtherIntangibleAssets,,,,,,,,,,,,,"3,625,000","4,858,000",,"0","24,809,000","56,443,000","75,313,000","98,211,000","144,231,000","49,820,000","38,992,000","20,238,000","25,100,000"
		InvestmentsAndAdvances,,,"0","0","3,129,000","5,224,000","5,856,000","7,753,000","19,521,000","59,799,000","74,588,000","62,443,000","19,226,000","11,273,000","8,402,000","17,691,000","16,667,000",,,,,,,,
			InvestmentinFinancialAssets,,,,,,,,,,,"74,588,000","62,443,000",,,,,,,,,,,,,
		NonCurrentDeferredAssets,"551,000","837,000","2,131,000","4,271,000","2,772,000","2,307,000","3,289,000","2,325,000","11,525,000","5,941,000","9,129,000","20,839,000","41,564,000","134,329,000","189,800,000","162,722,000","211,043,000",,,,,,,,
