name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996
			CommonStockDividendPaid,"-2,565,000,000","-2,395,000,000","-2,865,000,000","-2,182,000,000","-1,864,000,000","-1,790,000,000","-1,671,000,000","-1,499,000,000","-1,378,000,000","-1,316,000,000","-1,194,000,000","-1,013,000,000","-1,310,000,000","-713,000,000","-594,000,000",,,,,,,,,,,,,,
		NetOtherFinancingCharges,"-45,000,000","-14,000,000","-12,000,000","-55,000,000","34,000,000","-17,000,000","-7,000,000","-43,000,000","3,000,000",,,,,"-28,000,000","-10,000,000","4,000,000","-31,000,000","75,445,700","6,819,210","-9,287,410","-38,482,552.56","-40,770,264.38","-53,874,253.01","-186,569,060","-381,176.92","-2,981,370",,"81,844,463.61","225,152,000"
	CashFromDiscontinuedFinancingActivities,"0","24,000,000","-263,000,000","2,828,000,000",,,,,,,,,,,,,,,,,,,,,,,,,
EndCashPosition,"7,942,000,000","8,124,000,000","9,008,000,000","8,898,000,000","5,311,000,000","5,314,000,000","8,627,000,000","4,011,000,000","3,702,000,000","3,411,000,000","3,328,000,000","2,748,000,000","2,477,000,000","4,965,000,000","3,518,000,000","1,884,000,000","1,280,000,000","1,610,422,760","2,398,846,540","2,062,649,330","1,512,017,532.24","1,338,051,714.2","1,122,722,546.1","860,915,060","1,042,468,833.42","708,572,270","620,480,682","421,693,214.67","647,122,000"
	ChangesInCash,"-6,200,000,000","-496,000,000","-24,000,000","3,103,000,000","211,000,000","-3,423,000,000","4,519,000,000","527,000,000","124,000,000","-52,000,000","557,000,000","462,000,000","-2,336,000,000","1,373,000,000","1,448,000,000","550,000,000","-327,000,000","-742,111,340","337,929,740","469,436,360","567,715,577.28","287,709,624.23","527,843,412.21","-177,577,780","335,465,502.32","23,850,960","261,766,620","94,602,632.67","379,045,000"
	EffectOfExchangeRateChanges,"-72,000,000","-388,000,000","134,000,000","484,000,000","-214,000,000","110,000,000","97,000,000","-218,000,000","167,000,000","135,000,000","23,000,000","-191,000,000","-152,000,000","74,000,000","186,000,000","54,000,000","-1,000,000","-49,382,640","-3,030,760","87,808,240","-39,365,555.52","-69,408,544.39","-160,755,556.33","-4,495,640","-2,158,227.98","63,602,560","-46,469,970",,
	BeginningCashPosition,"14,142,000,000","9,008,000,000","8,898,000,000","5,311,000,000","5,314,000,000","8,627,000,000","4,011,000,000","3,702,000,000","3,411,000,000","3,328,000,000","2,748,000,000","2,477,000,000","4,965,000,000","3,518,000,000","1,884,000,000","1,280,000,000","1,608,000,000","2,401,916,740","2,063,947,560","1,504,560,420","983,667,510.48","1,119,749,840.33","755,633,737.25","1,042,988,480","709,161,559.08","621,118,750","405,098,766","327,090,582","268,077,000"
	OtherCashAdjustmentOutsideChangeinCash,,,,,,,,,,,,,,,,,"-718,340",,,"844,310",,"794.03","952.97","1,123,910",,,"85,266",,
CapitalExpenditure,"-737,000,000","-785,000,000","-877,000,000","-701,000,000","-816,000,000","-817,000,000","-1,458,000,000","-1,275,000,000","-1,001,000,000","-636,000,000","-737,000,000","-566,000,000","-541,000,000","-445,000,000","-334,000,000","-225,000,000","-339,000,000","-401,919,820","-365,206,580","-252,448,690","-211,706,783.2","-274,856,660.62","-309,026,252.69","-377,633,760","-285,314,118.84","-354,783,030","-388,386,630","-290,489,709.51",
IssuanceOfCapitalStock,,,,,,,"0","0","27,000,000","64,000,000","51,000,000","49,000,000","105,000,000","297,000,000","150,000,000","30,000,000","105,000,000","200,274,040","213,668,580","248,227,140",,,,,"125,823,520.02","489,938.47","13,130,964","2,009,997.99","11,374,000"
IssuanceOfDebt,"14,000,000","13,000,000","158,000,000","1,680,000,000","2,132,000,000","3,622,000,000","6,368,000,000","27,000,000","443,000,000","1,748,000,000","7,503,000,000","1,000,000,000","5,778,000,000","519,000,000","5,380,000,000","697,000,000","3,859,000,000",,,,,,,,,,,,
RepaymentOfDebt,"-2,663,000,000","-4,413,000,000","-1,855,000,000","-2,327,000,000","-2,808,000,000","-1,712,000,000","-1,407,000,000","-1,391,000,000","-1,800,000,000","-3,852,000,000","-2,062,000,000","-1,625,000,000","-4,714,000,000","-1,005,000,000","-2,196,000,000","-2,303,000,000","-1,571,000,000",,,,,,,,,,,,
RepurchaseOfCapitalStock,"-1,924,000,000","-949,000,000","-1,500,000,000","0","-1,492,000,000","0","0","-500,000,000","0","0","0","0","-53,000,000","-246,000,000","-220,000,000","0","-487,000,000","-1,006,857,160","-1,148,658,040","-453,394,470","-107,455,632.56","-87,999,962.81","-279,517,536.64","-94,408,440",,,"-682,128",,
FreeCashFlow,"6,652,000,000","5,547,000,000","4,770,000,000","5,522,000,000","6,379,000,000","2,678,000,000","2,844,000,000","3,771,000,000","3,627,000,000","3,000,000,000","2,762,000,000","3,266,000,000","3,281,000,000","3,330,000,000","2,588,000,000","2,790,000,000","1,819,000,000","1,539,778,150","1,482,041,640","1,354,273,240","1,613,888,927.2","1,227,432,218.78","1,379,200,127.05","611,407,040","394,409,508.72","285,217,730","238,489,002","131,717,141.01","483,497,000"
