name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006
OperatingCashFlow,"1,915,300,000","1,935,500,000","1,730,600,000","1,499,700,000","1,083,700,000","808,000,000","638,900,000","594,400,000","345,700,000","282,547,000","196,582,000","147,384,000","183,866,000","132,842,000","103,383,000","61,971,000","37,686,000","27,669,000","3,409,000"
	CashFlowFromContinuingOperatingActivities,"1,915,300,000","1,935,500,000","1,730,600,000","1,499,700,000","1,083,700,000","808,000,000","638,900,000","594,400,000","345,700,000","282,547,000","196,582,000","147,384,000","183,866,000","132,842,000","103,383,000","61,971,000","37,686,000","27,669,000","3,409,000"
		NetIncomeFromContinuingOperations,"1,312,900,000","1,147,800,000","856,600,000","606,700,000","488,500,000","331,700,000","334,900,000","31,400,000","32,200,000","7,987,000","25,343,000","44,273,000","66,836,000","62,492,000","41,245,000","60,179,000","7,363,000","-21,842,000","-5,344,000"
		OperatingGainsLosses,"33,300,000","42,100,000","68,100,000","7,600,000",,,,,,,,,,"22,000","14,000",,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,"22,000","14,000","0",,,
			EarningsLossesFromEquityInvestments,"33,300,000","42,100,000","68,100,000","7,600,000","0","0",,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"116,300,000","113,400,000","104,300,000","84,400,000","68,800,000","61,600,000","55,700,000","55,500,000","48,500,000","31,589,000","22,028,000","15,623,000","11,564,000","6,989,000","5,696,000","5,935,000","4,234,000","4,153,000","3,509,000"
			DepreciationAndAmortization,"116,300,000","113,400,000","104,300,000","84,400,000","68,800,000","61,600,000","55,700,000","55,500,000","48,500,000","31,589,000","22,028,000","15,623,000","11,564,000","6,989,000","5,696,000","5,935,000","4,234,000","4,153,000","3,509,000"
				Depreciation,"100,300,000","94,500,000","81,000,000","65,900,000","55,500,000",,,,,,,,,,,,,,
				AmortizationCashFlow,"16,000,000","18,900,000","23,300,000","18,500,000","13,300,000",,,,,,,,,,,,,,
					AmortizationOfIntangibles,"16,000,000","18,900,000","23,300,000","18,500,000","13,300,000",,,,,,,,,,,,,,
