name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008
TotalRevenue,"13,109,000,000","13,276,000,000","13,205,000,000","11,063,000,000","8,612,000,000","8,877,000,000","9,407,000,000","9,256,000,000","9,498,000,000","6,101,000,000","5,647,000,000","4,815,000,000","4,358,000,000","4,194,000,000","4,402,000,000","3,519,000,000","5,443,000,000"
	OperatingRevenue,"13,108,000,000","13,276,000,000","13,205,000,000","11,063,000,000","8,612,000,000","8,877,000,000","9,407,000,000","9,256,000,000","9,498,000,000","6,101,000,000","5,647,000,000","4,815,000,000","4,358,000,000","4,194,000,000","4,402,000,000","3,519,000,000","5,443,000,000"
CostOfRevenue,"5,632,000,000","5,723,000,000","5,688,000,000","4,996,000,000","4,377,000,000","4,259,000,000","4,556,000,000","4,637,000,000","5,429,000,000","3,314,000,000","3,007,000,000","2,638,000,000","2,370,000,000","2,288,000,000","2,579,000,000","2,621,000,000","4,225,000,000"
GrossProfit,"7,477,000,000","7,553,000,000","7,517,000,000","6,067,000,000","4,235,000,000","4,618,000,000","4,851,000,000","4,619,000,000","4,069,000,000","2,787,000,000","2,640,000,000","2,177,000,000","1,988,000,000","1,906,000,000","1,823,000,000","898,000,000","1,218,000,000"
OperatingExpense,"3,804,000,000","3,877,000,000","3,723,000,000","3,484,000,000","3,931,000,000","4,002,000,000","4,142,000,000","4,092,000,000","4,228,000,000","2,035,000,000","1,601,000,000","1,535,000,000","1,605,000,000","1,553,000,000","1,534,000,000","1,747,000,000","2,760,000,000"
	SellingGeneralAndAdministration,"1,181,000,000","1,159,000,000","1,066,000,000","956,000,000","879,000,000","924,000,000","993,000,000","1,090,000,000","1,141,000,000","922,000,000","686,000,000","664,000,000","977,000,000","918,000,000","966,000,000","983,000,000","1,561,000,000"
		GeneralAndAdministrativeExpense,,,,,,,,,,,,,,"633,000,000","701,000,000","712,000,000","1,161,000,000"
			OtherGandA,,,,,,,,,,,,,,"633,000,000","701,000,000","712,000,000","1,161,000,000"
		SellingAndMarketingExpense,,,,,,,,,,,,,,"285,000,000","265,000,000","271,000,000","400,000,000"
	ResearchAndDevelopment,"2,410,000,000","2,418,000,000","2,148,000,000","1,936,000,000","1,725,000,000","1,643,000,000","1,700,000,000","1,554,000,000","1,560,000,000","890,000,000","763,000,000","639,000,000","628,000,000","635,000,000","568,000,000","764,000,000","1,199,000,000"
	DepreciationAmortizationDepletionIncomeStatement,"213,000,000","300,000,000","509,000,000","592,000,000","1,327,000,000","1,435,000,000","1,449,000,000","1,448,000,000","1,527,000,000","223,000,000","152,000,000","232,000,000",,,,,
		DepreciationAndAmortizationInIncomeStatement,"213,000,000","300,000,000","509,000,000","592,000,000","1,327,000,000","1,435,000,000","1,449,000,000","1,448,000,000","1,527,000,000","223,000,000","152,000,000","232,000,000",,,,,
			Amortization,"213,000,000","300,000,000","509,000,000","592,000,000","1,327,000,000","1,435,000,000","1,449,000,000","1,448,000,000","1,527,000,000","223,000,000","152,000,000","232,000,000",,,,,
				AmortizationOfIntangiblesIncomeStatement,"213,000,000","300,000,000","509,000,000","592,000,000","1,327,000,000","1,435,000,000","1,449,000,000","1,448,000,000","1,527,000,000","223,000,000","152,000,000","232,000,000",,,,,
	OtherOperatingExpenses,,,,,,"-25,000,000","-2,001,000,000","-1,575,000,000",,,"-1,000,000","-7,000,000","-29,000,000","-4,000,000","-13,000,000",,
OperatingIncome,"3,673,000,000","3,676,000,000","3,794,000,000","2,583,000,000","304,000,000","616,000,000","709,000,000","527,000,000","-159,000,000","752,000,000","1,039,000,000","642,000,000","383,000,000","353,000,000","289,000,000","-849,000,000","-1,542,000,000"
NetNonOperatingInterestIncomeExpense,"-298,000,000","-309,000,000","-416,000,000","-381,000,000","-341,000,000","-324,000,000","-295,000,000","-295,000,000","-406,000,000","-305,000,000","-159,000,000","-222,000,000","-304,000,000","-353,000,000","-362,000,000","-359,000,000","-475,000,000"
	InterestIncomeNonOperating,"191,000,000","187,000,000","61,000,000","4,000,000","13,000,000","57,000,000","48,000,000","27,000,000","11,000,000","6,000,000","3,000,000","3,000,000","4,000,000","5,000,000","2,000,000","4,000,000","27,000,000"
	InterestExpenseNonOperating,"420,000,000","438,000,000","427,000,000","369,000,000","362,000,000","370,000,000","273,000,000","310,000,000","408,000,000","227,000,000","158,000,000","214,000,000","270,000,000","312,000,000","320,000,000","363,000,000","502,000,000"
	TotalOtherFinanceCost,"69,000,000","58,000,000","50,000,000","16,000,000","-8,000,000","11,000,000","70,000,000","12,000,000","9,000,000","84,000,000","4,000,000","11,000,000","38,000,000","46,000,000","44,000,000",,
OtherIncomeExpense,"-22,000,000","-15,000,000","-15,000,000","-22,000,000","38,000,000","-1,000,000","1,961,000,000","1,504,000,000","-38,000,000","1,039,000,000","-241,000,000","-43,000,000","-104,000,000","100,000,000","-282,000,000","959,000,000","-1,243,000,000"
	GainOnSaleOfSecurity,,,"-17,000,000","5,000,000","-16,000,000","-15,000,000","-14,000,000","-30,000,000","-15,000,000","-224,000,000","-248,000,000","62,000,000","28,000,000","128,000,000","-323,000,000","39,000,000",
	SpecialIncomeCharges,"0","0","-18,000,000","-22,000,000","-60,000,000","-11,000,000","-26,000,000","-41,000,000","-23,000,000","1,263,000,000","6,000,000","-112,000,000","-161,000,000","-32,000,000","28,000,000","920,000,000","-1,243,000,000"
		ImpairmentOfCapitalAssets,,,,,,,,,,,,,,"0","0","69,000,000","752,000,000"
		WriteOff,,,,,,,,,,,,,,,"0","0","26,000,000"
		OtherSpecialCharges,,,"18,000,000","22,000,000","60,000,000","11,000,000","26,000,000","41,000,000","32,000,000",,"3,000,000","114,000,000","161,000,000","32,000,000","-57,000,000","-989,000,000","465,000,000"
		GainOnSaleOfBusiness,,,,"-2,000,000","0","0","0","0","8,000,000","1,257,000,000","6,000,000","0","19,000,000",,"-37,000,000",,
