name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998
MarketCap,"37,486,612,724","37,871,689,599","29,391,166,696","46,578,000,000","43,433,500,000","33,986,960,000","36,627,960,000","41,876,633,068","33,993,657,337","36,552,180,000","32,090,898,680","30,684,186,720","22,288,812,264","19,429,126,520","22,275,835,890","13,473,481,230","5,258,843,829","9,775,127,280","10,996,303,080","7,004,923,420","5,679,712,410","2,936,340,680","1,475,018,280","789,131,943","679,601,948","1,010,705,224","278,322,306"
EnterpriseValue,"36,518,612,724","36,948,689,599","28,180,166,696","45,843,000,000","42,341,500,000","32,585,960,000","32,588,960,000","37,986,633,068","30,031,657,337","33,451,480,000","27,472,419,680","27,323,587,720","19,425,054,264","17,137,850,520","20,049,447,890","12,074,149,230","4,496,264,829","9,104,702,280","10,460,705,080","6,636,427,420","5,364,951,410","2,742,119,680","1,348,807,280","704,154,943","663,401,948","994,505,224","249,922,306"
PeRatio,"17.228","18.422","12.737","24.992","30.352","16.808","25.805","21.988","21.887","23.537","22.946","25.959","21.477","23.557","30.924","25.466","12.542","29.513","52.135","52.916","60.471","54.333","44.315","37.596","47.754","94.234","41.623"
ForwardPeRatio,"15.408","16.181","12.166","19.493","20.921","14.948",,"16.367","15.314","17.007","18.248","20.121","18.215","18.692","27.397",,,,,,,,,,,,
PegRatio,"1.305","1.519","1.187","1.31","2.733","1.681",,"1.136","1.416","1.14","1.087","1.157","1.074","0.894","1.349",,,,,,,,,,,,
PsRatio,"1.963","1.976","1.544","2.624","2.666","2.117","2.354","2.948","2.58","3.087","3.263","3.644","3.076","3.468","4.934","4.163","1.917","4.825","9.188","9.16","10.286","8.417","6.694","4.696","6.13","11.937","4.287"
PbRatio,"2.697","2.92","2.434","4.034","3.899","3.176","3.336","3.804","3.31","4.141","4.347","5.432","4.591","4.948","6.215","5.078","2.675","6.658","11.377","10.917","12.523","10.714","8.914","7.988","11.302","22.213","8.537"
EnterprisesValueRevenueRatio,"1.896","1.901","1.455","2.559","2.528","1.96","2.06","2.63","2.265","2.805","2.782","3.239","2.644","2.971","4.366","3.683","1.597","4.263","8.324","8.278","9.145","7.447","5.888","3.961","5.525","11.187","4.265"
EnterprisesValueEBITDARatio,"10.425","11.03","7.776","14.577","14.983","9.923","10.159","12.894","10.948","13.891","13.425","15.529","12.796","14.372","20.627","17.057","7.602","20.909","39.835","36.337","40.017","31.79","25.43","16.77","24.768","50.74","22.315"
