name,07/31/2024,07/31/2023,07/31/2022,07/31/2021,07/31/2020,07/31/2019,07/31/2018,07/31/2017,07/31/2016,07/31/2015,07/31/2014,07/31/2013,07/31/2012,07/31/2011,07/31/2010
TotalAssets,"19,990,900,000","14,501,100,000","12,253,600,000","10,241,600,000","9,065,400,000","6,592,200,000","5,948,900,000","3,438,300,000","2,858,200,000","1,965,200,000","1,478,466,000","585,606,000","407,804,000","91,172,000","38,119,000"
	CurrentAssets,"6,849,700,000","6,048,000,000","6,414,900,000","4,647,300,000","5,129,200,000","3,664,800,000","4,138,500,000","1,976,300,000","1,774,000,000","1,074,000,000","958,326,000","529,699,000","381,657,000","76,840,000","35,660,000"
		CashCashEquivalentsAndShortTermInvestments,"2,578,800,000","2,390,000,000","3,634,500,000","2,901,100,000","3,747,800,000","2,803,100,000","3,403,400,000","1,375,000,000","1,285,600,000","789,000,000","772,502,000","419,621,000","322,642,000","40,517,000","18,835,000"
			CashAndCashEquivalents,"1,535,200,000","1,135,300,000","2,118,500,000","1,874,200,000","2,958,000,000","961,400,000","2,506,900,000","744,300,000","734,400,000","375,800,000","653,812,000","310,614,000","322,642,000","40,517,000","18,835,000"
				CashFinancial,"1,041,200,000","659,200,000",,,,,,,,,,,,,
				CashEquivalents,"494,000,000","476,100,000",,,,,,,,,,,,,
			OtherShortTermInvestments,"1,043,600,000","1,254,700,000","1,516,000,000","1,026,900,000","789,800,000","1,841,700,000","896,500,000","630,700,000","551,200,000","413,200,000","118,690,000","109,007,000","0",,
		Receivables,"3,344,500,000","2,852,000,000","2,253,800,000","1,240,400,000","1,037,100,000","582,400,000","467,000,000","432,100,000","348,700,000","212,400,000","135,518,000","87,461,000","45,642,000","29,677,000","14,241,000"
			AccountsReceivable,"2,618,600,000","2,463,200,000","2,142,500,000","1,240,400,000","1,037,100,000","582,400,000","467,000,000","432,100,000","348,700,000","212,400,000","135,518,000","87,461,000","45,642,000","29,677,000","14,241,000"
				GrossAccountsReceivable,"2,626,100,000","2,471,000,000","2,151,400,000","1,251,600,000","1,039,400,000","583,200,000","468,200,000","432,800,000","351,100,000","213,100,000","135,989,000","87,512,000","45,806,000","29,708,000","14,247,000"
