name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998
			CurrentDebt,"33,000,000","8,000,000","38,000,000","38,000,000","38,000,000","9,000,000","175,000,000","81,000,000","406,000,000","700,000,000",,,,,,,,,,,,,,,,
				LineOfCredit,,,,,,,"75,000,000","0","350,000,000","650,000,000",,,,,,,,,,,,,,,,
				OtherCurrentBorrowings,"33,000,000","8,000,000","38,000,000","38,000,000","38,000,000","9,000,000","175,000,000","81,000,000","406,000,000","700,000,000",,,,,,,,,,,,,,,,
			CurrentCapitalLeaseObligation,"153,000,000","174,000,000","195,000,000","211,000,000","202,000,000","0",,,,,,,,,,,,,,,,,,,,
		CurrentDeferredLiabilities,"385,000,000","398,000,000","403,000,000","383,000,000","313,000,000","286,000,000","383,000,000","306,000,000","324,000,000","224,100,000","182,893,000","150,150,000","105,786,000","84,590,000","51,605,000","38,123,000","29,020,000","19,401,000","19,867,000","15,044,000",,,,,,
			CurrentDeferredTaxesLiabilities,,,,,,,,,,,"0","454,000","73,000",,,,,,,,,,,,,
			CurrentDeferredRevenue,"385,000,000","398,000,000","403,000,000","383,000,000","313,000,000","286,000,000","383,000,000","306,000,000","324,000,000","224,100,000","182,893,000","149,696,000","105,713,000","84,590,000","51,605,000","38,123,000","29,020,000","19,401,000","19,867,000","15,044,000",,,,,,
		OtherCurrentLiabilities,"500,000,000","357,000,000","395,000,000","469,000,000","388,000,000","394,000,000","330,000,000","319,000,000","194,000,000","281,900,000","313,156,000","222,359,000","215,324,000",,,,"52,237,000",,,"9,566,000",,,,"23,865,000","11,800,000","11,300,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"1,923,000,000","2,196,000,000","2,332,000,000","2,547,000,000","2,199,000,000","1,712,000,000","1,713,000,000","1,116,000,000","1,069,000,000","1,146,700,000","224,419,000","289,858,000","345,342,000","67,917,000","38,455,000","21,405,000","29,412,000","2,979,000","1,953,000","4,156,000","28,594,000","24,505,000","24,493,000","16,702,000","10,300,000","6,100,000"
		LongTermDebtAndCapitalLeaseObligation,"1,129,000,000","1,352,000,000","1,409,000,000","1,509,000,000","1,445,000,000","736,000,000","698,000,000","797,000,000","877,000,000","937,500,000",,,,,,,,,,,,,,,,
