name,09/30/2023,09/30/2022,09/30/2021,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991,09/30/1990,09/30/1989,09/30/1988,09/30/1987,09/30/1986
TotalAssets,"1,575,281,000","1,442,034,000","1,567,776,000","1,606,240,000","1,433,448,000","1,330,467,000","1,255,620,000","1,220,676,000","1,230,163,000","1,192,298,000","1,161,547,000","1,158,611,000","1,129,468,000","1,123,716,000","1,303,888,000","1,275,253,000","1,275,771,000","1,321,205,000","1,351,061,000","1,444,779,000","1,495,173,000","1,217,800,000","317,013,000","241,288,000","210,400,000","189,600,000","145,200,000","118,000,000","88,300,000","70,900,000","54,200,000","41,900,000","31,400,000","27,600,000","25,900,000","24,500,000","21,300,000","9,600,000"
	CurrentAssets,"556,448,000","484,715,000","550,974,000","534,078,000","455,706,000","396,389,000","310,931,000","267,638,000","286,602,000","288,527,000","249,188,000","259,325,000","364,481,000","347,175,000","442,558,000","351,702,000","422,751,000","413,310,000","412,680,000","466,101,000","667,872,000","433,461,000","134,261,000","137,212,000","101,300,000","102,600,000","81,800,000","65,400,000","47,800,000","38,300,000","32,000,000","24,700,000","24,600,000","24,400,000","20,800,000","21,900,000","19,400,000","7,700,000"
		CashCashEquivalentsAndShortTermInvestments,"136,778,000","133,202,000","195,354,000","157,394,000","106,426,000","90,023,000","105,618,000","75,926,000","86,120,000","105,075,000","83,178,000","93,617,000","241,578,000","214,814,000","317,830,000","186,727,000","220,611,000","227,295,000","228,968,000","299,305,000","505,351,000","281,211,000","38,408,000","58,615,000","25,900,000","14,200,000","13,200,000","11,500,000","9,100,000","11,000,000","5,200,000","6,100,000","5,400,000","3,300,000","13,500,000","14,300,000","10,100,000","700,000"
			CashAndCashEquivalents,"136,778,000","133,202,000","195,354,000","157,394,000","106,426,000","90,023,000","105,618,000","75,926,000","86,120,000","105,075,000","83,178,000","71,609,000","135,752,000","146,199,000","178,157,000","129,678,000","95,284,000","75,154,000","82,880,000","159,870,000","249,458,000","96,834,000","24,608,000","39,506,000","20,700,000","14,200,000","13,200,000","11,500,000","9,100,000","11,000,000","5,200,000","6,100,000","5,400,000","3,300,000","13,500,000","14,300,000","10,100,000","700,000"
				CashFinancial,"113,157,000","113,888,000","195,160,000","122,119,000","77,525,000","71,610,000","90,323,000","75,486,000","85,681,000","94,749,000","82,493,000","70,965,000","68,248,000",,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,"23,621,000","19,314,000","194,000","35,275,000","28,901,000","18,413,000","15,295,000","440,000","439,000","10,326,000","685,000","644,000","67,504,000",,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,,,,,,,,,,,"0","22,008,000","105,826,000","68,615,000","139,673,000","57,049,000","125,327,000","152,141,000","146,088,000","139,435,000","255,893,000","184,377,000","13,800,000","19,109,000","5,200,000",,,,,,,,,,,,,
		Receivables,"387,947,000","322,410,000","312,107,000","334,180,000","297,427,000","266,742,000","168,586,000","167,786,000","158,773,000","155,295,000","143,733,000","142,595,000","104,974,000","113,187,000","101,742,000","141,571,000","177,402,000","165,806,000","156,375,000","140,845,000","138,712,000","126,743,000","80,071,000","41,625,000","62,900,000","61,000,000","54,300,000","38,800,000","30,400,000","14,200,000","11,000,000","12,200,000","8,000,000","6,700,000","6,900,000","3,700,000","4,400,000","4,000,000"
			AccountsReceivable,"387,947,000","322,410,000","312,107,000","334,180,000","169,776,000","193,521,000","123,946,000","122,539,000","112,338,000","120,156,000","112,483,000","110,108,000","77,144,000","113,187,000","101,742,000","141,571,000","177,402,000","165,806,000","156,375,000","140,845,000","138,712,000","126,743,000","51,619,000","41,625,000",,,,,,,,,,,,,,
				GrossAccountsReceivable,,,"160,853,000","157,702,000","172,344,000","196,960,000","126,887,000","124,731,000","114,464,000","123,083,000","115,640,000","113,514,000","80,858,000",,,,,,,,,,,,,,,,,,,,,,,,,
