name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997
TotalAssets,"5,532,196,600,000","4,964,459,100,000","3,725,302,200,000","2,760,600,500,000","2,264,725,000,000","2,090,031,200,000","1,991,732,000,000","1,886,296,700,000","1,657,397,400,000","1,494,853,000,000","1,262,800,700,000","961,343,700,000","779,541,600,000","718,928,900,000","594,696,200,000","558,916,600,000","570,928,174,920","593,955,933,097.67","521,064,239,055","500,253,548,760","406,723,291,080","391,200,014,670","390,738,832,490.16","370,885,929,110.48","235,465,766,232.07","140,530,597,620","124,960,770,773.44"
	CurrentAssets,"2,194,032,900,000","2,052,896,700,000","1,607,072,900,000","1,092,185,300,000","822,613,900,000","951,679,700,000","857,203,100,000","817,729,100,000","746,744,000,000","626,565,600,000","358,486,700,000","250,325,400,000","224,392,200,000","261,519,300,000","259,803,700,000","252,618,400,000","249,854,047,920","279,790,616,810.21","212,890,386,840","184,754,351,880","166,247,890,560","102,713,047,330","76,702,493,562.64","93,194,296,807.44","59,665,313,777.21","28,492,723,644","34,419,463,360.8"
		CashCashEquivalentsAndShortTermInvestments,"1,714,803,200,000","1,586,500,100,000","1,204,913,700,000","799,893,200,000","594,463,700,000","713,756,000,000","656,577,200,000","636,204,300,000","590,466,200,000","440,401,000,000","245,844,400,000","151,391,500,000","151,239,300,000","182,595,800,000","197,647,100,000","213,361,900,000","173,217,869,930","209,695,360,839.8","144,313,586,320","128,621,231,760","116,400,688,080","68,069,567,770","43,020,740,460.72","41,191,784,619.36","33,648,397,859.54","15,557,594,129","17,913,559,390.72"
			CashAndCashEquivalents,"1,465,427,800,000","1,342,814,100,000","1,064,990,200,000","660,170,600,000","455,399,300,000","577,814,600,000","553,391,700,000","541,253,800,000","562,688,900,000","358,449,000,000","242,695,400,000","143,410,600,000","143,472,300,000","147,887,000,000","171,276,300,000","194,613,800,000","94,992,537,170","141,502,415,417.99","96,772,432,405","74,421,550,560","102,818,344,080","67,895,654,720","40,522,663,177.92","38,840,228,525.5","32,682,881,975.5","9,661,881,299","12,852,879,555.04"
				CashFinancial,"1,453,101,600,000","1,329,291,400,000","1,058,808,100,000","653,580,600,000","452,734,400,000","575,825,500,000","551,919,800,000","536,895,300,000","557,270,900,000","352,761,200,000","238,014,600,000","140,072,300,000","139,637,400,000","146,622,900,000","167,449,000,000",,,,,,,,,,,,
				CashEquivalents,"12,326,200,000","13,522,700,000","6,182,100,000","6,590,000,000","2,664,900,000","1,989,100,000","1,471,900,000","4,358,500,000","5,418,000,000","5,687,800,000","4,680,800,000","3,338,300,000","3,834,900,000","1,264,100,000","3,827,300,000",,,,,,,,,,,,
			OtherShortTermInvestments,"249,375,400,000","243,686,000,000","139,923,500,000","139,722,600,000","139,064,400,000","135,941,400,000","103,185,500,000","94,950,500,000","27,777,300,000","81,952,000,000","3,149,000,000","7,980,900,000","7,767,000,000","34,708,800,000","26,370,800,000","18,748,100,000","78,225,332,760","68,192,945,421.81","47,541,153,915","54,199,681,200","13,582,344,000","173,913,050","2,498,077,282.8","2,351,556,093.86","965,515,884.04","5,895,712,830","5,060,679,835.68"
		Receivables,"202,010,200,000","231,408,900,000","198,362,900,000","146,089,000,000","139,822,300,000","129,262,800,000","122,488,400,000","129,451,600,000","85,690,400,000","115,226,300,000","72,163,200,000","58,317,000,000","46,138,300,000","43,106,900,000","35,503,600,000","18,596,900,000","42,680,156,680","38,781,686,329.87","38,497,055,445","27,733,755,000","26,349,747,360","16,765,218,020","20,837,275,727.84","28,004,169,833.08","13,664,670,785.53","7,438,907,609","9,328,269,274.24"
			AccountsReceivable,,,"197,586,100,000","145,480,300,000","135,978,000,000","125,025,600,000","121,605,000,000","128,335,300,000","85,059,700,000","114,734,700,000","71,649,900,000","57,777,600,000","45,830,300,000","50,504,700,000","44,593,500,000","400,000","42,323,407,650","1,186,712,022.43","37,820,841,190","26,941,362,000","25,297,115,700","16,243,478,870","20,486,086,866.08","28,004,169,833.08","13,664,670,785.53","7,438,907,609","9,328,269,274.24"
				GrossAccountsReceivable,,,"197,933,100,000","145,726,900,000",,"125,025,600,000","121,605,000,000","128,815,400,000","85,547,900,000","115,221,400,000","72,136,500,000","58,257,800,000","46,321,300,000","51,008,700,000","44,593,500,000",,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,"-347,000,000","-246,600,000",,"-7,300,000","-471,800,000","-480,100,000","-488,200,000","-486,700,000","-486,600,000","-480,200,000","-491,000,000","-504,000,000",,,,,,,,,,,,,
			LoansReceivable,,,,,,,,,,,,,,,,"20,826,487.9","97,295,190","37,594,974,307.44","76,523,395",,,"69,565,220","176,573,452",,,,
			NotesReceivable,"201,313,900,000","229,755,900,000","197,586,100,000","145,480,300,000","138,908,600,000","128,613,400,000","0",,,,,,"12,600,000","21,200,000","44,100,000","18,496,600,000",,,,,,,,,,,
			DuefromRelatedPartiesCurrent,"696,300,000","1,653,000,000","776,800,000","608,700,000","913,700,000","649,400,000","1,355,200,000","1,116,300,000","630,700,000","491,600,000","513,300,000","539,400,000","308,000,000","127,300,000","133,800,000",,,,,,,,,,,,
			OtherReceivables,,,,,"51,600,000","65,000,000","171,100,000","146,800,000","125,000,000","178,600,000","221,600,000","185,600,000","122,300,000","124,600,000","121,300,000","99,900,000","259,453,840","493,792,635.38","599,690,860","792,393,000","1,052,631,660","452,173,930","174,615,409.76",,,,
			ReceivablesAdjustmentsAllowances,,,,,"-325,300,000","-7,300,000","-471,800,000","-480,100,000","-488,200,000","-486,700,000","-486,600,000","-480,200,000","-491,000,000","-7,546,300,000","-9,267,800,000",,,,,,,,,,,,
		Inventory,"250,997,100,000","221,149,100,000","193,102,300,000","137,353,400,000","82,981,200,000","103,231,000,000","73,880,700,000","48,682,200,000","67,052,300,000","66,338,000,000","37,494,900,000","37,830,500,000","24,840,600,000","28,405,900,000","20,913,800,000","14,876,600,000","23,869,753,280","20,058,362,567.87","17,781,347,005","15,594,294,240","12,122,242,020","11,234,783,030","10,955,840,738.48","12,785,727,402.82","7,104,956,621.81","4,049,678,157","4,890,321,222.08"
			RawMaterials,"59,987,600,000","40,668,800,000","22,839,100,000","23,974,900,000","22,087,600,000","19,829,300,000","10,595,200,000","6,829,500,000","5,445,400,000","5,338,100,000","4,216,100,000","5,872,500,000","3,551,800,000","3,911,500,000","2,868,300,000","1,487,300,000","1,861,581,302","1,299,944,793.18","1,770,594,170","982,567,320","475,382,040","521,739,150","810,559,557.28","770,893,974.98","632,808,566.16","557,354,273",
			WorkInProcess,"156,498,500,000","125,661,900,000","137,700,400,000","91,672,900,000","51,969,100,000","72,071,900,000","53,362,200,000","33,330,800,000","53,632,000,000","51,027,900,000","26,033,600,000","25,713,200,000","17,941,000,000","19,376,400,000","15,302,000,000","7,606,600,000","17,328,273,339","14,444,558,766.33","13,399,190,560","11,442,154,920","9,066,214,620","7,617,391,590","10,245,421,055.76","9,455,495,894.48","5,925,306,646.07","2,435,605,956",
			FinishedGoods,"34,511,000,000","54,818,400,000","32,562,800,000","21,705,600,000","8,924,500,000","11,329,800,000","9,923,300,000","8,521,900,000","7,974,900,000","9,972,000,000","7,245,200,000","6,244,800,000","3,347,800,000","5,118,000,000","2,743,500,000","5,782,700,000","4,316,663,263","4,300,010,396.11","2,972,869,770","3,518,224,920","2,886,248,100","3,860,869,710","2,668,566,817.84","1,762,284,620.18","905,727,639.11","499,363,655",
			OtherInventories,,,,,,,,,,,,,,,,"1,167,170,254.85","1,287,539,681","1,042,979,719.76","1,329,540,550","1,236,133,080","1,052,631,660","973,913,080","1,409,056,146.96","1,364,668,759.54","969,967,866.62","673,335,509",
			InventoriesAdjustmentsAllowances,,,,,,,,,,,,,,,,"-2,305,794,424.55","-930,790,651","-1,029,131,107.51","-1,690,848,045","-1,584,786,000","-1,358,234,400","-1,739,130,500","-4,177,762,839.36","-567,615,846.36","-1,328,854,096.15","-115,981,236",
		PrepaidAssets,,,,,,,,,,,,"2,786,400,000","2,174,000,000","2,037,600,000","1,368,900,000","1,813,700,000","1,362,132,660","1,397,308,683.54","1,507,908,790","1,679,873,160","1,629,881,280","3,269,565,340","2,975,804,624.32","3,034,635,506.68","2,630,306,553.04","1,034,166,021","1,468,154,778.72"
		CurrentDeferredAssets,,,,,,,,,,,,"8,001,200,000","5,936,500,000","5,373,100,000","4,370,300,000","3,969,300,000","5,578,257,560","6,260,517,701.13","7,170,705,790","8,938,193,040","8,387,097,420","3,408,695,780","2,700,419,969.28","8,178,012,558.08","2,616,950,605.3","412,377,728","819,126,028"
			CurrentDeferredTaxesAssets,,,,,,,,,,,,"8,001,200,000","5,936,500,000","5,373,100,000","4,370,300,000","3,969,300,000","5,578,257,560","6,260,517,701.13","7,170,705,790","8,938,193,040","8,387,097,420","3,408,695,780","2,700,419,969.28","8,178,012,558.08","2,616,950,605.3","412,377,728","819,126,028"
		AssetsHeldForSaleCurrent,,,,,,,,,"0","944,200,000","0",,,,,,,,,,,,,,,,
		HedgingAssetsCurrent,"0","949,800,000","172,500,000","2,259,500,000","25,900,000","23,500,000","34,400,000","5,600,000","1,700,000","0",,,,,,,,,,,,,,,,,
		OtherCurrentAssets,"26,222,400,000","12,888,800,000","10,521,500,000","6,590,200,000","5,320,800,000","5,406,400,000","4,222,400,000","3,385,400,000","3,533,400,000","3,656,100,000","2,984,200,000","2,786,400,000","2,174,000,000",,,"1,918,402,040","3,145,877,810","3,597,380,688","3,619,783,490","2,187,004,680","1,358,234,400","-34,782,610","-3,787,587,958","-33,112.58","31,351.99",,"32,667.04"
	TotalNonCurrentAssets,"3,338,163,700,000","2,911,562,400,000","2,118,229,300,000","1,668,415,200,000","1,442,111,100,000","1,138,351,500,000","1,134,528,900,000","1,068,567,600,000","910,653,400,000","868,287,400,000","904,314,000,000","711,018,300,000","555,149,400,000","457,409,600,000","334,892,500,000","306,298,200,000","321,074,127,000","314,165,316,287.46","308,173,852,215","315,499,196,880","240,475,400,520","288,486,967,340","314,036,338,927.52","277,691,632,303.04","175,800,452,454.86","112,037,873,976","90,541,307,412.64"
		NetPPE,"3,104,899,700,000","2,735,751,000,000","2,007,853,100,000","1,583,317,600,000","1,369,609,800,000","1,072,050,300,000","1,062,542,300,000","997,777,700,000","853,470,300,000","818,198,800,000","792,665,900,000","617,562,200,000","490,422,200,000","388,444,000,000","273,674,800,000","243,645,400,000","260,264,633,250","251,219,919,604.39","245,555,945,235","259,334,381,040","211,511,051,940","246,921,748,390","265,614,828,458.32","244,747,860,235.88","150,079,185,802.89","98,538,946,786","79,332,331,311.52"
