name,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018
		NonCurrentDeferredAssets,"335,933,000","260,233,000","192,358,000","117,906,000","71,235,000","9,918,000","6,718,000"
		OtherNonCurrentAssets,"76,094,000","28,965,000","25,346,000","17,112,000","16,708,000","9,183,000","6,463,000"
TotalLiabilitiesNetMinorityInterest,"4,309,431,000","3,539,106,000","2,580,738,000","1,860,659,000","662,299,000","921,012,000","587,177,000"
	CurrentLiabilities,"2,697,279,000","2,109,072,000","1,406,830,000","863,553,000","493,096,000","281,420,000","165,890,000"
		PayablesAndAccruedExpenses,"366,385,000","334,548,000","220,815,000","129,596,000","61,950,000","58,680,000","52,088,000"
			Payables,"28,180,000","45,372,000","47,634,000","17,541,000","1,345,000","6,855,000","12,261,000"
				AccountsPayable,"28,180,000","45,372,000","47,634,000","12,065,000","1,345,000","6,855,000","12,261,000"
				TotalTaxPayable,,,"10,695,000","5,476,000",,,
					IncomeTaxPayable,,,"5,781,000","2,639,000",,,
			CurrentAccruedExpenses,"338,205,000","289,176,000","173,181,000","112,055,000","60,605,000","51,825,000","39,827,000"
				InterestPayable,"10,375,000","10,375,000","10,375,000","687,000",,,
		PensionandOtherPostRetirementBenefitPlansCurrent,"22,315,000","17,475,000","14,764,000","10,969,000","6,560,000",,
		CurrentDebtAndCapitalLeaseObligation,"14,150,000","13,046,000","9,820,000","8,977,000",,,
			CurrentCapitalLeaseObligation,"14,150,000","13,046,000","9,820,000","8,977,000","0",,
		CurrentDeferredLiabilities,"2,270,757,000","1,727,484,000","1,136,502,000","704,359,000","412,985,000","218,700,000","109,003,000"
			CurrentDeferredRevenue,"2,270,757,000","1,727,484,000","1,136,502,000","704,359,000","412,985,000","218,700,000","109,003,000"
		OtherCurrentLiabilities,"23,672,000","16,519,000","24,929,000","9,652,000","11,601,000","4,040,000","4,799,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"1,612,152,000","1,430,034,000","1,173,908,000","997,106,000","169,203,000","639,592,000","421,287,000"
		LongTermDebtAndCapitalLeaseObligation,"778,724,000","770,572,000","764,896,000","770,015,000","0",,"15,971,000"
