name,ttm,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015
FinancingCashFlow,"-7,374,000,000","-7,094,000,000","-1,625,000,000","-16,609,000,000","-5,950,000,000","-4,604,000,000","-14,329,000,000","403,000,000","31,785,000,000","-496,000,000","-3,094,000,000"
	CashFlowFromContinuingFinancingActivities,"-7,374,000,000","-7,094,000,000","-1,625,000,000","-16,609,000,000","-5,950,000,000","-4,604,000,000","-14,329,000,000","403,000,000","31,785,000,000","-496,000,000","-3,094,000,000"
		NetIssuancePaymentsOfDebt,"-2,505,000,000","-3,471,000,000","2,654,000,000","-6,298,000,000","-4,528,000,000","-1,636,000,000","1,594,000,000","2,157,000,000","29,897,000,000","-490,000,000","-3,117,000,000"
			NetLongTermDebtIssuance,"-2,505,000,000","-3,471,000,000","2,654,000,000","-6,298,000,000","-4,528,000,000","-1,636,000,000","1,594,000,000","2,157,000,000","29,897,000,000","-490,000,000","-3,117,000,000"
				LongTermDebtIssuance,"8,053,000,000","7,775,000,000","12,479,000,000","20,425,000,000","16,391,000,000","20,481,000,000","13,045,000,000","14,415,000,000","46,857,000,000","5,460,000,000","2,936,000,000"
				LongTermDebtPayments,"-10,558,000,000","-11,246,000,000","-9,825,000,000","-26,723,000,000","-20,919,000,000","-22,117,000,000","-11,451,000,000","-12,258,000,000","-16,960,000,000","-5,950,000,000","-6,053,000,000"
		NetCommonStockIssuance,"-3,593,000,000","-2,442,000,000","-3,276,000,000","-1,504,000,000","-1,152,000,000","-2,897,000,000","-13,685,000,000","-1,700,000,000","3,171,000,000","-2,000,000","28,000,000"
			CommonStockIssuance,"7,000,000","10,000,000","5,000,000","334,000,000","452,000,000","658,000,000","805,000,000","132,000,000","4,586,000,000","0","28,000,000"
			CommonStockPayments,"-3,600,000,000","-2,452,000,000","-3,281,000,000","-1,838,000,000","-1,604,000,000","-3,555,000,000","-14,490,000,000","-1,832,000,000","-1,415,000,000","-2,000,000","0"
		CashDividendsPaid,"-1,179,000,000","-1,072,000,000","-964,000,000","0","0","0","-2,134,000,000","0","0",,
			CommonStockDividendPaid,"-1,179,000,000","-1,072,000,000","-964,000,000","0","0","0","-2,134,000,000","0","0",,
		ProceedsFromStockOptionExercised,,,,,,,,,"0",,"0"
		NetOtherFinancingCharges,"-97,000,000","-109,000,000","-39,000,000","-8,807,000,000","-270,000,000","-71,000,000","-104,000,000","-54,000,000","-1,283,000,000","-4,000,000","-5,000,000"
EndCashPosition,"4,837,000,000","7,507,000,000","8,894,000,000","10,082,000,000","15,184,000,000","10,151,000,000","10,240,000,000","14,378,000,000","9,832,000,000","6,576,000,000","5,398,000,000"
	ChangesInCash,"-3,813,000,000","-1,201,000,000","-1,084,000,000","-4,996,000,000","4,997,000,000","1,000,000","-3,949,000,000","4,371,000,000","2,916,000,000","1,345,000,000","-898,000,000"
	EffectOfExchangeRateChanges,"-166,000,000","-186,000,000","-104,000,000","-106,000,000","36,000,000","-90,000,000","-189,000,000","175,000,000","24,000,000","-167,000,000","-153,000,000"
	BeginningCashPosition,"8,650,000,000","8,894,000,000","10,082,000,000","15,184,000,000","10,151,000,000","10,240,000,000","14,378,000,000","9,832,000,000","6,892,000,000","5,398,000,000","6,449,000,000"
IncomeTaxPaidSupplementalData,"1,379,000,000","1,379,000,000","1,208,000,000","1,257,000,000","1,421,000,000","1,414,000,000","747,000,000","924,000,000","978,000,000","264,000,000","557,000,000"
InterestPaidSupplementalData,"1,438,000,000","1,438,000,000","1,169,000,000","1,825,000,000","2,279,000,000","2,500,000,000","2,347,000,000","2,192,000,000","1,575,000,000","585,000,000","724,000,000"
CapitalExpenditure,"-2,709,000,000","-2,756,000,000","-3,003,000,000","-2,796,000,000","-2,082,000,000","-2,576,000,000","-1,497,000,000","-1,581,000,000","-906,000,000","-482,000,000","-478,000,000"
IssuanceOfCapitalStock,"7,000,000","10,000,000","5,000,000","334,000,000","452,000,000","658,000,000","805,000,000","132,000,000","4,586,000,000","0","28,000,000"
IssuanceOfDebt,"8,053,000,000","7,775,000,000","12,479,000,000","20,425,000,000","16,391,000,000","20,481,000,000","13,045,000,000","14,415,000,000","46,857,000,000","5,460,000,000","2,936,000,000"
RepaymentOfDebt,"-10,558,000,000","-11,246,000,000","-9,825,000,000","-26,723,000,000","-20,919,000,000","-22,117,000,000","-11,451,000,000","-12,258,000,000","-16,960,000,000","-5,950,000,000","-6,053,000,000"
RepurchaseOfCapitalStock,"-3,600,000,000","-2,452,000,000","-3,281,000,000","-1,838,000,000","-1,604,000,000","-3,555,000,000","-14,490,000,000","-1,832,000,000","-1,415,000,000","-2,000,000","0"
FreeCashFlow,"3,359,000,000","5,920,000,000","562,000,000","7,511,000,000","9,325,000,000","6,715,000,000","5,494,000,000","5,262,000,000","1,461,000,000","1,680,000,000","2,073,000,000"
