name,ttm,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020
MarketCap,"73,498,705,772","70,745,568,952","24,968,784,300","41,674,731,840","47,748,714,875","13,008,993,320"
EnterpriseValue,"70,252,142,772","68,374,097,952","23,271,273,300","40,543,969,840","46,731,440,875","12,175,305,320"
PeRatio,"434.551",,,,,
ForwardPeRatio,"82.645","78.74","50","200","769.231",
PegRatio,"0.204","2.315","1.225","3.934","30.719",
PsRatio,"21.174","24.695","12.063","31.638","60.743","30.634"
PbRatio,"25.763","34.868","18.998","43.952","59.349","18.143"
EnterprisesValueRevenueRatio,"19.979","24.011","11.436","31.539","61.358","29.713"
EnterprisesValueEBITDARatio,"165.531","409.254","-571.018","-614.47","-1,012.555","-105.116"
