name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
FinancingCashFlow,"32,201,858","32,201,858","33,025,690","1,227,436,008","-310,686,195","40,922,800","-18,357,011","44,073,433","190,092,342","257,936,935","100,221,650","-38,688,942","-7,084,645","-21,571,301","-507,069","-356,548,190","-235,734,143","1,174,645,321","57,991,028.973","39,489,926.697","821,862,347.898","1,527,442.847","6,340,073.857","11,876,735.216"
	CashFlowFromContinuingFinancingActivities,"32,201,858","32,201,858","33,025,690","1,227,436,008","-310,686,195","40,922,800","-18,357,011","44,073,433","190,092,342","257,936,935","100,221,650","-38,688,942","-7,084,645","-21,571,301","-507,069","-356,548,190","-235,734,143","1,174,645,321","57,991,028.973","39,489,926.697","821,862,347.898","1,527,442.847","6,340,073.857","11,876,735.216"
		NetIssuancePaymentsOfDebt,"32,201,858","32,201,858","33,025,690","155,209,438","-358,116,390","40,922,800","-18,357,011","24,073,433","129,409,961","272,191,755","-19,469,853","-13,995,293",,,,,,,,,"-10,386,296.792","1,527,451.125","-1,936,656.816","13,556,688.771"
			NetLongTermDebtIssuance,"-10,243,883","-10,243,883","-678,770","-6,378,690","-42,545,136","40,922,800","-18,357,011","24,073,433","129,409,961","272,191,755","-19,469,853","-13,995,293",,,,,,,,,,,,
				LongTermDebtIssuance,"1,433,516","1,433,516","2,466,480","0","0","50,946,376","11,030,602","93,812,327","164,192,547","321,693,240","0",,,,,,,,,,,,,
				LongTermDebtPayments,"-11,677,399","-11,677,399","-3,145,250","-6,378,690","-42,545,136","-10,023,576","-29,387,613","-69,738,894","-34,782,586","-49,501,485","-19,469,853","-13,995,293",,,,,,,,,,,,
			NetShortTermDebtIssuance,"42,445,741","42,445,741","33,704,460","161,588,128","-315,571,254","0","0","-25,528,388",,,,,,,,,,,,,,,,
				ShortTermDebtIssuance,"85,348,800","85,348,800","33,704,460","161,588,128","3,358,369","0","0",,,,,,,,,,,,,,,,,
				ShortTermDebtPayments,"-42,903,059","-42,903,059","0","0","-318,929,623","0","0","-25,528,388",,,,,,,,,,,,,,,,
		NetCommonStockIssuance,"0","0","0","1,011,476,118","47,430,195","0","0",,,,"0","-29,030,699","-839,541","-21,087,153","0",,"0","1,251,846,347","57,991,028.973","3,833,208.992","813,208,576.842",,,"4,113,361.396"
			CommonStockIssuance,"0","0","0","1,011,476,118","47,430,195","0","0",,,,,,,,,,"0","1,251,846,347","57,991,028.973","3,833,208.992","813,208,576.842",,,"4,113,361.396"
			CommonStockPayments,,,,,,,,,,,"0","-29,030,699","-839,541","-21,087,153","0","0",,"-107,481,577.886",,,,,,
		CashDividendsPaid,,,,,,,,,,,,,,"0","0","-201,028,477","0",,,,,,,
		ProceedsFromStockOptionExercised,"0","0","0","64,471,143","0","0","0","0","3,182,381","84,059","1,429,323","4,337,050","921,545","716,873","85,004","1,460,883","8,845,707","30,126,359",,,,,,
		NetOtherFinancingCharges,,,,"-3,720,691",,,,"20,000,000","57,500,000","-14,338,879","118,262,180","-13,962,690","-7,166,649","-1,201,021","-592,073","-156,980,596","-244,579,850","-107,327,385",,"35,656,717.706","19,040,067.848","-8.278","8,276,730.673","-5,793,314.951"
EndCashPosition,"45,221,538","45,221,538","58,063,733","428,420,773","31,696,237","10,113,141","4,256,449","142,624,020","38,878,076","49,010,541","181,482,300","156,987,201","554,278,809","1,071,725,828","1,416,189,294","1,675,081,345","2,152,585,574","2,215,281,857","937,052,671.313","488,444,319.877","793,563,459.01","62,765,636.943","5,627,993.415","1,729,911.768"
	ChangesInCash,"-9,386,158","-9,386,158","-370,607,964","397,669,586","21,323,759","47,626,857","-136,872,987","119,345,174","338,562","-126,645,692","28,876,061","-399,190,386","-518,447,230","-333,756,938","-255,172,959","-478,909,395","-30,612,588","1,329,655,797","451,741,129.155","-295,399,378.081","730,660,942.857","57,271,023.158","3,902,477.308","-3,027,144.851"
	EffectOfExchangeRateChanges,"-3,456,037","-3,456,037","250,924","-945,050","259,337","1,257,310","-1,494,584","4,527,918","-10,471,027","-5,826,067","-4,380,962","1,898,778","1,000,211","-10,706,528","-3,719,092","1,405,166","-32,083,695","-52,219,757","-2,520,214.38","-9,886,008.824","124,395.76","-133,435.5","-4,395.66","-5,951.94"
	BeginningCashPosition,"58,063,733","58,063,733","428,420,773","31,696,237","10,113,141","4,256,449","142,624,020","38,878,076","49,010,541","181,482,300","156,987,201","554,278,809","1,071,725,828","1,416,189,294","1,675,081,345","2,152,585,574","2,215,281,857","937,845,817","487,831,756.538","793,729,706.781","62,778,120.393","5,628,041.006","1,729,911.768","4,763,025.114"
	OtherCashAdjustmentOutsideChangeinCash,,,,"0","0","-43,027,475","0","-20,127,148","0","0",,,,,,,,,,,,"8.278",,"-16.556"
IncomeTaxPaidSupplementalData,"0","0","0","0","7,165,097","0","0","0","0","0",,,"0","165","1,839","6,454,702","23,405,934","36,739,365",,,,,,
InterestPaidSupplementalData,"5,532,982","5,532,982","0","0","47,695,297","0","260,073","892,159","1,077,374","538,344",,,,,,,,,,,,,,
CapitalExpenditure,"-2,111,510","-2,111,510","-248,819,060","-75,621,008","-359,573","-796,921","-226,717","-454,560","-8,333,052","-10,644,290","-3,127,931","-7,557,543","-35,016,034","-90,640,135","-20,162,262","-44,350,467","-121,168,262","-490,285,318","-124,667,077.193","-254,391,084.386","-20,369,282.115","-1,967,459.632","-1,521,304.152","-1,530,145.141"
IssuanceOfCapitalStock,"0","0","0","1,011,476,118","47,430,195","0","0",,,,,,,,,,"0","1,251,846,347","57,991,028.973","3,833,208.992","813,208,576.842",,,"4,113,361.396"
IssuanceOfDebt,"86,782,316","86,782,316","36,170,940","161,588,128","3,358,369","50,946,376","11,030,602","93,812,327","164,192,547","321,693,240","0",,,,,,,,,,,,,
RepaymentOfDebt,"-54,580,458","-54,580,458","-3,145,250","-6,378,690","-361,474,759","-10,023,576","-29,387,613","-69,738,894","-34,782,586","-49,501,485","-19,469,853","-13,995,293",,,,,,,,,,,,
RepurchaseOfCapitalStock,,,,,,,,,,,"0","-29,030,699","-839,541","-21,087,153","0","0",,"-107,481,577.886",,,,,,
FreeCashFlow,"-48,431,556","-48,431,556","-402,857,052","-779,907,943","-106,612,827","-54,972,243","-101,427,243","-87,106,222","-188,101,368","-186,231,080","-272,225,337","-365,127,179","-524,206,097","-361,534,699","-267,713,851","-150,436,070","571,465,834","126,310,962","473,737,167.083","-105,431,053.371","14,714,304.009","55,743,580.311","1,869,943.769","-14,903,880.066"
DomesticSales,,,,,,,,,,,"41,969,350","85,483,458",,,,,,,,,,,,
ForeignSales,,,,,,,,,,,"22,307,541","19,292,611",,,,,,,,,,,,
