name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997
InterestIncome,,"5,304,000","596,000","68,000","98,000","715,000","1,067,000","1,174,000","1,161,000","1,331,000","1,268,000","1,167,000","1,062,000","1,072,000","636,000","368,000","1,823,000",,,,,,,,,,,
NetInterestIncome,,"5,304,000","596,000","68,000","98,000","715,000","1,067,000","1,174,000","1,161,000","1,331,000","1,268,000","1,167,000","1,062,000","1,072,000","636,000","368,000","1,823,000",,,,,,,,,,,
EBIT,"238,131,000","209,881,000","152,700,000","134,333,000","114,061,000","115,924,000","133,887,000","188,566,000","194,307,000","161,446,000","127,124,000","101,287,000","80,073,000","58,844,000","41,927,000","25,024,000","35,835,000","43,058,000","32,258,000","36,586,000","31,609,000","31,417,000","36,778,000","23,650,000","23,290,000","500,000","9,300,000","8,400,000"
EBITDA,"244,058,000","215,633,000","159,363,000","142,247,000","123,007,000","123,911,000","142,500,000","197,626,000","203,397,000","169,210,000","133,501,000","107,112,000","85,711,000","66,128,000","51,088,000","36,442,000","48,534,000","56,675,000","45,505,000","48,660,000","42,391,000","42,679,000","45,351,000","35,018,000","29,390,000","5,600,000","11,000,000","8,900,000"
ReconciledCostOfRevenue,"457,500,000","430,614,000","358,237,000","297,827,000","269,887,000","284,967,000","240,881,000","245,733,000","249,879,000","235,428,000","212,578,000","181,151,000","161,737,000","139,101,000","128,792,000","107,461,000","151,938,000","147,360,000","123,738,000","93,673,000","90,009,000","70,981,000","60,764,000","60,791,000","56,948,000","37,500,000","26,300,000","14,100,000"
ReconciledDepreciation,"5,927,000","5,752,000","6,663,000","7,914,000","8,946,000","7,987,000","8,613,000","9,060,000","9,090,000","7,764,000","6,377,000","5,825,000","5,638,000","7,284,000","9,161,000","11,418,000","12,699,000","13,617,000","13,247,000","12,074,000","10,782,000","11,262,000","8,573,000","11,368,000","6,100,000","5,100,000","1,700,000","500,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"204,724,000","176,568,000","128,959,000","110,472,000","87,240,000","85,762,000","104,690,000","116,481,000","124,234,000","103,475,000","82,000,000","67,296,000","51,853,000","44,907,000","28,061,000","16,562,000","22,798,000","30,751,000","19,331,000","18,635,000","21,634,000","21,845,000","25,196,000","16,187,000","16,268,000","1,100,000","7,300,000","8,300,000"
TotalUnusualItemsExcludingGoodwill,"-1,141,000",,,,,"0","0","-2,921,000","0","0","-394,000","0","0","2,519,000","0","-5,006,000","-6,150,000","1,218,000","-1,578,000","-7,429,000","900,000","-522,000","-620,000","-44,000","-3,124,000","1,200,000","1,100,000","100,000"
TotalUnusualItems,"-1,141,000",,,,,"0","0","-2,921,000","0","0","-394,000","0","0","2,519,000","0","-5,006,000","-6,150,000","1,218,000","-1,578,000","-7,429,000","900,000","-522,000","-620,000","-44,000","-3,124,000","1,200,000","1,100,000","100,000"
NormalizedEBITDA,"244,058,000","215,633,000","159,363,000","142,247,000","123,007,000","123,911,000","142,500,000","200,547,000","203,397,000","169,210,000","133,501,000","107,112,000","85,711,000","63,609,000","51,088,000","41,448,000","54,684,000","55,457,000","47,083,000","56,089,000","41,491,000","43,201,000","45,971,000","35,062,000","32,514,000","4,400,000","9,900,000","8,800,000"
TaxRateForCalcs,"0.156","0.174","0.184","0.176","0.233","0.261","0.232","0.37","0.366","0.365","0.359","0.347","0.36","0.29","0.328","0.188","0.276","0.355","0.4","0.4","0.38","0.343","0.363","0.37","0.375","0.353","0.291","0.4"
TaxEffectOfUnusualItems,"0","0","0","0","0","0","0","-1,080,770","0","0","0","0","0","730,510","0","-939,024.036","-1,700,092.04","432,225.695","-631,200","-2,971,600","341,559.112","-179,256.087","-225,307.865","-16,296.55","-1,169,938.48","423,529.412","320,388.35","40,000"
