name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004
MarketCap,"58,414,077","33,973,578","14,378,876","154,410,117","31,230,296","34,330,629","31,351,655","28,512,642","29,894,279","74,659,799","35,962,670","50,228,606","72,229,347","174,133,302","174,863,910","184,201,156","357,210,789","528,169,416","780,182,304","370,235,488","571,280,977"
EnterpriseValue,"62,640,909","44,326,370","13,335,418","33,345,567","112,536,868","111,041,657","85,104,693","81,332,763","59,190,235","60,900,019","31,615,714","-2,783,546","-16,712,215","-38,370,870","-38,654,956","-61,124,568","31,795,981","224,481,586","722,134,898","314,071,662","570,461,356"
PeRatio,,,,,,,,,,,,,,,,,"7.231","17.858","23.558","151.505","224.702"
PsRatio,"0.866","0.864","1.41","3.1","240.215","24.05","1.534","2.042","4.535","7.754","2.575","2.086","2.92","10.617","11.277","1.647","1.474","3.359","6.633","6.043","77.524"
PbRatio,"2.006","5.277","0.352","1.133",,,,,,,"1.64","0.618","0.574","0.738","0.757","0.625","0.821","1.373","5.056","3.431","5.465"
EnterprisesValueRevenueRatio,"2.473","1.836","1.526","1.688","2,152.995","107.563","8.629","10.85","9.117","6.464","2.277","28.042","25.599","90.72","99.01","14.335","0.127","1.28","5.955","9.729","128.876"
EnterprisesValueEBITDARatio,"-0.033","-1.703","-0.023","8.637","0.276","-0.718","-0.683","-1.035","-0.122","-0.202","-0.401","0.006","0.031","0.098","0.138","0.266","0.414","3.657","22.77","1,395.124","-131.947"
